city,distance
Baoshan,5.756842
Kunming,4.957656
Beijing,3.884667
Jinhua,3.765335
Shanghai,3.403641
Dali,3.214495
Weihai,2.970834
Chengdou,2.867633
Qingdao,2.672121
Changzhou,2.358618
Jinan,2.358618
Tianjin,2.358618
Wuhan,2.358618
Yantai,2.358618
Lijiang,2.278432
Changsha,2.166350
Chongqing,2.166350
Guangzhou,2.166350
Guiyang,2.166350
Huangshan,2.166350
Hulunbuir,2.166350
Jiaozuo,2.166350
Lincang,2.166350
Qujing,2.166350
Sanya,2.166350
Shamen,2.166350
Shaoxing,2.166350
Taizhou,2.166350
Weicu,2.166350
Anshun,2.166350
Xi'an,2.166350
Xilingol,2.166350
Xishuangbanna,2.166350
Zhaotong,2.166350
Zhenjiang,2.166350
Hangzhou,2.130484
Baotou,2.094491
Suzhou,1.931682
Yuxi,1.884094
Nujiang,1.860610
Diqing,1.837164
Honghe,1.815582
Jiaxing,1.756914
Shenzhen,1.738868
Hong Kong,1.709326
Ningbo,1.705159
Langfang,1.698130
Nanjing,1.696456
Wuxi,1.695642
Quzhou,1.684071
Baoding,1.658400
Lishui,1.656875
Shijiazhuang,1.654040
Qinhuangdao,1.652492
Pu'er,1.649796
Shenyang,1.631849
Leshan,1.616719
Ngawa,1.613159
Zhengzhou,1.610088
Dalian,1.597380
Nanning,1.597329
Taiyuan,1.596748
Taizhou,1.595070
Wenshan,1.588324
Shangrao,1.583332
Tangshan,1.579966
Harbin,1.574989
Changde,1.572808
Zhoushan,1.570677
Hefei,1.564457
Nantong,1.557610
Haikou,1.554979
Deyang,1.554979
Zhangjiakou,1.554086
Chengde,1.539784
Lhasa,1.533803
Meizhou,1.533803
Changchun,1.532761
Huzhou,1.524774
Taipei,1.521150
Panzhihua,1.517301
Guilin,1.511372
Hohhot,1.506594
Yingtan,1.497651
Liangshanzhou,1.492003
Fuzhou,1.492003
Nanchang,1.490877
Weifang,1.488716
Huaihua,1.484926
Yangzhou,1.483445
Liupanshui,1.481252
Mianyang,1.470767
Lianyungang,1.469024
Panjin,1.469024
Datong,1.469024
Qamdo,1.469024
Wuhu,1.469024
Yichang,1.469024
Zhangzhou,1.469024
Zhongshan,1.469024
Foshan,1.469024
Urumqi,1.467092
Cangzhou,1.463749
Lanzhou,1.454085
Chifeng,1.447488
Yibin,1.443632
Zhangjiajie,1.443507
Qianxinan,1.442934
Tai'an,1.441364
Luoyang,1.438311
Baise,1.432724
Garze,1.427506
Taoyuan,1.423107
Zhuhai,1.421657
Yinchuan,1.421358
Ya'an,1.417472
Huludao,1.409282
Nanping,1.402665
Baotou,1.402230
Macau,1.398805
Jinzhong,1.397878
Xuzhou,1.394956
Xining,1.393768
Dezhou,1.389312
Rizhao,1.383397
Nanchong,1.381517
Jining,1.378313
Meishan,1.373689
Xinzhou,1.372061
Xianyang,1.371890
Hinggan,1.370520
Zibo,1.369564
Qiandongnan,1.368912
Xinxiang,1.366287
Liuzhou,1.364118
Yancheng,1.361701
Handan,1.355514
Zunyi,1.354557
Neijiang,1.354472
Ordos,1.349053
Jinzhou,1.348183
Jilin,1.347307
Quanzhou,1.344143
Zhuzhou,1.341592
Weinan,1.339289
Hengshui,1.339102
Xianning,1.337645
Linyi,1.337605
Suining,1.337119
Baoji,1.336814
Jiujiang,1.334931
Beihai,1.332690
Dongguan,1.332690
Ziyang,1.327507
Dandong,1.326449
Wanning,1.325117
Xingtai,1.323230
Xiangtan,1.322062
Dongying,1.321032
Kaifeng,1.320262
Loudi,1.319938
Zaozhuang,1.319166
Zigong,1.317722
Qiannan,1.313653
Chongzuo,1.311181
Qiqihar,1.310963
Ulanqab,1.309083
Anyang,1.307669
Xiangxi,1.306461
Jingzhou,1.302619
Fushun,1.299415
Guangyuan,1.298163
Xuancheng,1.296680
Huanggang,1.296455
Daqing,1.296207
Anshan,1.295272
Xiangyang,1.294201
Luzhou,1.292314
Bangbu,1.289977
Yueyang,1.289810
Xiaogan,1.289545
Huizhou,1.288864
Jingdezhen,1.288864
Shantou,1.288864
Yulin,1.288864
Hengyang,1.288864
Yanbian,1.287984
Huangshi,1.287884
Huai'an,1.285952
Qionghai,1.284977
Yingkou,1.280691
Jian,1.277120
Yan'an,1.274577
Dazhou,1.269091
