city,distance
Chengdou,6.867873
Mianyang,4.117354
Shanghai,3.400463
Beijing,3.099453
Chongqing,2.879158
Guangyuan,2.759417
Leshan,2.670161
Ngawa,2.486076
Xi'an,2.457221
Nanchong,2.393160
Zhongshan,2.357091
Tianjin,2.317493
Guangzhou,2.273404
Hong Kong,2.273404
Liangshanzhou,2.273404
Hanzhong,2.223375
Lijiang,2.223375
Nanjing,2.223375
Suining,2.223375
Wuhan,2.223375
Ya'an,2.223375
Changsha,2.165062
Dazhou,2.094250
Dongying,2.094250
Garze,2.094250
Kunming,2.094250
Panzhihua,2.094250
Shenzhen,2.094250
Taipei,2.094250
Yibin,2.094250
Zhaotong,2.094250
Dali,2.001965
Dalian,2.001965
Baoshan,2.001965
Jinan,2.001965
Luoyang,2.001965
Meishan,2.001965
Neijiang,2.001965
Sanya,2.001965
Shangrao,2.001965
Xuzhou,2.001965
Yichang,2.001965
Zhengzhou,2.001965
Zigong,2.001965
Hangzhou,1.932700
Suzhou,1.930658
Lhasa,1.878376
Jinhua,1.861719
Jinzhong,1.861719
Binzhou,1.861719
Lanzhou,1.861719
Baoji,1.861719
Liuzhou,1.861719
Longnan,1.861719
Luzhou,1.861719
Changzhou,1.861719
Nanchang,1.861719
Nantong,1.861719
Qingdao,1.861719
Shamen,1.861719
Tai'an,1.861719
Taiyuan,1.861719
Taizhou,1.861719
Tianshui,1.861719
Urumqi,1.861719
Wuxi,1.861719
Xiangyang,1.861719
Xianyang,1.861719
Xingtai,1.861719
Bazhong,1.861719
Yancheng,1.861719
Zhangye,1.861719
Zhuzhou,1.861719
Ziyang,1.861719
Zunyi,1.861719
Guiyang,1.823168
Ningbo,1.743575
Jiaxing,1.721598
Shenyang,1.687580
Shijiazhuang,1.672856
Hefei,1.639323
Nyingchi,1.621564
Guang'an,1.618132
Fuzhou,1.616389
Ngawa,1.613159
Nanning,1.611054
Xining,1.611054
Guilin,1.593962
Haikou,1.585768
Zhuhai,1.572038
Yinchuan,1.570364
Zhoushan,1.570000
Harbin,1.568039
Huangshan,1.558387
Hohhot,1.553332
Diqing,1.548110
Dongguan,1.542707
Changchun,1.534232
Langfang,1.528822
Huzhou,1.524136
Wenzhou,1.518971
New Taipei,1.515189
Shaoxing,1.501461
Baoding,1.496544
Qinhuangdao,1.491732
Baotou,1.486805
Shiyan,1.486805
Taoyuan,1.486805
Yangzhou,1.482841
Macau,1.482747
Chuzhou,1.460500
Foshan,1.460046
Weinan,1.445038
Zhenjiang,1.442453
Beihai,1.433940
Tangshan,1.432377
Gannan,1.430697
Taizhou,1.427930
Xiangxi,1.427930
Ordos,1.421631
Ankang,1.417902
Xishuangbanna,1.415011
Zhangjiakou,1.411073
Jiujiang,1.408030
Huaihua,1.400644
Chengde,1.399273
Jiuquan,1.392795
Enshi,1.392795
Yantai,1.392795
Zhangjiajie,1.392795
Dehong,1.391542
Jiangmen,1.389833
Qamdo,1.384417
Qingyang,1.384417
Quanzhou,1.384417
Ganzhou,1.384417
Jingzhou,1.375422
Lianyungang,1.375422
Zibo,1.375422
Weicu,1.365703
Yan'an,1.363931
Nanyang,1.355118
Bijie,1.355118
Sanmenxia,1.355118
Weifang,1.355118
Weihai,1.355118
Yuxi,1.355118
Dandong,1.343477
Liupanshui,1.343477
Datong,1.343477
Qiandongnan,1.343477
Yueyang,1.343477
Handan,1.343477
Jiayuguan,1.338930
Cangzhou,1.336198
Anshun,1.330519
Anshan,1.330519
Tongren,1.330519
Yulin,1.330519
Zhangzhou,1.330519
Kaohsiung,1.324486
Xiangtan,1.321582
Loudi,1.315868
Hulunbuir,1.315868
Jilin,1.315868
Dezhou,1.315868
Qingyuan,1.315868
Jingdezhen,1.315868
Huanggang,1.315868
Huangshi,1.315868
Huizhou,1.315868
Jian,1.315868
Yulin,1.315868
Yuncheng,1.315868
Zhanjiang,1.315868
Wuhu,1.302855
Jincheng,1.298951
Honghe,1.298951
Bayingolin,1.298951
Linyi,1.298951
Xinxiang,1.298951
Jieyang,1.298951
Zhaoqing,1.298951
Kaifeng,1.296371
Xuancheng,1.296218
Xianning,1.293039
Huludao,1.290661
Quzhou,1.281058
Hengyang,1.279585
Nanping,1.278828
Jiaozuo,1.278828
Pingdingshan,1.278828
Shantou,1.278828
Hezhou,1.278828
Haixi,1.278828
Suizhou,1.278828
Tainan,1.278828
Bangbu,1.278828
Changji,1.278828
Wenchang,1.278828
Golog,1.278828
Keramay,1.278828
Ili(Yili),1.278828
Changde,1.278828
Taichung,1.276339
Nagqu,1.275994
Jining,1.270335
Yingtan,1.269905
Shannan,1.266257
Huai'an,1.265494
Chizhou,1.264923
Wanning,1.261744
Bozhou,1.261609
Hotan,1.261609
Daqing,1.261609
Wuzhou,1.261609
Jinzhou,1.261609
Yichun,1.261609
Keelung,1.260464
Xinzhou,1.259374
Shangluo,1.253788
Chongzuo,1.253788
Pingdong,1.253788
Nantou,1.253788
Turpan,1.253788
Xiaogan,1.253788
Puyang,1.253788
Anqing,1.253788
Zaozhuang,1.253788
Heze,1.253788
Anyang,1.253788
Chenzhou,1.253788
Zhongwei,1.253788
Zhoukou,1.253788
Fuzhou,1.253788
Chifeng,1.253603
Hsinchu,1.246920
Lishui,1.243582
Hengshui,1.231551
Haibei,1.229828
Yingkou,1.226749
Alty,1.226319
Qionghai,1.225299
Yilan,1.225065
Dingxi,1.224189
Shaoguan,1.220514
Jingmen,1.220316
Qiannan,1.220115
Suihua,1.220115
Tacheng,1.220115
Linfen,1.220115
Miaoli,1.220115
Qianxinan,1.220115
Tongchuan,1.220115
Tonghua,1.220115
Tongling,1.220115
Wenshan,1.220115
Heyuan,1.220115
Lu'an,1.220115
