city,distance
Shenyang,5.576513
Beijing,4.067132
Dalian,4.043819
Shanghai,3.646155
Ma'anshan,3.440312
Liaoyang,3.377952
Beijing,3.349159
Harbin,2.951244
Panjin,2.937601
Jinzhou,2.894955
Tianjin,2.800287
Fushun,2.783017
Changchun,2.746907
Benxi,2.688139
Shenzhen,2.688139
Dandong,2.645205
Qinhuangdao,2.622375
Huludao,2.573455
Shantou,2.519202
Nanjing,2.489577
Chaoyang,2.423841
Chengdou,2.346253
Tieling,2.346253
Xi'an,2.346253
Fuxin,2.249833
Guangzhou,2.249833
Qingdao,2.249833
Qiqihar,2.249833
Foshan,2.190143
Jilin,2.190143
Tangshan,2.190143
Zhenjiang,2.190143
Nanchang,2.117708
Taiyuan,2.117708
Tongliao,2.117708
Wuhan,2.117708
Chifeng,2.023391
Baishan,2.023391
Quanzhou,2.023391
Changsha,2.023391
Weinan,2.023391
Wuhu,2.023391
Yantai,2.023391
Suzhou,2.007460
Hangzhou,1.931177
Chongqing,1.880234
Daqing,1.880234
Datong,1.880234
Baoding,1.880234
Guilin,1.880234
Hefei,1.880234
Hohhot,1.880234
Hong Kong,1.880234
Jiamusi,1.880234
Jinan,1.880234
Jinhua,1.880234
Lhasa,1.880234
Lianyungang,1.880234
Mudanjiang,1.880234
Ngawa,1.880234
Sanya,1.880234
Shamen,1.880234
Shijiazhuang,1.880234
Siping,1.880234
Suihua,1.880234
Weifang,1.880234
Xingtai,1.880234
Xuzhou,1.880234
Jiaxing,1.782406
Wuxi,1.753753
Langfang,1.732099
Changzhou,1.699574
Ningbo,1.698661
Zhengzhou,1.656119
Yanbian,1.634150
Zhoushan,1.620413
Nantong,1.606509
Jieyang,1.585102
Zhangjiakou,1.582488
Huzhou,1.571603
Chengde,1.567661
Tonghua,1.566134
Kunming,1.558490
Taipei,1.548351
Shaoxing,1.547504
Chizhou,1.542701
Huangshan,1.537651
Xuchang,1.529751
Chaozhou,1.528706
Yangzhou,1.527732
Zhuhai,1.517183
Dongguan,1.514956
Hulunbuir,1.507247
Xuancheng,1.503214
Urumqi,1.492378
Cangzhou,1.488919
Weihai,1.486672
Yichang,1.485092
Guiyang,1.479437
Lanzhou,1.478920
Fuzhou,1.472428
Tai'an,1.465763
Wenzhou,1.465609
Lijiang,1.454197
Taoyuan,1.446887
Yinchuan,1.445079
Nanning,1.444082
Taizhou,1.441971
Xianyang,1.441905
Macau,1.438116
Leshan,1.436723
Shanwei,1.434426
Haikou,1.433323
Baotou,1.425311
Jinzhong,1.420816
Taizhou,1.417086
Anqing,1.416822
Tongling,1.416822
Xining,1.416570
Luoyang,1.415123
Huizhou,1.412587
Dezhou,1.411966
Heihe,1.410233
Chuzhou,1.404102
Baoji,1.403208
Daxinganling,1.401575
Yichun,1.401575
Jining,1.400608
Yancheng,1.398926
Changde,1.395269
Ordos,1.395269
Songyuan,1.395269
Xinzhou,1.394153
Liaoyuan,1.382932
Liuzhou,1.382932
Yiyang,1.382932
Jiujiang,1.380582
Handan,1.377072
Zibo,1.375368
Xiangtan,1.370804
Hinggan,1.369206
Garze,1.369206
Sanming,1.369206
Baicheng,1.369206
Shangrao,1.364592
Hengshui,1.360137
Dongying,1.355539
Bangbu,1.355539
Nanyang,1.354423
Qingyuan,1.353695
Zhangjiajie,1.350636
Nanchong,1.350027
Zhongshan,1.350027
Xilingol,1.340733
Deyang,1.339949
Zaozhuang,1.339574
Jixi,1.338412
Heze,1.335797
Linyi,1.330277
Meizhou,1.329682
Jiaozuo,1.329431
Yan'an,1.329041
Xinxiang,1.329006
Anyang,1.327720
Dali,1.322423
Mianyang,1.320290
Nyingchi,1.319761
Kaifeng,1.319677
Zhangzhou,1.318893
Lishui,1.314526
Nanping,1.314526
New Taipei,1.314526
Hualien,1.314526
Jian,1.314526
Huai'an,1.306429
Diqing,1.301572
Ulanqab,1.298800
Qitaihe,1.294215
Xiangyang,1.288172
Pingdong,1.288083
Shuangyashan,1.288083
Liaocheng,1.288083
Zhuzhou,1.288083
Binzhou,1.283079
Kaohsiung,1.281766
Quzhou,1.280935
Yangquan,1.280437
Ya'an,1.277183
Hegang,1.276956
Nagqu,1.276851
Beihai,1.270413
Jingdezhen,1.269911
Xiuzhou,1.269911
Huainan,1.269911
Jiangmen,1.268838
Shannan,1.267101
Jiuquan,1.266862
Shuozhou,1.265453
Hanzhong,1.263608
Yingtan,1.263256
Rizhao,1.261091
Xiangxi,1.258913
Xinyang,1.258913
Yichun,1.256823
Xianning,1.256575
Qionghai,1.252569
Shangqiu,1.252569
Bayannur,1.252569
Changhua,1.252569
Yongzhou,1.252569
Yulin,1.252569
Ganzhou,1.252569
Changzhi,1.251174
Zhaoqing,1.249784
Yuncheng,1.248453
Ankang,1.244392
Meishan,1.241528
Xishuangbanna,1.240634
Liangshanzhou,1.240634
Yueyang,1.237743
Sanmenxia,1.236968
Puyang,1.231402
Heyuan,1.231134
Putian,1.230915
Hengyang,1.228738
Neijiang,1.225811
Jingzhou,1.225617
Ningde,1.224673
Taichung,1.224576
Lvliang,1.223389
Ili(Yili),1.222186
Huanggang,1.220158
Zhongwei,1.219734
Linfen,1.218483
Baoshan,1.215929
Shangluo,1.214549
Xiaogan,1.214036
Shaoguan,1.213688
Luohe,1.213303
Fuzhou,1.212690
Huangshi,1.212563
Wanning,1.212278
Yunlin,1.211996
Suining,1.211580
Yibin,1.209218
Gannan,1.206901
Fuyang,1.206389
Qiandongnan,1.206389
Zhanjiang,1.206389
Ziyang,1.203683
Zunyi,1.198906
Shiyan,1.196190
Haixi,1.196190
Nantou,1.196190
Taidong,1.196190
Wuhai,1.196190
Chenzhou,1.196190
Loudi,1.196190
Haidong,1.196190
Bozhou,1.196190
Qiannan,1.196190
Chongzuo,1.196190
Jingmen,1.196190
Yulin,1.196190
Pingliang,1.196190
Zhangye,1.196190
Zigong,1.195633
Tianshui,1.193860
Pingdingshan,1.192435
Lu'an,1.192031
Xinyu,1.190322
Keramay,1.189013
Hezhou,1.187251
Dehong,1.187251
