city,distance
Jinan,4.888610
Beijing,4.789945
Tianjin,3.883384
Cangzhou,3.843266
Shanghai,3.772239
Qingdao,3.153107
Tai'an,2.997985
Chongqing,2.872568
Nanjing,2.849178
Xuzhou,2.812395
Langfang,2.759660
Hengshui,2.745715
Shijiazhuang,2.745715
Jining,2.731428
Liaocheng,2.731428
Laiwu,2.670389
Zibo,2.543251
Linyi,2.476856
Suzhou,2.452419
Hangzhou,2.426560
Binzhou,2.399062
Dongying,2.399062
Weifang,2.399062
Yantai,2.399062
Tangshan,2.369648
Zaozhuang,2.369648
Qinhuangdao,2.303524
Quanzhou,2.303524
Shenyang,2.303524
Taizhou,2.303524
Weihai,2.303524
Baoding,2.265691
Bangbu,2.265691
Wuxi,2.265691
Changsha,2.223533
Changzhou,2.223533
Chengdou,2.223533
Hefei,2.223533
Xi'an,2.223533
Fangchenggang,2.175652
Jiaxing,2.175652
New Taipei,2.175652
Xiuzhou,2.175652
Yangzhou,2.175652
Zhenjiang,2.175652
Guangzhou,2.119784
Hong Kong,2.119784
Rizhao,2.119784
Shenzhen,2.119784
Taiyuan,2.119784
Hengyang,2.051857
Nanning,2.051857
Shamen,2.051857
Changchun,2.051857
Tongling,2.051857
Yancheng,2.051857
Dalian,1.963191
Heze,1.963191
Hohhot,1.963191
Jinhua,1.963191
Jinzhou,1.963191
Lianyungang,1.963191
Nantong,1.963191
Datong,1.963191
Xinxiang,1.963191
Yichang,1.963191
Zhengzhou,1.963191
Zunyi,1.963191
Qingdao,1.861719
Chizhou,1.828141
Harbin,1.828141
Anyang,1.828141
Huaihua,1.828141
Huanggang,1.828141
Huangshan,1.828141
Hulunbuir,1.828141
Jiaozuo,1.828141
Kunming,1.828141
Lanzhou,1.828141
Leshan,1.828141
Liuzhou,1.828141
Luzhou,1.828141
Nanping,1.828141
Qiandongnan,1.828141
Quzhou,1.828141
Sanming,1.828141
Shangqiu,1.828141
Taizhou,1.828141
Wenzhou,1.828141
Wuhan,1.828141
Xiangtan,1.828141
Xingtai,1.828141
Xinzhou,1.828141
Xiuqian,1.828141
Xuchang,1.828141
Yangquan,1.828141
Benxi,1.828141
Yueyang,1.828141
Yulin,1.828141
Zhangjiajie,1.828141
Zhangjiakou,1.828141
Zhuzhou,1.828141
Ningbo,1.725530
Taipei,1.671135
Chengde,1.664475
Sanya,1.662765
Zhoushan,1.644846
Huzhou,1.594575
Nanchang,1.586330
Urumqi,1.579857
Shaoxing,1.569773
Guiyang,1.565362
Fuzhou,1.557518
Guilin,1.552273
Lijiang,1.537133
Taoyuan,1.528968
Yinchuan,1.526948
Haikou,1.513829
Huludao,1.513020
Zhuhai,1.512003
Baotou,1.504895
Lhasa,1.500547
Jinzhong,1.499884
Xining,1.495153
Luoyang,1.493541
Puyang,1.468595
Ngawa,1.465484
Macau,1.462343
Chifeng,1.462343
Handan,1.451219
Chuzhou,1.447927
Beihai,1.445749
Ordos,1.443816
Jilin,1.441816
Jiujiang,1.427652
Dandong,1.417955
Xilingol,1.410919
Qinzhou,1.409871
Kaifeng,1.402458
Qiqihar,1.400273
Foshan,1.395114
Xianyang,1.394602
Dali,1.390656
Fushun,1.387106
Daqing,1.383451
Baoji,1.382919
Anshan,1.382386
Shangrao,1.381878
Panjin,1.378584
Yanbian,1.374088
Guang'an,1.373646
Diqing,1.367617
Dongguan,1.367012
Yingkou,1.365790
Wuhu,1.365705
Ulanqab,1.364557
Huaibei,1.363735
Weinan,1.360926
Yan'an,1.358839
Ma'anshan,1.357308
Xiangxi,1.353908
Xiangyang,1.352830
Dazhou,1.350075
Xuancheng,1.346816
Kaohsiung,1.345767
Mudanjiang,1.335885
Mianyang,1.335088
Jian,1.332663
Suining,1.329520
Jiuquan,1.329347
Putian,1.329255
Zhangzhou,1.322413
Xinyang,1.320597
Zhongshan,1.317832
Huainan,1.316808
Nanchong,1.314772
Xishuangbanna,1.313710
Changzhi,1.312083
Chaoyang,1.311095
Yuncheng,1.309091
Liaoyang,1.307675
Tongliao,1.307049
Jingdezhen,1.306014
Neijiang,1.305231
Anqing,1.305225
Shuozhou,1.303913
Chenzhou,1.299929
Fuyang,1.299425
Maoming,1.299425
Ezhou,1.299425
Deyang,1.299005
Jiamusi,1.297351
Ganzhou,1.295070
Chongzuo,1.293461
Lu'an,1.292313
Meizhou,1.290356
Changde,1.290356
Lishui,1.290080
Tieling,1.289801
Zigong,1.286441
Bozhou,1.285325
Siping,1.284150
Bayannur,1.282864
