city,distance
Haikou,6.168128
Sanya,4.742255
Qionghai,4.247963
Lingshui,3.134474
Shanghai,3.134474
Wanning,3.134474
Beijing,2.932171
Guangzhou,2.932171
Baoting,2.640801
Ledong,2.640801
Nanjing,2.640801
Xinyang,2.640801
Wenchang,2.066808
Shenzhen,1.991620
Jinhua,1.963191
Danzhou,1.928406
Zhanjiang,1.913242
Wuhan,1.879826
Chengdou,1.852769
Chengmai,1.849884
Hangzhou,1.849884
Suzhou,1.841915
Chongqing,1.825406
Changsha,1.818851
Shamen,1.808644
Hong Kong,1.797941
Nanning,1.797941
Kunming,1.774810
Tianjin,1.766506
Weinan,1.766506
Nanchang,1.729496
Zhuhai,1.729496
Zhengzhou,1.719080
Xi'an,1.713658
Foshan,1.706236
Guilin,1.684011
Fuzhou,1.663701
Jiaxing,1.650680
Beihai,1.632545
Wuxi,1.626077
Dongfang,1.623820
Changjiang,1.623820
Ningbo,1.604928
Wuzhishan,1.604928
Changzhou,1.579395
Qingdao,1.571900
Urumqi,1.571900
Guiyang,1.559219
Dongguan,1.552894
Harbin,1.545436
Wenzhou,1.545436
Hefei,1.530314
Hohhot,1.530314
Shenyang,1.513524
Baotou,1.513524
Zhumadian,1.512364
Zhoushan,1.510807
Nantong,1.498714
Jinan,1.494594
Taipei,1.494594
Langfang,1.486978
Liuzhou,1.472807
Macau,1.472807
Meishan,1.472807
Qiongzhong,1.472807
Dalian,1.472807
Zhaoqing,1.472807
Huzhou,1.468290
Xiaogan,1.461386
Jiangmen,1.460516
Zhenjiang,1.459026
Baoding,1.456425
Shijiazhuang,1.453061
Qinhuangdao,1.451867
Shaoxing,1.447234
Jinhua,1.446991
Lanzhou,1.446991
Luoyang,1.446991
Siping,1.446991
Taoyuan,1.446991
Changchun,1.446991
Yangzhou,1.429927
Qingyuan,1.423165
Huangshan,1.415014
Jieyang,1.415014
Leshan,1.415014
Lijiang,1.415014
Chuzhou,1.415014
Ordos,1.415014
Shaoguan,1.415014
Weihai,1.415014
Zhangzhou,1.415014
Zhuzhou,1.415014
Anqing,1.414778
Huizhou,1.413041
Taiyuan,1.408660
Luohe,1.402352
Tangshan,1.395582
Fuyang,1.391193
Nanyang,1.378927
Dali,1.376330
Zhangjiakou,1.375351
Baoshan,1.372273
Hulunbuir,1.372273
