city,distance
Lanzhou,5.874889
Tianshui,4.646086
Xi'an,3.844488
Baoji,3.266802
Shanghai,3.266802
Xining,3.127416
Wuwei,2.958415
Zhengzhou,2.958415
Linxia,2.856061
Beijing,2.734109
Haixi,2.734109
Wuhan,2.734109
Ankang,2.578906
Chengdou,2.578906
Gannan,2.578906
Hanzhong,2.578906
Jiayuguan,2.578906
Jiuquan,2.578906
Kaifeng,2.578906
Nanjing,2.578906
Yinchuan,2.578906
Kunming,2.350784
Langfang,2.350784
Longnan,2.350784
Ngawa,2.350784
Qingyang,2.350784
Urumqi,2.350784
Xiaogan,2.350784
Zhangye,2.350784
Hangzhou,1.968668
Lhasa,1.905383
Xianyang,1.895993
Suzhou,1.886827
Baiyin,1.865456
Weinan,1.834284
Guangzhou,1.814688
Hefei,1.803580
Tianjin,1.766377
Jinchang,1.752366
Pingliang,1.706953
Yan'an,1.705542
Taiyuan,1.703383
Chongqing,1.693887
Haibei,1.690597
Jiaxing,1.686660
Luoyang,1.684400
Nagqu,1.683894
Zhongwei,1.683894
Wuxi,1.660981
Hong Kong,1.657640
Changsha,1.656289
Shenzhen,1.650232
Qingdao,1.643964
Shamen,1.639708
Jinan,1.616403
Changzhou,1.612303
Ningbo,1.611481
Shenyang,1.608770
Shizuishan,1.592390
Sanmenxia,1.587649
Xuzhou,1.587649
Shijiazhuang,1.564311
Zigong,1.564311
Bangbu,1.553750
Hohhot,1.553750
Sanya,1.553750
Xinxiang,1.549236
Taipei,1.542430
Zhoushan,1.540892
Jiaozuo,1.539273
Yulin,1.530685
Jinhua,1.530217
Nantong,1.528314
Dazhou,1.526250
Shangluo,1.521487
Leshan,1.520731
Guiyang,1.516941
Mianyang,1.516941
Lijiang,1.509251
Alxa,1.502369
Baoding,1.502369
Shangqiu,1.498148
Huzhou,1.496689
Guangyuan,1.491223
Langfang,1.486978
Harbin,1.486183
Guilin,1.486183
Kumul(Hami),1.486183
Dalian,1.486183
Xiangyang,1.486183
Huangnan,1.476321
Shaoxing,1.474817
Tongchuan,1.469380
Dali,1.469100
Baotou,1.467927
Yangzhou,1.456848
Yichang,1.456598
Turpan,1.454932
Shiyan,1.451787
Anyang,1.451083
Xianning,1.450631
Nanchang,1.446904
Nanning,1.446904
Fuzhou,1.446904
Ordos,1.446904
Weifang,1.446904
Xilingol,1.446904
Zhongshan,1.446904
Wuzhong,1.444244
Changji,1.441545
Zhenjiang,1.439932
Pingdingshan,1.437146
Xuchang,1.432157
Liupanshui,1.424452
Changchun,1.421981
Huangshan,1.421981
Guyuan,1.421981
Bayannur,1.421981
Haikou,1.421981
Alty,1.421059
Ili(Yili),1.418199
Huangshi,1.418199
Shannan,1.418199
Deyang,1.418199
Taizhou,1.418199
Xiuzhou,1.418199
Yuncheng,1.418199
Foshan,1.418199
Zhuhai,1.418199
Zhumadian,1.418199
Jinzhong,1.417225
Jingzhou,1.409528
Garze,1.409109
Huanggang,1.402314
Qinhuangdao,1.401592
Wenzhou,1.400249
Zhuzhou,1.398624
Kashgar,1.391088
Lvliang,1.391088
Nyingchi,1.391088
Dongguan,1.391088
Shangrao,1.391088
Wuhai,1.391088
Xinyang,1.391088
Yantai,1.391088
Yushuzhou,1.391088
Cangzhou,1.391088
Zunyi,1.391088
Weicu,1.389752
Luohe,1.375555
Macau,1.375133
Nanyang,1.372327
Qiannan,1.361499
Taizhou,1.355892
Linyi,1.349759
Ma'anshan,1.349759
Dongying,1.349759
Qiqihar,1.349759
Quanzhou,1.349759
Shaoguan,1.349759
Shuozhou,1.349759
Chuzhou,1.349759
Xiangxi,1.349759
Yancheng,1.349759
Yangquan,1.349759
Yingtan,1.349759
Fushun,1.349759
Yunfu,1.349759
Zhangjiakou,1.349759
Zhanjiang,1.349759
Tangshan,1.349068
Bayingolin,1.348928
Ya'an,1.343142
Keramay,1.340065
Zhoukou,1.338456
Linfen,1.337280
Puyang,1.333999
Jingmen,1.333571
Xishuangbanna,1.332952
Ezhou,1.329832
Baoshan,1.325902
Yuxi,1.325485
Yueyang,1.321398
Chengde,1.319663
Jiujiang,1.317342
Wuhu,1.317327
Taoyuan,1.316066
Nanchong,1.310816
Suizhou,1.307824
Huai'an,1.307127
Handan,1.304199
Meishan,1.303766
Diqing,1.302085
Enshi,1.299416
Lianyungang,1.297814
Zhangjiajie,1.294934
Honghe,1.291206
Qujing,1.290920
Neijiang,1.286444
Nantou,1.284518
Ningde,1.284518
Qamdo,1.284518
Qiandongnan,1.284518
Huizhou,1.284518
Qianxinan,1.284518
Aksu,1.284518
Rizhao,1.284518
Dezhou,1.284518
Anqing,1.284518
Ganzhou,1.284518
Tacheng,1.284518
Tai'an,1.284518
Beihai,1.284518
Tongliao,1.284518
Wanning,1.284518
Weihai,1.284518
Liangshanzhou,1.284518
Heyuan,1.284518
Hualien,1.284518
Xinzhou,1.284518
Xiuqian,1.284518
Lishui,1.284518
Yanbian,1.284518
Yibin,1.284518
Jining,1.284518
Fuxin,1.284518
Luzhou,1.284518
Zhaotong,1.284518
Datong,1.284518
Jiyuan,1.280987
Xuancheng,1.276313
Suining,1.270780
Hebi,1.264949
Ziyang,1.262095
Golog,1.249189
Xingtai,1.248457
Nanping,1.246422
Chizhou,1.245959
Lu'an,1.237952
Bazhong,1.234822
Jincheng,1.234708
Quzhou,1.230727
Huludao,1.222630
Hotan,1.218493
Ngari,1.215760
Heze,1.215002
Jilin,1.215002
Kaohsiung,1.213226
Changzhi,1.211349
Hulunbuir,1.210937
Bortala,1.210233
Dehong,1.209142
Hengyang,1.206377
Pu'er,1.205085
Hengshui,1.204575
New Taipei,1.203639
Changde,1.197379
Jingdezhen,1.196288
Jian,1.194534
Jiangmen,1.193107
Chifeng,1.189325
Mudanjiang,1.187075
Anshan,1.187075
Daqing,1.187075
Liuzhou,1.185201
Zibo,1.180701
Fuyang,1.179889
Zaozhuang,1.178699
Bozhou,1.178642
Panzhihua,1.176575
Jinzhou,1.176378
Tieling,1.175399
Sansha,1.175399
Binzhou,1.175399
Wenshan,1.171953
Jieyang,1.166712
Guang'an,1.162584
Yiyang,1.161882
Fangchenggang,1.161659
Hsinchu,1.160270
Dandong,1.159796
Taichung,1.151418
Huaihua,1.150475
Yichun,1.150121
Shantou,1.148432
Putian,1.145756
Qionghai,1.145756
Meizhou,1.142001
Liaocheng,1.141337
Tongling,1.140604
Pingxiang,1.139638
Panjin,1.133323
Longyan,1.131932
Chenzhou,1.128613
Hezhou,1.126601
Anshun,1.125614
Qingyuan,1.125614
Pingdong,1.125614
Yingkou,1.124662
Ulanqab,1.123825
Lincang,1.122454
Zhangzhou,1.119457
Loudi,1.119151
Suihua,1.114529
Huainan,1.114450
Jiamusi,1.113849
Laibin,1.113849
Zhaoqing,1.113849
Baishan,1.113849
Xiangtan,1.112907
Huaibei,1.109715
