city,distance
Lijiang,6.659452
Shanghai,4.022219
Kunming,3.878197
Beijing,3.348745
Dali,3.265424
Garze,2.783672
Chengdou,2.735914
Chongqing,2.616122
Lhasa,2.605697
Qamdo,2.584188
Guangzhou,2.513431
Liangshanzhou,2.500554
Hangzhou,2.398433
Nanjing,2.185779
Nyingchi,2.185779
Shenzhen,2.185779
Weicu,2.185779
Xishuangbanna,2.185779
Harbin,2.122485
Tianjin,2.122485
Xi'an,2.122485
Suzhou,2.116405
Qingdao,2.043269
Shamen,2.043269
Hong Kong,1.993916
Jiaxing,1.993916
Sanya,1.993916
Guilin,1.933702
Guiyang,1.933702
Zhenjiang,1.933702
Changsha,1.854757
Dalian,1.854757
Ngawa,1.854757
Ningbo,1.854757
Panzhihua,1.854757
Baoshan,1.854757
Urumqi,1.854757
Wuhan,1.854757
Wuxi,1.854757
Zhengzhou,1.854757
Zhuhai,1.854757
Changzhou,1.777019
Ya'an,1.744090
Fuyang,1.733754
Haikou,1.733754
Hefei,1.733754
Honghe,1.733754
Huaihua,1.733754
Huainan,1.733754
Huangshan,1.733754
Jinhua,1.733754
Jining,1.733754
Jiuquan,1.733754
Leshan,1.733754
Aksu,1.733754
Macau,1.733754
Mianyang,1.733754
Nanchong,1.733754
Ningde,1.733754
Nujiang,1.733754
Qinhuangdao,1.733754
Shaoxing,1.733754
Taizhou,1.733754
Tangshan,1.733754
Xiangxi,1.733754
Xining,1.733754
Xiuzhou,1.733754
Yibin,1.733754
Zhangzhou,1.733754
Changchun,1.733754
Zhongshan,1.733754
Zhuzhou,1.733754
Zigong,1.733754
Yuxi,1.703860
Zhoushan,1.690663
Nantong,1.675533
Ulanqab,1.674111
Qujing,1.647166
Huzhou,1.637597
Yangzhou,1.590021
Langfang,1.587100
Taipei,1.583407
Qiandongnan,1.574900
Nagqu,1.574549
Shijiazhuang,1.564311
Shannan,1.559749
Foshan,1.555443
Baoding,1.552342
Jinan,1.550988
Shijiazhuang,1.548521
Shenyang,1.529055
Wenzhou,1.522840
Fuzhou,1.518389
Dehong,1.516313
Pu'er,1.509938
Jinzhong,1.506553
Taizhou,1.497336
Anyang,1.493682
Nanning,1.479551
Nanchang,1.467966
Dongguan,1.463851
Zhangjiakou,1.460574
Deyang,1.458589
Wenshan,1.458283
Yancheng,1.450975
Chengde,1.447935
Changde,1.445193
Taoyuan,1.423792
Haixi,1.421320
Xuzhou,1.418566
Hohhot,1.418548
Shangrao,1.414073
Yantai,1.413954
Meizhou,1.412195
Zhaotong,1.412195
Lanzhou,1.404071
Lianyungang,1.402455
Zunyi,1.401523
Zhangjiajie,1.399092
Wuhu,1.384876
Lincang,1.382424
Cangzhou,1.380502
Xuancheng,1.377380
Liuzhou,1.371504
Hanzhong,1.371504
Zaozhuang,1.371504
Liupanshui,1.367524
Quanzhou,1.361554
Tai'an,1.360573
Xianyang,1.354167
Datong,1.352587
Jiangmen,1.348603
Huai'an,1.342739
Yinchuan,1.342733
Meishan,1.342722
Nanping,1.342632
Chizhou,1.342095
Ngari,1.337463
Qianxinan,1.334800
Huludao,1.331951
Linyi,1.331313
Maoming,1.331313
Hebi,1.331313
Neijiang,1.331313
Baoji,1.331313
Qionghai,1.331313
Quzhou,1.331313
Dongying,1.331313
Xiaogan,1.331313
Zhanjiang,1.331313
Fushun,1.331313
Baise,1.326058
Baotou,1.325650
Jiujiang,1.323934
Luoyang,1.323046
Weinan,1.322393
Daqing,1.321199
Weihai,1.319946
Lishui,1.318096
Hulunbuir,1.318085
Qingyuan,1.316695
Bangbu,1.316621
Anshun,1.316573
Dezhou,1.314098
Beihai,1.313193
Guang'an,1.312139
Yichang,1.310770
Huizhou,1.308024
Suining,1.307761
Chuzhou,1.306588
Yingtan,1.305547
Kaohsiung,1.304193
Zhaoqing,1.302645
Weifang,1.299503
Xinzhou,1.298655
Ziyang,1.298565
Mudanjiang,1.297614
Chifeng,1.292519
Dazhou,1.290615
Shaoguan,1.286471
Jingdezhen,1.284640
Handan,1.283822
Ma'anshan,1.283725
Jian,1.282617
Zibo,1.282340
Jiayuguan,1.279316
Ordos,1.278024
Jinzhou,1.277244
Jilin,1.276457
Anqing,1.274509
Guangyuan,1.270473
Hengshui,1.269090
Loudi,1.267802
Ganzhou,1.267802
Nanyang,1.267802
New Taipei,1.267802
Putian,1.267802
Puyang,1.267802
Qiannan,1.267802
Ankang,1.267802
Qinzhou,1.267802
Sanmenxia,1.267802
Shanwei,1.267802
Shiyan,1.267802
Suihua,1.267802
Suizhou,1.267802
Tongchuan,1.267802
Wenchang,1.267802
Yan'an,1.267802
Huaibei,1.267802
Lingshui,1.267802
Yueyang,1.267802
Yulin,1.267802
Luzhou,1.264871
Wanning,1.258542
Bayingolin,1.258061
Dandong,1.257720
Xingtai,1.254826
Rizhao,1.253856
Xilingol,1.252181
Jieyang,1.250596
Shantou,1.249945
Turpan,1.248312
Yangjiang,1.246252
Qiqihar,1.243789
Jiaozuo,1.242317
Xinxiang,1.241946
Yanbian,1.240957
Changji,1.238445
Kaifeng,1.233795
Taichung,1.233040
Anshan,1.229656
Lu'an,1.229617
Enshi,1.227241
Panjin,1.226647
Kashgar,1.224162
Alty,1.223295
Xiangyang,1.221687
Tongling,1.220646
Xiuqian,1.220297
Yingkou,1.216507
Longyan,1.210720
Yichun,1.203451
Hengyang,1.201893
Yulin,1.201893
Nantou,1.201753
Binzhou,1.201748
Ili(Yili),1.201539
Pingdong,1.200459
Yangquan,1.199430
Xiangtan,1.199123
Liaocheng,1.196445
Gannan,1.196353
Jiamusi,1.195343
Tongren,1.194961
Hezhou,1.194157
Bozhou,1.189532
Heihe,1.188483
Heyuan,1.188244
Yichun,1.182328
Daxinganling,1.182328
Xinyang,1.180524
Hualien,1.178923
Haibei,1.178499
Xinyu,1.177806
Sanming,1.177243
Changzhi,1.173715
Chaoyang,1.172924
Yuncheng,1.171320
Tainan,1.170171
Tongliao,1.169685
Bazhong,1.168538
Yushuzhou,1.168193
Shuozhou,1.167173
Benxi,1.165456
Pingxiang,1.164454
Heze,1.163702
Chongzuo,1.163126
Keramay,1.162795
Zhangye,1.162658
Xianning,1.159071
Yunlin,1.159024
Chenzhou,1.158635
Shangqiu,1.153216
Shangluo,1.151695
Siping,1.151313
Bayannur,1.150278
Chiayi,1.149367
Lvliang,1.149231
Tianshui,1.149021
Fuzhou,1.147776
Hinggan,1.147094
Jingzhou,1.147094
Tieling,1.147094
Baishan,1.146005
Zhongwei,1.146005
Linfen,1.144900
Wuzhou,1.142475
Luohe,1.140326
Xuchang,1.140326
Huanggang,1.140202
Huangshi,1.140202
Jixi,1.137062
Chaozhou,1.136730
Fangchenggang,1.134091
