city,distance
Sanya,5.629817
Haikou,5.130481
Shanghai,3.701360
Beijing,3.499093
Danzhou,3.248866
Guangzhou,3.248866
Ledong,3.248866
Changjiang,2.894955
Chengmai,2.894955
Foshan,2.894955
Lingshui,2.894955
Liuzhou,2.894955
Shaoguan,2.894955
Wenchang,2.894955
Qionghai,2.204969
Wanning,2.124631
Suzhou,2.024081
Hangzhou,1.946554
Tianjin,1.887084
Shenzhen,1.869531
Zhanjiang,1.800301
Jiaxing,1.795497
Nanning,1.795097
Guilin,1.778358
Wuhan,1.770683
Nanjing,1.767308
Wuxi,1.766425
Hong Kong,1.762647
Chengdou,1.752224
Shamen,1.742385
Chongqing,1.742024
Taizhou,1.733754
Changsha,1.716481
Dingan,1.716481
Changzhou,1.711473
Ningbo,1.710546
Kunming,1.677204
Weinan,1.669786
Baoting,1.656518
Xi'an,1.656518
Dongguan,1.637427
Nanchang,1.636680
Zhuhai,1.636680
Zhoushan,1.631226
Zhengzhou,1.627349
Langfang,1.620091
Nantong,1.617136
Qingyuan,1.602885
Wuzhishan,1.593425
Qingdao,1.584450
Baoding,1.583890
Jinan,1.582480
Huzhou,1.581771
Shijiazhuang,1.579913
Qinhuangdao,1.578501
Fuzhou,1.577638
Harbin,1.574820
Zhongshan,1.564762
Guiyang,1.564655
Shenyang,1.559654
Shaoxing,1.557362
Laibin,1.549706
Beihai,1.549594
Chenzhou,1.541475
Wenzhou,1.538057
Yangzhou,1.537339
Jiangmen,1.535049
Taipei,1.531155
Dalian,1.528138
Taiyuan,1.527560
Urumqi,1.520517
Jinhua,1.515966
Tangshan,1.512193
Zhenjiang,1.493971
Hengyang,1.492822
Zhangjiakou,1.488469
Changchun,1.483762
Sansha,1.483730
Huizhou,1.482691
Huangshan,1.480699
Hefei,1.478958
Hechi,1.477298
Zhaoqing,1.475783
Chengde,1.475345
Qiongzhong,1.463401
Hohhot,1.457194
Taizhou,1.450527
Macau,1.446626
Dali,1.442324
Baotou,1.441963
Tongliao,1.434003
Taizhou,1.425348
Lanzhou,1.425123
Putian,1.413853
Qinzhou,1.413853
Shangrao,1.413853
Fangchenggang,1.413853
Xiaogan,1.413853
Yantai,1.413115
Shantou,1.408506
Yancheng,1.406977
Cangzhou,1.405396
Lijiang,1.405301
Meishan,1.404958
Hezhou,1.397004
Zhuzhou,1.390874
Tai'an,1.384748
Yangjiang,1.384309
Luoyang,1.381446
Siping,1.381446
Taoyuan,1.381446
Xuzhou,1.376483
Datong,1.376476
Yingtan,1.370779
Yinchuan,1.366272
Lianyungang,1.361308
Zhangjiajie,1.358139
Huludao,1.355110
Jieyang,1.352272
Leshan,1.352272
Ordos,1.352272
Weihai,1.352272
Chuzhou,1.352272
Zhangzhou,1.352272
Ganzhou,1.346612
Lhasa,1.345096
Wuhu,1.344740
Jinzhong,1.344563
Hulunbuir,1.340760
Xining,1.340760
Xuancheng,1.337670
Dezhou,1.336636
Huai'an,1.334721
Wuzhou,1.331698
Yulin,1.331698
Heyuan,1.330645
Jining,1.326453
Quanzhou,1.322740
Guigang,1.322585
Weifang,1.321539
Xinzhou,1.320661
Ngawa,1.316853
Chifeng,1.314317
Longyan,1.313484
Diqing,1.313484
Yichang,1.313484
Luzhou,1.313184
Maoming,1.313184
Mianyang,1.313184
Jiujiang,1.313184
Pingdingshan,1.313184
Qianxinan,1.313184
Quzhou,1.313184
Shanwei,1.313184
Chaozhou,1.313184
Baoshan,1.313184
Weicu,1.313184
Wuhai,1.313184
Xianyang,1.313184
Xinxiang,1.313184
Ya'an,1.313184
Yunfu,1.313184
Jiuquan,1.313184
Zigong,1.313184
Qiandongnan,1.312655
Xiangxi,1.312655
Handan,1.305324
Nanping,1.304874
Chizhou,1.304367
Zibo,1.303793
Pingxiang,1.303541
Huaihua,1.301729
Zunyi,1.301729
Jinzhou,1.298524
Jilin,1.297711
Hengshui,1.290098
Xianning,1.289475
Yueyang,1.289475
Changde,1.287082
Changzhi,1.287082
Rizhao,1.287082
Anyang,1.287082
Dongying,1.287082
Meizhou,1.285086
Lishui,1.281687
Bangbu,1.280292
Dandong,1.278349
Baise,1.275931
Yongzhou,1.275793
Xingtai,1.275360
Xilingol,1.272628
Kaohsiung,1.268537
Qiqihar,1.263960
Linyi,1.263203
Jiaozuo,1.262441
Kaifeng,1.253642
Fushun,1.253222
Nanyang,1.251623
Luohe,1.251623
Ningde,1.251623
Huainan,1.251623
Honghe,1.251623
Huaibei,1.251623
Linfen,1.251623
Deyang,1.251623
Huangshi,1.251623
Xuchang,1.251623
Yibin,1.251623
Yichun,1.251623
Linxia,1.251351
Pu'er,1.251351
Hebi,1.251351
Puyang,1.251351
Guyuan,1.251351
Baicheng,1.251351
Qujing,1.251351
Shannan,1.251351
Suining,1.251351
Hegang,1.251351
Haibei,1.251351
Turpan,1.251351
Jincheng,1.251351
Xiangtan,1.251351
Xiangyang,1.251351
Mudanjiang,1.251351
Nanchong,1.251351
Hotan,1.251351
Jiayuguan,1.251351
Yiyang,1.251351
Jingdezhen,1.251351
Guangyuan,1.251351
Jian,1.251351
Ziyang,1.251351
Daqing,1.250238
Baoji,1.249804
Anshan,1.249368
Ma'anshan,1.249165
Panjin,1.246262
Yanbian,1.242586
Qiannan,1.240945
Anqing,1.240436
Yingkou,1.235797
Ulanqab,1.234787
Yan'an,1.230103
New Taipei,1.222946
Binzhou,1.220569
Yangquan,1.218177
Liaocheng,1.215098
Taichung,1.201121
Xinyang,1.198680
Lu'an,1.197872
Xinyu,1.197390
Jingzhou,1.197390
Huanggang,1.197390
Shiyan,1.195327
Shizuishan,1.195327
Suihua,1.195327
Kashgar,1.195327
Daxinganling,1.195327
Shangluo,1.195327
Jiyuan,1.195327
Chaoyang,1.195327
Lvliang,1.195327
Ili(Yili),1.195327
Aksu,1.195327
Hinggan,1.195327
Liupanshui,1.195327
Chongzuo,1.195327
Bayingolin,1.195327
Yulin,1.195327
Yuncheng,1.195327
Yuxi,1.195327
Jiamusi,1.195327
Benxi,1.195327
Zhaotong,1.195327
Dehong,1.195327
Zhoukou,1.195327
Chiayi,1.195327
Baishan,1.195327
Changji,1.195327
Tongling,1.189358
Xiuqian,1.189026
Anshun,1.185584
Shuozhou,1.184918
Heze,1.181342
Garze,1.179191
Nantou,1.171413
Pingdong,1.170183
Bayannur,1.167510
Tieling,1.164230
Zhongwei,1.163107
Haixi,1.160572
Xishuangbanna,1.158700
Fuyang,1.158700
Shangqiu,1.158462
Xiuzhou,1.149711
Hualien,1.149711
Sanming,1.148113
Fuxin,1.146947
Shaoyang,1.145766
Ankang,1.145766
Zhumadian,1.145766
Suizhou,1.145766
Gannan,1.142719
Tainan,1.141386
Sanmenxia,1.136714
Keramay,1.135140
Bijie,1.134951
Loudi,1.134951
Liaoyang,1.131895
Bozhou,1.131895
Yunlin,1.130778
Tonghua,1.128512
Fuzhou,1.120069
Nyingchi,1.117387
Liangshanzhou,1.113293
Hanzhong,1.113293
Laiwu,1.108967
Alty,1.108533
Alxa,1.104380
Taidong,1.101978
Yilan,1.101059
Dazhou,1.096927
Hsinchu,1.094919
Keelung,1.094267
Tianshui,1.091508
Enshi,1.088640
Kumul(Hami),1.088640
Songyuan,1.088640
Penghu,1.088221
Jixi,1.085655
Yichun,1.075881
Nagqu,1.071157
Kinmen,1.069658
Heihe,1.068530
Wuzhong,1.064545
Ezhou,1.059920
Zhangye,1.055813
Baiyin,1.050992
Guang'an,1.050992
Jingmen,1.050992
Panzhihua,1.045800
Liaoyuan,1.045800
Shuangyashan,1.045800
Qamdo,1.045800
Neijiang,1.041365
Jinchang,1.034020
Huangnan,1.027228
Miaoli,1.023927
Changhua,1.019635
Qitaihe,1.011009
Bazhong,1.011009
Pingliang,1.011009
Tongren,1.011009
Wuwei,1.000992
Longnan,1.000992
Qingyang,1.000992
Lincang,0.998424
Bortala,0.993737
Haidong,0.993737
Tongchuan,0.989000
Dingxi,0.983095
Wenshan,0.976451
Golog,0.973957
Yushuzhou,0.973957
Nujiang,0.958941
Tacheng,0.958941
Ngari,0.942313
Kezilsu,0.927728
