city,distance
Guangzhou,5.383832
Shenzhen,5.115120
Shanghai,3.984562
Hong Kong,3.644082
Huizhou,3.187527
Zhongshan,3.000424
Beijing,2.941138
Zhuhai,2.870042
Foshan,2.834690
Wuhan,2.663796
Shamen,2.498135
Jiangmen,2.459604
Suzhou,2.452851
Chengdou,2.445994
Hangzhou,2.378851
Zhaoqing,2.370686
Changsha,2.353852
Macau,2.327204
Taoyuan,2.327204
Qingyuan,2.317907
Maoming,2.267716
Heyuan,2.245588
Taipei,2.233998
Chongqing,2.209620
Nanjing,2.209620
Yangjiang,2.196763
Shantou,2.183407
Wuxi,2.183407
Shenyang,2.154997
Shaoguan,2.139820
Tianjin,2.123897
Xi'an,2.123897
Shanwei,2.107135
Ganzhou,2.089423
Hengyang,2.089423
Nanning,2.089423
Zhanjiang,2.089423
Chaozhou,2.070623
Sanming,2.070623
Guilin,2.029040
Jian,2.005762
Nanchang,2.005762
Sanya,2.005762
Taichung,2.005762
Yunfu,2.005762
Zhengzhou,2.005762
Fuzhou,1.980364
Jieyang,1.980364
Kunming,1.980364
Quanzhou,1.980364
Haikou,1.952337
Jinhua,1.952337
Kaohsiung,1.952337
Lijiang,1.952337
Meizhou,1.952337
Ningbo,1.952337
Qingdao,1.952337
Suihua,1.952337
Wenzhou,1.952337
Dalian,1.920952
Jiaxing,1.920952
Chenzhou,1.920952
Guiyang,1.885111
Harbin,1.885111
Jinan,1.885111
Nanping,1.885111
Shijiazhuang,1.885111
Urumqi,1.885111
Yulin,1.885111
Nantong,1.843024
Ningde,1.843024
Qinhuangdao,1.843024
Tainan,1.843024
Xianning,1.843024
Yueyang,1.843024
Jiujiang,1.791460
Lanzhou,1.791460
Longyan,1.791460
Datong,1.791460
New Taipei,1.791460
Taiyuan,1.791460
Weifang,1.791460
Wenchang,1.791460
Wuzhou,1.791460
Fuzhou,1.791460
Xuzhou,1.791460
Yancheng,1.791460
Yangzhou,1.791460
Zhangzhou,1.791460
Changzhou,1.769631
Hezhou,1.723498
Hohhot,1.723498
Huanggang,1.723498
Huangshan,1.723498
Chuzhou,1.723498
Langfang,1.723498
Luzhou,1.723498
Nantou,1.723498
Putian,1.723498
Shangrao,1.723498
Shaoyang,1.723498
Tai'an,1.723498
Taizhou,1.723498
Yantai,1.723498
Yiyang,1.723498
Anyang,1.723498
Zhuzhou,1.723498
Zhoushan,1.683973
Huzhou,1.631321
Huai'an,1.618532
Huangshi,1.618532
Anqing,1.618532
Baoding,1.618532
Jiaozuo,1.618532
Jiayuguan,1.618532
Jilin,1.618532
Jining,1.618532
Jinzhou,1.618532
Garze,1.618532
Liuzhou,1.618532
Loudi,1.618532
Luoyang,1.618532
Guang'an,1.618532
Mianyang,1.618532
Nyingchi,1.618532
Panzhihua,1.618532
Qiandongnan,1.618532
Qinzhou,1.618532
Dali,1.618532
Quzhou,1.618532
Chaoyang,1.618532
Shangluo,1.618532
Changchun,1.618532
Shaoxing,1.618532
Beihai,1.618532
Shiyan,1.618532
Baoji,1.618532
Fangchenggang,1.618532
Wanning,1.618532
Guigang,1.618532
Chengde,1.618532
Wenshan,1.618532
Bozhou,1.618532
Xiangtan,1.618532
Xiangxi,1.618532
Xiangyang,1.618532
Xianyang,1.618532
Xingtai,1.618532
Xuchang,1.618532
Haidong,1.618532
Yichun,1.618532
Yichun,1.618532
Yinchuan,1.618532
Yingtan,1.618532
Yongzhou,1.618532
Zhangjiakou,1.618532
Chizhou,1.618532
Zhenjiang,1.618532
Zhumadian,1.618532
Zigong,1.618532
Chenzhou,1.541475
Taizhou,1.492087
Leshan,1.473516
Ngawa,1.470558
Ulanqab,1.458797
Jingdezhen,1.450588
Yichang,1.436399
Lianyungang,1.397849
Tangshan,1.397610
Zhangjiajie,1.394508
Jingzhou,1.390605
Diqing,1.380852
Wuhu,1.380384
Xiaogan,1.375716
Pingdong,1.373237
Xuancheng,1.372936
Deyang,1.371898
Lhasa,1.371133
Hsinchu,1.356790
Sansha,1.355672
Pingxiang,1.344290
Anshan,1.340338
Xining,1.332369
Changhua,1.329804
Changde,1.325260
Huaihua,1.323785
Weinan,1.322941
Weihai,1.315865
Chongzuo,1.314208
Lishui,1.314027
Ezhou,1.312976
Bangbu,1.312561
Fushun,1.311747
Keelung,1.309777
Ya'an,1.306176
Cangzhou,1.305894
Jingmen,1.305528
Kaifeng,1.297962
Qionghai,1.297329
Ordos,1.296971
Ili(Yili),1.289765
Baotou,1.286186
Enshi,1.283317
Anshun,1.280069
Ma'anshan,1.279865
Baise,1.279565
Zibo,1.279565
Chiayi,1.278266
Xinyang,1.276436
Nanchong,1.275585
Daqing,1.271844
Yilan,1.271596
Jiuquan,1.269305
Meishan,1.268908
Linyi,1.267044
Jinzhong,1.264887
Nanyang,1.264887
Hualien,1.264664
Huludao,1.262366
Turpan,1.261989
Zaozhuang,1.260634
Liaoyang,1.258437
Handan,1.256662
Liangshanzhou,1.256514
Taidong,1.255546
Yan'an,1.254636
Benxi,1.253888
Neijiang,1.252494
Changji,1.251905
Weicu,1.251376
Rizhao,1.250173
Hulunbuir,1.249904
Baoshan,1.249551
Xinyu,1.247694
Xishuangbanna,1.247694
Dandong,1.246764
Dezhou,1.246319
Suizhou,1.245094
Tieling,1.241875
Xinxiang,1.240096
Yingkou,1.239593
Suining,1.237641
Yanbian,1.237349
Heze,1.236620
Hengshui,1.236620
Alty,1.236425
Zunyi,1.236405
Miaoli,1.235278
Xinzhou,1.232419
Yunlin,1.231437
Ziyang,1.229401
Chifeng,1.226892
Liaocheng,1.226811
Linfen,1.226811
Honghe,1.226811
Lu'an,1.226074
Bayannur,1.224984
Shuozhou,1.224611
Huainan,1.221667
Yibin,1.221667
Yuncheng,1.221667
Panjin,1.217764
Tongling,1.217156
