city,distance
Beijing,4.557061
Qingdao,4.289764
Shanghai,4.233701
Jinan,4.082388
Zibo,3.459461
Binzhou,3.393314
Weifang,3.301154
Leshan,3.290334
Chengdou,3.222537
Yantai,3.161694
Jining,2.927836
Tianjin,2.892454
Wuxi,2.874032
Cangzhou,2.794538
Hohhot,2.794538
Tai'an,2.677675
Weihai,2.623111
Dezhou,2.562161
Macau,2.528639
Hangzhou,2.410612
Rizhao,2.410612
Taipei,2.410612
Nanjing,2.362945
Zaozhuang,2.362945
Chongqing,2.308944
Hong Kong,2.308944
Ma'anshan,2.308944
Nanchang,2.308944
Dalian,2.246120
Guangzhou,2.246120
Jiaxing,2.246120
Shenzhen,2.246120
Shijiazhuang,2.246120
Wuhan,2.246120
Suzhou,2.173533
Deyang,2.170000
Heze,2.170000
Linyi,2.170000
Sanya,2.170000
Shenyang,2.170000
Tangshan,2.170000
Guilin,2.071075
Changzhou,2.071075
Kunming,2.071075
Langfang,2.071075
Lanzhou,2.071075
Liaocheng,2.071075
Lijiang,2.071075
Ningbo,2.071075
Puyang,2.071075
Taizhou,2.071075
Urumqi,2.071075
Xi'an,2.071075
Xuzhou,2.071075
Zhengzhou,2.071075
Ganzhou,1.921341
Huai'an,1.921341
Huangshan,1.921341
Huludao,1.921341
Huzhou,1.921341
Jiaozuo,1.921341
Jingzhou,1.921341
Keramay,1.921341
Chifeng,1.921341
Lhasa,1.921341
Meishan,1.921341
Nantong,1.921341
Nanyang,1.921341
Ngawa,1.921341
Panjin,1.921341
Qingyuan,1.921341
Chengde,1.921341
Changsha,1.921341
Weinan,1.921341
Wenzhou,1.921341
Xinzhou,1.921341
Xuchang,1.921341
Daqing,1.921341
Yangzhou,1.921341
Yibin,1.921341
Zhenjiang,1.921341
Zhoushan,1.921341
Zhuzhou,1.921341
Jinan,1.885111
Shamen,1.852007
Baoding,1.769885
Qinhuangdao,1.763159
Taiyuan,1.699842
Harbin,1.675204
New Taipei,1.674150
Zhangjiakou,1.651575
Shaoxing,1.644357
Zhuhai,1.635014
Changchun,1.627512
Baotou,1.622949
Ordos,1.610572
Jinhua,1.598276
Hefei,1.579115
Lianyungang,1.567783
Mianyang,1.558817
Taoyuan,1.549994
Guiyang,1.539649
Fuzhou,1.532059
Ulanqab,1.530422
Laiwu,1.525244
Datong,1.514820
Garze,1.510306
Yinchuan,1.502472
Nanning,1.501394
Ya'an,1.499079
Taizhou,1.497876
Haikou,1.489768
Yancheng,1.477601
Jinzhong,1.476260
Hulunbuir,1.471677
Xining,1.471677
Luoyang,1.470116
Hengshui,1.469783
Jiujiang,1.459381
Nanchong,1.458924
Bangbu,1.456009
Wuhu,1.451998
Foshan,1.448744
Xilingol,1.446562
Shangrao,1.439350
Diqing,1.439212
Handan,1.429093
Neijiang,1.428796
Mudanjiang,1.428386
Zhangjiajie,1.423831
Liangshanzhou,1.421544
Jinzhou,1.420946
Jilin,1.419973
Dandong,1.415753
Suining,1.409500
Xuancheng,1.401351
Bayannur,1.400433
Dali,1.400275
Ziyang,1.398823
Xingtai,1.393255
Yichang,1.392448
Zigong,1.387963
Taichung,1.387298
Quanzhou,1.384973
Shangqiu,1.384574
Qiqihar,1.379662
Xinxiang,1.377394
Anshan,1.376775
Anyang,1.376013
Keelung,1.368564
Kaifeng,1.367376
Fushun,1.366878
Guangyuan,1.366280
Nanping,1.365399
Chuzhou,1.365197
Chizhou,1.364844
Dongguan,1.363711
Baoji,1.362812
Luzhou,1.359803
Alty,1.357805
Yanbian,1.354234
Hsinchu,1.352611
Kaohsiung,1.349661
Quzhou,1.346587
Yingkou,1.346174
Turpan,1.342700
Lishui,1.340032
Nyingchi,1.339883
Yan'an,1.339421
Putian,1.338608
Zhongshan,1.336601
Beihai,1.334964
Dazhou,1.334115
Xiangyang,1.333582
Xianyang,1.333055
Changji,1.331290
Yingtan,1.327063
Yilan,1.326933
Wanning,1.326482
Hinggan,1.326194
Yangquan,1.325293
Wuhai,1.323350
Yichun,1.321795
Hualien,1.319386
Liuzhou,1.315558
Ili(Yili),1.314979
Jian,1.313981
Jiuquan,1.310757
Xiuzhou,1.308949
Jingdezhen,1.305467
Xiangxi,1.302249
Xinyang,1.302249
Xianning,1.300699
Alxa,1.297472
Nagqu,1.295676
Anqing,1.295006
Panzhihua,1.294535
Changzhi,1.293969
Chaoyang,1.293008
Yuncheng,1.291059
Tongliao,1.289073
Nantou,1.287715
Weicu,1.286995
Qionghai,1.286260
Shuozhou,1.286022
Shannan,1.285638
Ningde,1.284550
Benxi,1.283938
Enshi,1.281680
Baishan,1.281680
Huizhou,1.280198
Jiamusi,1.279639
Guang'an,1.277619
Fuzhou,1.273070
Meizhou,1.272834
Changde,1.272834
Yueyang,1.271654
Pingdong,1.271475
Tainan,1.271065
Jieyang,1.270326
Yulin,1.269253
Jiangmen,1.267656
Siping,1.266794
Liaoyang,1.263539
Huanggang,1.261719
Tieling,1.261689
Zhongwei,1.260371
Pingdingshan,1.259963
Linfen,1.259035
Hebi,1.257783
Baoshan,1.256309
Xiaogan,1.255174
Zhangzhou,1.254918
Huangshi,1.253600
Luohe,1.253506
Shaoguan,1.253306
Bayingolin,1.251909
Tianshui,1.250669
Xishuangbanna,1.250621
Bazhong,1.249101
Shantou,1.248685
Lu'an,1.248685
Xinyu,1.248441
Huaibei,1.247504
Fuyang,1.246128
Qiandongnan,1.246128
Zhanjiang,1.246128
Fuxin,1.241417
Tongling,1.239435
Xiuqian,1.239075
Zunyi,1.238145
Gannan,1.236466
Kashgar,1.235981
Ezhou,1.234616
Maoming,1.234616
Chiayi,1.233910
Pingxiang,1.233791
Yuxi,1.231691
Xiangtan,1.229438
Sanmenxia,1.229438
Longyan,1.229202
Zhaoqing,1.226966
Shiyan,1.226543
Hezhou,1.225719
Dehong,1.225719
Bozhou,1.223803
Tonghua,1.219849
Huainan,1.219711
Jixi,1.218673
Hengyang,1.218464
Anshun,1.217807
Jiayuguan,1.216411
Daxinganling,1.215719
Loudi,1.215719
Zhaotong,1.211751
Hanzhong,1.210790
Zhumadian,1.210323
Suihua,1.208707
Haixi,1.208207
Yongzhou,1.206860
Taidong,1.205849
Wuwei,1.205619
Jincheng,1.202086
Honghe,1.202038
Qujing,1.201790
Miaoli,1.201283
Ngari,1.201077
Lingshui,1.197264
Jingmen,1.196484
Dingxi,1.196240
Sanming,1.194709
Linxia,1.194096
Heyuan,1.189898
Zhangye,1.189645
Changhua,1.187001
Kumul(Hami),1.186691
Huaihua,1.186015
Aksu,1.184394
Chenzhou,1.184394
Shaoyang,1.184394
Zhoukou,1.184144
Yiyang,1.183028
Yunfu,1.178834
Baiyin,1.178291
Fangchenggang,1.176570
