city,distance
Wuhan,5.404710
Yichang,4.702370
Chongqing,4.295870
Shanghai,3.578083
Beijing,3.316852
Hangzhou,3.169698
Chengdou,3.029838
Jingzhou,2.805779
Shiyan,2.749849
Dazhou,2.687994
Xiangyang,2.687994
Guang'an,2.618334
Suzhou,2.618334
Changsha,2.537839
Jingmen,2.537839
Shijiazhuang,2.537839
Tianjin,2.537839
Xiangxi,2.537839
Zhangjiajie,2.537839
Xi'an,2.441088
Hong Kong,2.316612
Jiaxing,2.316612
Nanjing,2.316612
Nanning,2.316612
Suining,2.316612
Binzhou,2.130862
Changde,2.130862
Chenzhou,2.130862
Chizhou,2.130862
Dali,2.130862
Dalian,2.130862
Garze,2.130862
Guangzhou,2.130862
Guiyang,2.130862
Hefei,2.130862
Huangshi,2.130862
Kunming,2.130862
Liangshanzhou,2.130862
Lu'an,2.130862
Mianyang,2.130862
Nanchong,2.130862
Neijiang,2.130862
Qingdao,2.130862
Sanmenxia,2.130862
Shangrao,2.130862
Shenzhen,2.130862
Weifang,2.130862
Wuxi,2.130862
Xianning,2.130862
Xiaogan,2.130862
Xining,2.130862
Yiyang,2.130862
Zhengzhou,2.130862
Zhuzhou,2.130862
Ziyang,2.130862
Meishan,1.921341
Huanggang,1.878354
Shamen,1.811283
Nanchang,1.779197
Ezhou,1.750552
Yueyang,1.735967
Lijiang,1.730101
Jiujiang,1.728973
Ngawa,1.697068
Xinyang,1.686195
Changzhou,1.684635
Leshan,1.667034
Sanya,1.662588
Lhasa,1.661933
Shenyang,1.645096
Zhuhai,1.643490
Suizhou,1.631929
Jinan,1.620830
Fuzhou,1.611678
Zunyi,1.608194
Zhoushan,1.606828
Guilin,1.594745
Nantong,1.593155
Dongguan,1.585590
Langfang,1.579900
Shaoxing,1.576583
Ankang,1.574884
Jinhua,1.567353
Haikou,1.565589
Wenzhou,1.565589
Huzhou,1.558820
Lanzhou,1.556462
Luzhou,1.550938
Baoding,1.545453
Hengyang,1.542728
Qinhuangdao,1.540322
Deyang,1.538139
Nanyang,1.535590
Yulin,1.534516
Luoyang,1.525379
Yangzhou,1.515650
Urumqi,1.513434
Zhenjiang,1.513434
Zhongshan,1.510927
Zigong,1.510576
Taipei,1.509639
Anqing,1.504079
Harbin,1.503137
Zhumadian,1.497705
Yibin,1.496490
Huangshan,1.492061
Taiyuan,1.491778
Xuzhou,1.485383
Yinchuan,1.485383
Foshan,1.480063
Xianyang,1.477173
Tangshan,1.477119
Shaoguan,1.476898
Fangchenggang,1.470347
