city,distance
Wuhan,6.117796
Huanggang,4.144558
Huangshi,4.067606
Shanghai,3.672141
Jiujiang,3.242330
Beijing,2.837338
Hangzhou,2.837338
Nanchang,2.837338
Jingdezhen,2.780156
Jinan,2.716946
Shenzhen,2.645797
Nanjing,2.563631
Shangrao,2.563631
Hefei,2.464942
Jinhua,2.464942
Ngawa,2.464942
Xianning,2.464942
Changsha,2.338085
Chengdou,2.338085
Jiaxing,2.338085
Macau,2.338085
Ningbo,2.338085
Shijiazhuang,2.338085
Xiaogan,2.338085
Xinyang,2.338085
Yichang,2.338085
Dalian,2.149016
Fuzhou,2.149016
Guilin,2.149016
Baoding,2.149016
Jingmen,2.149016
Jingzhou,2.149016
Anqing,2.149016
Lu'an,2.149016
Shiyan,2.149016
Xiangyang,2.149016
Xuchang,2.149016
Yancheng,2.149016
Yichun,2.149016
Yulin,2.149016
Zhangjiajie,2.149016
Zhumadian,2.149016
Guangzhou,2.135552
Suzhou,2.015312
Chongqing,1.910152
Xi'an,1.902508
Shamen,1.884913
Zhengzhou,1.872066
Hong Kong,1.856147
Yueyang,1.803486
Enshi,1.762785
Kunming,1.762785
Tianjin,1.761886
Qingdao,1.760076
Wuxi,1.759743
Sanya,1.724419
Changzhou,1.705199
Zhuhai,1.703883
Fuyang,1.698845
Suizhou,1.691459
Nanning,1.684930
Leshan,1.667034
Shenyang,1.653131
Xiangxi,1.653131
Dongguan,1.641729
Zhoushan,1.625525
Haikou,1.620296
Guiyang,1.616453
Xiangtan,1.612983
Nantong,1.611534
Lanzhou,1.610522
Hengyang,1.595822
Luoyang,1.577266
Huzhou,1.576411
Zhuzhou,1.569727
Urumqi,1.564498
Zhenjiang,1.564498
Zhongshan,1.561818
Tai'an,1.561737
Lijiang,1.556320
Huangshan,1.555043
Harbin,1.553497
Shaoxing,1.552166
Yangzhou,1.541669
Taiyuan,1.532166
Taipei,1.528863
Foshan,1.528863
Shaoguan,1.525486
Xuzhou,1.522033
Changchun,1.518498
Fangchenggang,1.518498
Hohhot,1.511169
Quanzhou,1.511169
Kaifeng,1.503457
Xining,1.503457
Liaocheng,1.500282
Huaihua,1.499445
Nanyang,1.495318
Liuzhou,1.491071
Quzhou,1.489942
Zibo,1.483146
Changde,1.482179
Jining,1.477517
Luohe,1.477517
Yingtan,1.475253
Wuhu,1.473502
Ankang,1.467701
Xinxiang,1.467701
Jian,1.464741
Weifang,1.462996
Chenzhou,1.462521
Yinchuan,1.462521
Langfang,1.462194
Dezhou,1.453707
Taizhou,1.451537
Taoyuan,1.451537
Yantai,1.451537
Taizhou,1.446018
Heze,1.440357
Anyang,1.439585
Leshan,1.433656
Qinhuangdao,1.433183
Handan,1.426455
Gannan,1.423673
Baoji,1.419361
Lianyungang,1.419361
Tangshan,1.419361
Dali,1.419361
Fuzhou,1.418747
Xuancheng,1.413746
Loudi,1.411855
Ganzhou,1.411855
Dazhou,1.411855
Jinzhou,1.408691
Pingdingshan,1.403881
Huizhou,1.400806
Hengshui,1.396094
Bozhou,1.396094
Tongling,1.396094
Liupanshui,1.395369
Qingyuan,1.395369
Yongzhou,1.395369
Zhangzhou,1.395369
Ordos,1.392184
Linyi,1.388575
Xinyu,1.388227
Shangqiu,1.386232
Xianyang,1.386232
Xingtai,1.386232
Lhasa,1.376361
Jiaozuo,1.376361
Weihai,1.376361
Chuzhou,1.376361
Zhanjiang,1.376361
Yan'an,1.371851
Pingxiang,1.370136
Jinzhong,1.365610
Ma'anshan,1.365610
Yiyang,1.365610
Chizhou,1.360033
Zaozhuang,1.356311
Zhangjiakou,1.354122
Nanping,1.353789
Bangbu,1.353789
Shantou,1.353789
Binzhou,1.353789
Chengde,1.353789
Cangzhou,1.352171
Mianyang,1.346157
Lishui,1.344711
Huainan,1.342337
Sanming,1.342337
Tianshui,1.342337
Longyan,1.340633
Kaohsiung,1.340633
Jieyang,1.340633
Deyang,1.337281
Ningde,1.332223
Puyang,1.326414
Zhoukou,1.326414
Nanchong,1.325759
Qiandongnan,1.325759
Sanmenxia,1.325759
Ulanqab,1.325759
Xishuangbanna,1.325759
Anshun,1.325759
Dongying,1.324805
Beihai,1.308588
Qionghai,1.308588
Shaoyang,1.308588
Huai'an,1.308588
Weinan,1.308588
Chaozhou,1.308588
Yulin,1.308588
Garze,1.307036
Rizhao,1.296415
Putian,1.289608
Jilin,1.288168
Jincheng,1.288168
Jiayuguan,1.288168
Suining,1.288168
Tongren,1.288168
Wenchang,1.288168
Wuhai,1.288168
Datong,1.288168
Xiuqian,1.288168
Huaibei,1.288168
Hanzhong,1.288168
Yuncheng,1.288168
Liangshanzhou,1.288168
Jiuquan,1.288168
Zhaoqing,1.288168
Zigong,1.288168
Laiwu,1.284128
Yingkou,1.280439
Ya'an,1.274758
Lvliang,1.272372
Jiangmen,1.262764
Luzhou,1.262764
Daqing,1.262764
Linfen,1.262764
Pu'er,1.262764
Anshan,1.262764
Guang'an,1.262764
Tainan,1.262764
New Taipei,1.262764
Dingxi,1.262764
Meizhou,1.262764
Benxi,1.262764
Jinchang,1.262764
Pingdong,1.262764
Yanbian,1.262764
Chongzuo,1.262764
Hezhou,1.251666
Yangquan,1.243279
Huludao,1.242850
Neijiang,1.240422
Meishan,1.239237
Baotou,1.237362
Diqing,1.233865
Hulunbuir,1.230769
Honghe,1.228614
Changhua,1.228614
Shannan,1.228614
Sansha,1.228614
Chiayi,1.228614
Taichung,1.228614
Tongchuan,1.228614
Tongliao,1.228614
Nagqu,1.228614
Baoshan,1.228614
Wuwei,1.228614
Wuzhou,1.228614
Chifeng,1.228614
Changzhi,1.228614
Xiuzhou,1.228614
Qiqihar,1.228614
Laibin,1.228614
Chaoyang,1.228614
Yibin,1.228614
Hegang,1.228614
Yunfu,1.228614
Yuxi,1.228614
Keramay,1.228614
Panzhihua,1.228614
Dehong,1.228614
Zunyi,1.228614
Heyuan,1.222176
Xinzhou,1.213812
Weicu,1.210682
Ziyang,1.201529
Qingyang,1.199855
Shanwei,1.198745
Shangluo,1.194211
Dandong,1.194122
Guangyuan,1.177440
Linxia,1.176686
Hebi,1.175410
Qujing,1.174324
Nantou,1.174324
Baise,1.174324
Wanning,1.174324
Haibei,1.174324
Mudanjiang,1.174324
Kinmen,1.174324
Lincang,1.174324
Daxinganling,1.174324
Wuzhong,1.174324
Baishan,1.174324
Kashgar,1.174324
Bijie,1.174324
Tieling,1.174324
Alxa,1.174324
Fushun,1.174324
Longnan,1.174324
Shuozhou,1.174324
Songyuan,1.174324
Yichun,1.174324
Yilan,1.174324
Hsinchu,1.174324
Qiannan,1.174324
Panjin,1.174324
Huangnan,1.174324
Penghu,1.174324
Guigang,1.174324
Hinggan,1.174324
Jiyuan,1.174324
Qamdo,1.174324
Guyuan,1.174324
Liaoyang,1.174324
Xilingol,1.173116
Suihua,1.158143
Haixi,1.157684
Yangjiang,1.147006
Hualien,1.146877
Lingshui,1.143865
Yunlin,1.128036
Shizuishan,1.121616
Bayannur,1.121616
Zhongwei,1.121616
Golog,1.113570
Nyingchi,1.112615
Turpan,1.109743
Qinzhou,1.107768
Alty,1.105897
Changji,1.101937
Jiamusi,1.093525
Baoting,1.090684
Danzhou,1.089973
Bazhong,1.089370
Siping,1.084131
Hechi,1.083532
Ili(Yili),1.082104
Keelung,1.082104
Dingan,1.081380
Maoming,1.071726
Taidong,1.071588
Fuxin,1.065491
Bayingolin,1.060895
Zhangye,1.052098
Tonghua,1.049563
Qianxinan,1.022955
Miaoli,1.021678
Kumul(Hami),1.014990
Baiyin,1.013415
Jixi,1.012395
Baicheng,1.009687
Heihe,1.008457
Wenshan,1.004853
Zhaotong,1.004435
Chengmai,1.004398
Haidong,0.996363
Liaoyuan,0.996286
Hotan,0.996286
Aksu,0.994545
Bortala,0.991619
Shuangyashan,0.977650
Pingliang,0.973584
Ledong,0.972398
Tacheng,0.971439
Wuzhishan,0.971007
Qitaihe,0.947180
Dongfang,0.940408
Ngari,0.940408
Nujiang,0.935471
Changjiang,0.933812
Yushuzhou,0.920590
Kezilsu,0.915027
Qiongzhong,0.881816
