city,distance
Nanning,5.818814
Beihai,4.309408
Qinzhou,4.005570
Wuhan,3.764265
Shanghai,3.574695
Guangzhou,2.997021
Chongzuo,2.946512
Beijing,2.832642
Guilin,2.767050
Liuzhou,2.767050
Dezhou,2.693288
Honghe,2.693288
Guiyang,2.608194
Baise,2.608194
Shenzhen,2.608194
Hong Kong,2.506112
Zhanjiang,2.506112
Zhuhai,2.506112
Chengdou,2.375095
Hangzhou,2.375095
Kunming,2.375095
Laibin,2.375095
Maoming,2.375095
Shamen,2.375095
Xi'an,2.375095
Changsha,2.180242
Chongqing,2.180242
Danzhou,2.180242
Dongguan,2.180242
Guigang,2.180242
Hechi,2.180242
Hezhou,2.180242
Jian,2.180242
Jiaxing,2.180242
Jiujiang,2.180242
Shantou,2.180242
Xiaogan,2.180242
Yulin,2.180242
Suzhou,1.985606
Wuzhou,1.883100
Nanjing,1.761893
Haikou,1.755041
Wuxi,1.737051
Jinan,1.736562
Foshan,1.727994
Yichang,1.705212
Xianning,1.697040
Fuzhou,1.689764
Nanchang,1.684857
Changzhou,1.683884
Ningbo,1.682987
Tianjin,1.674601
Taipei,1.646318
Hefei,1.642337
Jingzhou,1.641057
Haixi,1.640080
Jinhua,1.640080
Huanggang,1.631286
Xiangyang,1.627720
Yuxi,1.618608
Huangshi,1.617739
Guiyang,1.616453
Macau,1.616156
Zhoushan,1.606144
Nantong,1.592483
Sanya,1.588745
Cangzhou,1.583560
Huizhou,1.579951
Anshun,1.576934
Shiyan,1.572961
Huzhou,1.558176
Taiyuan,1.550280
Weihai,1.549026
Qingdao,1.546380
Shaoxing,1.534485
Ezhou,1.534023
Qiandongnan,1.533017
Harbin,1.526852
Zhaoqing,1.526852
Zhongshan,1.525325
Jingmen,1.523865
Yueyang,1.522811
Lijiang,1.519235
Yangzhou,1.515042
Xiangxi,1.513633
Zunyi,1.511188
Wenshan,1.507157
Quanzhou,1.499124
Handan,1.497951
Yantai,1.497951
Yangjiang,1.496410
Enshi,1.493691
Xinyang,1.484376
Dali,1.483008
Jiangmen,1.476429
Shijiazhuang,1.474570
Zhenjiang,1.472906
Dalian,1.466277
Nanping,1.464829
Shenyang,1.464829
Urumqi,1.464829
Xining,1.464829
Qiannan,1.464049
Langfang,1.460946
Huangshan,1.460003
Wenzhou,1.453926
Xianyang,1.452746
Leshan,1.447486
Ngawa,1.444632
Huaihua,1.443895
Lanzhou,1.443895
Yongzhou,1.443895
Zhuzhou,1.443895
Jieyang,1.443860
Suizhou,1.442160
Qingyuan,1.438270
Baoding,1.431442
Taizhou,1.430661
Qinhuangdao,1.427039
Jingdezhen,1.419074
Shizuishan,1.419074
Changchun,1.419074
Tai'an,1.418740
Quzhou,1.418023
Huai'an,1.418023
Zhaotong,1.418023
Weinan,1.416240
Baoji,1.413474
Lu'an,1.413044
Taizhou,1.406161
Shaoguan,1.402284
Weicu,1.398213
Chaozhou,1.396918
Qujing,1.390892
Zhangzhou,1.390532
Lhasa,1.388306
Hohhot,1.388306
Mianyang,1.388306
Ningde,1.388306
Pingxiang,1.388306
Ganzhou,1.388306
Hengyang,1.388306
Yichun,1.388306
Yancheng,1.388278
Xuzhou,1.375777
Nanyang,1.373804
Qionghai,1.373804
Xishuangbanna,1.373804
Haibei,1.373804
Tangshan,1.372627
Pu'er,1.364990
Taoyuan,1.363373
Hengshui,1.359624
Luoyang,1.358314
Liaocheng,1.356112
Jining,1.356112
Shangrao,1.354459
Zhangjiakou,1.353051
Deyang,1.349307
Meishan,1.347139
Nanchong,1.347139
Kaohsiung,1.347139
Ulanqab,1.347139
Yilan,1.347139
Yunlin,1.347139
Zhangjiajie,1.347139
Qianxinan,1.347113
Lianyungang,1.343796
Chengde,1.342198
Laiwu,1.340895
Yan'an,1.338246
Zhumadian,1.336325
Baoshan,1.333601
Wuhu,1.327648
Xiangtan,1.327223
Xuancheng,1.320757
Shanwei,1.317772
Longyan,1.314860
Chengmai,1.314262
Diqing,1.309509
Zibo,1.308060
Liupanshui,1.307871
Shuozhou,1.306276
Tongliao,1.306276
Tongren,1.306276
Chiayi,1.306276
Yunfu,1.306276
Zhoukou,1.306276
Baotou,1.306276
Linyi,1.306276
Kaifeng,1.303217
Bijie,1.299478
Garze,1.293931
Chizhou,1.288280
Changde,1.287199
Heyuan,1.286372
Ya'an,1.285681
Anqing,1.283681
Luohe,1.283681
Neijiang,1.282146
New Taipei,1.282146
Ordos,1.282146
Jinzhong,1.282146
Putian,1.282146
Chuzhou,1.282146
Fuzhou,1.282146
Binzhou,1.282146
Hulunbuir,1.282146
Suining,1.282146
Taichung,1.282146
Dandong,1.282146
Jiaozuo,1.282146
Lishui,1.282146
Xingtai,1.282146
Yinchuan,1.282146
Yingtan,1.282146
Yiyang,1.282146
Huludao,1.282146
Guangyuan,1.282146
Ankang,1.276265
Xinxiang,1.276265
Chenzhou,1.272346
Hanzhong,1.271926
Dongying,1.268838
Weifang,1.268838
Sansha,1.268651
Bangbu,1.264790
Zaozhuang,1.260562
Datong,1.259871
Anyang,1.254952
Changjiang,1.252329
Xuchang,1.250084
Meizhou,1.243745
Ma'anshan,1.234403
Loudi,1.233827
Fuyang,1.233827
Dazhou,1.233827
Liangshanzhou,1.228227
Yulin,1.228161
Pingdingshan,1.227733
Shangluo,1.222232
Wuzhishan,1.218734
Dongfang,1.218734
Yibin,1.218223
Dehong,1.215542
Shangqiu,1.214214
Xinzhou,1.212951
Ziyang,1.211228
Sanmenxia,1.210852
Chifeng,1.207597
Rizhao,1.206761
Wenchang,1.205289
Xiuzhou,1.203477
Zigong,1.203078
Tianshui,1.201282
Jiuquan,1.197380
Yanbian,1.194808
Jinzhou,1.194252
Jilin,1.193564
Guang'an,1.192558
Lingshui,1.189882
Xinyu,1.189882
Tongling,1.189250
Tongchuan,1.188379
Luzhou,1.181863
Xiuqian,1.175644
Xilingol,1.172313
Nagqu,1.170470
Sanming,1.168948
Shaoyang,1.167402
Wanning,1.165295
Qiqihar,1.164954
Anshan,1.163102
Jiayuguan,1.159654
Kinmen,1.159469
Nantou,1.158423
Pingdong,1.157220
Fushun,1.155826
Heze,1.154226
Daqing,1.153287
Panjin,1.149903
Suihua,1.148271
Yuncheng,1.144341
Huaibei,1.143162
Yingkou,1.140988
Huainan,1.140234
Panzhihua,1.138443
Wuhai,1.138311
Jincheng,1.138311
Hualien,1.137195
Tainan,1.129049
Lincang,1.127967
Yangquan,1.125952
Zhongwei,1.125443
Nyingchi,1.120927
Mudanjiang,1.120604
Linfen,1.118428
Jinchang,1.118428
Dingxi,1.118428
Puyang,1.118428
Benxi,1.118428
Qingyang,1.108260
Keelung,1.107516
Changzhi,1.105905
Baoting,1.105053
Chaoyang,1.102563
Bazhong,1.097337
Alty,1.096892
Bozhou,1.096016
Jiamusi,1.092827
Wuwei,1.091556
Shannan,1.091556
Changhua,1.091556
Hegang,1.091556
Keramay,1.091556
Baishan,1.085621
Pingliang,1.083956
Nujiang,1.083738
Hsinchu,1.083561
Siping,1.083445
Bayannur,1.082529
Lvliang,1.081601
Ili(Yili),1.080661
Tieling,1.079708
Hinggan,1.079708
Penghu,1.077001
Kashgar,1.074674
Fuxin,1.064828
Turpan,1.063131
Taidong,1.063131
Gannan,1.061183
Yichun,1.055781
Bayingolin,1.052605
Liaoyang,1.051842
Changji,1.051543
Hebi,1.048920
Tonghua,1.048920
Huangnan,1.048490
Alxa,1.048490
Jiyuan,1.048490
Guyuan,1.048490
Songyuan,1.048490
Qamdo,1.048490
Wuzhong,1.048490
Longnan,1.048490
Daxinganling,1.048490
Dingan,1.044429
Zhangye,1.043944
Kumul(Hami),1.039411
Ledong,1.019366
Miaoli,1.013988
Jixi,1.011796
Baicheng,1.009092
Heihe,1.000963
Liaoyuan,0.988971
Hotan,0.988971
Haidong,0.988437
Aksu,0.984373
Bortala,0.984373
Baiyin,0.981623
Shuangyashan,0.977092
Linxia,0.954942
Golog,0.953489
Qitaihe,0.946656
Tacheng,0.935732
Ngari,0.933888
Yushuzhou,0.933412
Qiongzhong,0.920269
Kezilsu,0.901740
