city,distance
Guiyang,6.841119
Shanghai,3.635264
Liaoyang,3.377952
Qiandongnan,3.335124
Beijing,3.250897
Qianxinan,3.189976
Zunyi,2.973761
Kunming,2.884785
Bijie,2.582577
Chengdou,2.494679
Wuhan,2.443664
Guangzhou,2.385956
Jingzhou,2.385956
Nanning,2.385956
Qiannan,2.385956
Changsha,2.318932
Chongqing,2.318932
Hong Kong,2.318932
Qujing,2.318932
Guilin,2.237886
Nanjing,2.237886
Xi'an,2.237886
Changde,2.132825
Dali,2.132825
Dalian,2.132825
Hangzhou,2.132825
Huaihua,2.132825
Liuzhou,2.132825
Shenzhen,2.132825
Wuxi,2.132825
Yibin,2.132825
Zhangjiajie,2.132825
Suzhou,2.004154
Chaozhou,1.974371
Dehong,1.974371
Foshan,1.974371
Jiaxing,1.974371
Jinhua,1.974371
Loudi,1.974371
Nanchang,1.974371
Ngawa,1.974371
Nyingchi,1.974371
Qingdao,1.974371
Shaoyang,1.974371
Taipei,1.974371
Tianjin,1.974371
Tongren,1.974371
Xiangxi,1.974371
Xiaogan,1.974371
Xining,1.974371
Yangzhou,1.974371
Yantai,1.974371
Yichun,1.974371
Zhuhai,1.974371
Shamen,1.820231
Weifang,1.804014
Zhengzhou,1.799767
Sanya,1.786504
Hefei,1.777185
Lijiang,1.716788
Changzhou,1.697204
Ningbo,1.696293
Jinan,1.681812
Baoji,1.676035
Fuzhou,1.638769
Zhoushan,1.618259
Hohhot,1.606870
Nantong,1.604392
Taiyuan,1.594766
Zhuzhou,1.594766
Haikou,1.581714
Urumqi,1.581714
Huzhou,1.569576
Lanzhou,1.567533
Langfang,1.564778
Weicu,1.560527
Hechi,1.551978
Shenyang,1.551978
Shijiazhuang,1.551978
Shaoxing,1.545539
Quanzhou,1.534712
Baoding,1.530981
Qinhuangdao,1.525945
Wuhai,1.518197
Jiangmen,1.515251
Beihai,1.515251
Yichang,1.510702
Lhasa,1.508081
Luzhou,1.505233
Harbin,1.492862
Mianyang,1.492862
Dongguan,1.492862
Changchun,1.492862
Yinchuan,1.492862
Leshan,1.491045
Xishuangbanna,1.489268
Zhenjiang,1.483088
Baoshan,1.480473
Yuxi,1.479953
Huangshan,1.470007
Zhaotong,1.467927
Guigang,1.466345
Luoyang,1.466345
Nanchong,1.466345
Fangchenggang,1.466345
Pingxiang,1.466345
Wenzhou,1.466345
Yueyang,1.466345
Tangshan,1.463893
New Taipei,1.451429
Diqing,1.450841
Zhangjiakou,1.441649
Taizhou,1.440265
Honghe,1.437348
Macau,1.436418
Baise,1.436153
Qinzhou,1.433516
Shaoguan,1.433516
Taoyuan,1.433516
Zhanjiang,1.433516
Zhongshan,1.433516
Chengde,1.429334
Chongzuo,1.418690
Taizhou,1.415437
Shantou,1.405946
Xianyang,1.400235
Yancheng,1.397319
Jinzhong,1.389667
Kaifeng,1.389667
Kashgar,1.389667
Fuzhou,1.389667
Garze,1.389667
Liangshanzhou,1.389667
Ordos,1.389667
Pingdong,1.389667
Pu'er,1.389667
Qionghai,1.389667
Shangrao,1.389667
Xianning,1.389667
Xuzhou,1.389667
Ya'an,1.389667
Yangjiang,1.389667
Yingtan,1.389667
Changzhi,1.389667
Zibo,1.389667
Anyang,1.389667
Deyang,1.387080
Xiangtan,1.377370
Weinan,1.366289
Cangzhou,1.363583
Wenshan,1.362521
Lianyungang,1.352266
Tai'an,1.344136
Jieyang,1.341938
Weihai,1.341021
Datong,1.336341
Wuhu,1.335915
Hengyang,1.331813
Xuancheng,1.328938
Qamdo,1.328240
Jingmen,1.325777
Yiyang,1.321894
Yulin,1.321894
Huanggang,1.321739
Linyi,1.320611
Longyan,1.320611
Lu'an,1.320611
Ma'anshan,1.320611
Liaocheng,1.320611
Maoming,1.320611
Mudanjiang,1.320611
Nanping,1.320611
Nanyang,1.320611
Huai'an,1.320611
Chenzhou,1.320611
Jingdezhen,1.320611
Ankang,1.320611
Qingyuan,1.320611
Bayingolin,1.320611
Jian,1.320611
Guang'an,1.320611
Shiyan,1.320611
Baotou,1.320611
Fuyang,1.320611
Ganzhou,1.320611
Dazhou,1.320611
Wuzhou,1.320611
Anqing,1.320611
Jining,1.320611
Xinxiang,1.320611
Xinyu,1.320611
Xinzhou,1.320611
Jinzhou,1.320611
Yan'an,1.320611
Jiaozuo,1.320611
Dandong,1.320611
Yulin,1.320611
Yuncheng,1.320611
Zaozhuang,1.320611
Zhangzhou,1.320611
Hulunbuir,1.320611
Zhongwei,1.320611
Enshi,1.320611
Laiwu,1.320611
Ziyang,1.320611
Xiangyang,1.319397
Jiujiang,1.318193
Haixi,1.317058
Huludao,1.316194
Huangshi,1.312832
Laibin,1.300869
Dezhou,1.298759
Chizhou,1.296062
Neijiang,1.295663
Hezhou,1.291061
Zigong,1.288687
Wuzhong,1.286534
Haibei,1.284943
Meishan,1.281886
Quzhou,1.279588
Chifeng,1.277676
Yingkou,1.274673
Lishui,1.273668
Huizhou,1.272639
Bangbu,1.272290
Handan,1.269177
Zhaoqing,1.267546
Chuzhou,1.262919
Jilin,1.261978
Kaohsiung,1.260681
Ezhou,1.257156
Meizhou,1.254844
Hengshui,1.254777
Suining,1.249984
Gannan,1.245004
Panzhihua,1.243776
Xinyang,1.242530
Xingtai,1.240831
Dongying,1.238898
Xilingol,1.238245
Hanzhong,1.231491
Lincang,1.231282
Taichung,1.230794
Qiqihar,1.230038
Shannan,1.227146
Ningde,1.223442
Fushun,1.219866
Daqing,1.217038
Anshan,1.216214
Hualien,1.216148
Keelung,1.216026
Guangyuan,1.215875
Rizhao,1.213587
Panjin,1.213270
Yanbian,1.209786
Jiuquan,1.204100
Hsinchu,1.203414
Ulanqab,1.202392
Suizhou,1.194786
Yongzhou,1.193690
Binzhou,1.188907
Yangquan,1.186637
Shangluo,1.184849
Yilan,1.183046
Tongling,1.182449
Xiuqian,1.182121
Shanwei,1.180909
Nujiang,1.178769
Sanmenxia,1.174151
Wuwei,1.173950
Wanning,1.172612
Bayannur,1.172228
Nagqu,1.167861
Tianshui,1.165151
Nantou,1.164711
Chaoyang,1.160688
Heyuan,1.158970
Haidong,1.158521
Tongliao,1.157516
Huangnan,1.157277
Shuozhou,1.155056
Suihua,1.154450
Benxi,1.153374
Tongchuan,1.153008
Heze,1.151657
Zhangye,1.150760
Jiamusi,1.149903
Huaibei,1.149286
Taidong,1.148382
Huainan,1.146326
Puyang,1.144405
Xiuzhou,1.143254
Sanming,1.141674
Siping,1.139521
Putian,1.139517
Tainan,1.138434
Lvliang,1.137481
Ili(Yili),1.136442
Hinggan,1.135388
Tieling,1.135388
Baishan,1.134321
Linfen,1.133239
Shangqiu,1.129902
Xuchang,1.128757
Luohe,1.128757
Jiayuguan,1.125948
Yunlin,1.124532
Shizuishan,1.124285
Bazhong,1.122190
Zhumadian,1.121219
Fuxin,1.118945
Turpan,1.118377
Sansha,1.116439
Chiayi,1.115439
Pingdingshan,1.110674
Changji,1.110451
Keramay,1.107705
Liaoyang,1.104615
Bozhou,1.104615
Alty,1.102529
Hebi,1.101393
Tonghua,1.101393
Yunfu,1.100518
Daxinganling,1.098025
Jincheng,1.086891
Penghu,1.082435
Miaoli,1.082133
Alxa,1.078395
Yushuzhou,1.078031
Qingyang,1.077435
Changhua,1.070530
Lingshui,1.070480
Kinmen,1.064067
Songyuan,1.063382
Kumul(Hami),1.063382
Yichun,1.061002
Jixi,1.060534
Baicheng,1.057563
Zhoukou,1.054458
Pingliang,1.054450
Linxia,1.051917
Wenchang,1.048284
Heihe,1.044186
Kezilsu,1.040683
Dingxi,1.031455
Baiyin,1.027431
Jiyuan,1.027431
Shuangyashan,1.022469
Liaoyuan,1.022469
Baoting,1.014402
Golog,1.012908
Danzhou,1.011465
Jinchang,1.011205
Guyuan,1.008557
Longnan,1.008506
Hegang,1.004709
Aksu,1.001475
Hotan,0.997445
Dongfang,0.995492
Ngari,0.990817
Wuzhishan,0.990387
Chengmai,0.989437
Qitaihe,0.989188
Bortala,0.988910
Dingan,0.980489
Tacheng,0.978049
Ledong,0.976391
Changjiang,0.920867
Qiongzhong,0.870264
