city,distance
Guangzhou,7.028653
Shanghai,3.345194
Shenzhen,3.295462
Zhongshan,2.981448
Beijing,2.928609
Zhaoqing,2.910808
Zhuhai,2.887871
Jiangmen,2.824162
Hong Kong,2.784239
Dongguan,2.723465
Qingyuan,2.485121
Shaoguan,2.381634
Huizhou,2.322055
Hangzhou,2.307508
Wuhan,2.300024
Shamen,2.260210
Yangjiang,2.260210
Tianjin,2.243003
Yunfu,2.234083
Macau,2.185752
Hezhou,2.153093
Changsha,2.129371
Maoming,2.129371
Guilin,2.116820
Wuzhou,2.116820
Zhanjiang,2.103749
Chengdou,2.090105
Shantou,2.090105
Nanning,2.060837
Haikou,2.045052
Suzhou,2.045052
Sanya,2.010643
Zhuzhou,2.010643
Fuzhou,1.991727
Nanjing,1.991727
Hefei,1.971410
Kunming,1.971410
Nanchang,1.971410
Xi'an,1.971410
Chongqing,1.949429
Guiyang,1.949429
Anqing,1.949429
Meizhou,1.925429
Shanwei,1.925429
Hengyang,1.898925
Heyuan,1.898925
Qingdao,1.898925
Jieyang,1.869221
Taiyuan,1.869221
Zhengzhou,1.869221
Jiaxing,1.835267
Jinhua,1.835267
Lijiang,1.835267
Taipei,1.835267
Wuhu,1.835267
Changchun,1.795353
Nantong,1.795353
Ningde,1.795353
Yulin,1.795353
Anshan,1.795353
Ganzhou,1.746387
Dalian,1.746387
Ngawa,1.746387
Shenyang,1.746387
Urumqi,1.746387
Wuxi,1.746387
Chaozhou,1.746387
Xiangxi,1.746387
Xianning,1.746387
Yueyang,1.746387
Ningbo,1.726176
Yangzhou,1.713763
Jinan,1.682126
Harbin,1.681740
Huanggang,1.681740
Jiujiang,1.681740
Changzhou,1.681740
Lhasa,1.681740
Liuzhou,1.681740
Chenzhou,1.681740
Mianyang,1.681740
Qiandongnan,1.681740
Quanzhou,1.681740
Quzhou,1.681740
Shaoxing,1.681740
Shijiazhuang,1.681740
Taizhou,1.681740
Taoyuan,1.681740
Baise,1.681740
Wenzhou,1.681740
Xuzhou,1.681740
Yantai,1.681740
Yichun,1.681740
Yinchuan,1.681740
Zhangzhou,1.681740
Zhoushan,1.681740
Zibo,1.681740
Zigong,1.681740
Chifeng,1.581650
Hohhot,1.581650
Huaibei,1.581650
Hualien,1.581650
Huzhou,1.581650
Jining,1.581650
Kaifeng,1.581650
Guang'an,1.581650
Longyan,1.581650
Loudi,1.581650
Ma'anshan,1.581650
Guangyuan,1.581650
Mudanjiang,1.581650
Beihai,1.581650
Cangzhou,1.581650
Nanping,1.581650
Nanyang,1.581650
Panjin,1.581650
Pingxiang,1.581650
Guigang,1.581650
Qiannan,1.581650
Sanming,1.581650
Baoshan,1.581650
Shangrao,1.581650
Shaoyang,1.581650
Dongfang,1.581650
Tai'an,1.581650
Taichung,1.581650
Tainan,1.581650
Tianshui,1.581650
Baoding,1.581650
Yanbian,1.581650
Fuyang,1.581650
Hebi,1.581650
Yingtan,1.581650
Yiyang,1.581650
Yuncheng,1.581650
Hechi,1.581650
Binzhou,1.581650
Zhongwei,1.581650
Anshun,1.581650
Anshun,1.576934
Lanzhou,1.538819
Langfang,1.486061
Huangshan,1.477029
Zhangjiajie,1.474037
Dali,1.470979
Xiangyang,1.451066
Qinhuangdao,1.450993
Zhenjiang,1.447446
New Taipei,1.443727
Diqing,1.431902
Xiangtan,1.427714
Xining,1.414275
Wanning,1.404465
Zhangjiakou,1.404465
Huai'an,1.399260
Kaohsiung,1.399260
Tangshan,1.394774
Huaihua,1.393829
Chongzuo,1.393829
Taizhou,1.392428
Jian,1.388150
Jingdezhen,1.388150
Yongzhou,1.375938
Luoyang,1.369336
Weihai,1.369336
Chengde,1.363367
Changde,1.362349
Baotou,1.362349
Sansha,1.359637
Huangshi,1.354923
Weifang,1.354923
Yancheng,1.352248
Xiaogan,1.347565
Nyingchi,1.346993
Qionghai,1.338477
Jinzhong,1.338477
Leshan,1.336430
Pingdong,1.329271
Putian,1.329271
Qinzhou,1.329271
Handan,1.329271
Fangchenggang,1.329271
Xinyang,1.329271
Linyi,1.329271
Datong,1.319241
Xianyang,1.319241
Xinyu,1.319241
Xishuangbanna,1.319241
Lianyungang,1.319241
Hulunbuir,1.308206
Luzhou,1.308206
Jingzhou,1.308206
Zhumadian,1.308206
Linfen,1.295916
Anyang,1.295916
Honghe,1.295916
Ulanqab,1.295916
Liaocheng,1.295916
Baoji,1.295916
Xuancheng,1.288106
Luohe,1.282013
Benxi,1.282013
Nanchong,1.282013
Nantou,1.282013
Xingtai,1.282013
Xinzhou,1.282013
Deyang,1.282013
Garze,1.282013
Changzhi,1.282013
Jilin,1.276801
Qiqihar,1.265950
Shiyan,1.265950
Liaoyang,1.265950
Chizhou,1.265950
Xuchang,1.265950
Hsinchu,1.265950
Yibin,1.265950
Fuzhou,1.265950
Jingmen,1.265950
Zunyi,1.265950
Weinan,1.262132
Huludao,1.260052
Liangshanzhou,1.253174
Weicu,1.247795
Qujing,1.246829
Suizhou,1.246829
Wenchang,1.246829
Dongying,1.246829
Xinxiang,1.246829
Jiuquan,1.246829
Yilan,1.246829
Dezhou,1.246829
Ankang,1.246829
Dandong,1.246829
Lishui,1.236113
Bangbu,1.234816
Chuzhou,1.225987
Changhua,1.223014
Bozhou,1.223014
Shizuishan,1.223014
Danzhou,1.223014
Jinzhou,1.223014
Daqing,1.223014
Tieling,1.223014
Tongliao,1.223014
Heze,1.223014
Lu'an,1.223014
Zhangye,1.223014
Kashgar,1.223014
Chaoyang,1.223014
Ziyang,1.223014
Ezhou,1.218023
Ordos,1.211684
Hengshui,1.203651
Yan'an,1.199815
Turpan,1.198268
Ya'an,1.197308
Haibei,1.196741
Yuxi,1.195741
Enshi,1.192457
Suining,1.190953
Jiaozuo,1.190953
Dingan,1.190953
Tonghua,1.190953
Tongren,1.190953
Rizhao,1.190953
Pingdingshan,1.190953
Wuwei,1.190953
Kinmen,1.190953
Laibin,1.190953
Xiuqian,1.190953
Hanzhong,1.190953
Panzhihua,1.190953
Qianxinan,1.190953
Liupanshui,1.190953
Keelung,1.190953
Heihe,1.190953
Taidong,1.189878
Changji,1.189173
Zaozhuang,1.188751
Xilingol,1.188430
Nagqu,1.182102
