city,distance
Shenyang,6.498395
Beijing,4.468138
Dalian,3.346747
Shanghai,3.334749
Anshan,2.943622
Yingkou,2.837687
Tianjin,2.680958
Jinzhou,2.650086
Tieling,2.582352
Harbin,2.544765
Qinhuangdao,2.544765
Changchun,2.504021
Hangzhou,2.504021
Panjin,2.504021
Benxi,2.459379
Baishan,2.459379
Zhangjiakou,2.459379
Huludao,2.409784
Jilin,2.409784
Tonghua,2.409784
Liaoyang,2.353647
Dandong,2.288401
Chongqing,2.209438
Nanjing,2.209438
Yanbian,2.209438
Jinan,2.106970
Lanzhou,2.106970
Lijiang,2.106970
Shijiazhuang,2.106970
Siping,2.106970
Zhengzhou,2.106970
Zibo,2.106970
Changsha,1.952195
Changzhou,1.952195
Chaoyang,1.952195
Chengde,1.952195
Chifeng,1.952195
Daqing,1.952195
Fuxin,1.952195
Heze,1.952195
Hohhot,1.952195
Jinzhong,1.952195
Langfang,1.952195
Liaoyuan,1.952195
Qingdao,1.952195
Shaoxing,1.952195
Shenzhen,1.952195
Tangshan,1.952195
Weicu,1.952195
Wenzhou,1.952195
Wuhan,1.952195
Xi'an,1.952195
Yantai,1.952195
Anqing,1.952195
Suzhou,1.909297
Guangzhou,1.863041
Chengdou,1.831873
Hong Kong,1.813531
Baoding,1.756310
Yueyang,1.746387
Shamen,1.742049
Jiaxing,1.704592
Tongliao,1.691864
Taiyuan,1.687316
Wuxi,1.678368
Ningbo,1.627842
Sanya,1.622207
Kunming,1.613997
Taipei,1.603125
Ma'anshan,1.586323
Hefei,1.568300
Hulunbuir,1.567344
Quanzhou,1.561689
Zhoushan,1.555845
Urumqi,1.549737
Nanchang,1.549374
Xuzhou,1.543401
Yichang,1.543401
Nantong,1.543022
Cangzhou,1.539500
Qiqihar,1.529896
Weifang,1.529896
Guiyang,1.529365
Dongguan,1.522667
Fuzhou,1.521877
Guilin,1.516869
Mudanjiang,1.515075
Tai'an,1.514757
Huzhou,1.510792
Datong,1.504865
Taoyuan,1.494607
Yinchuan,1.492677
Nanning,1.491614
Haikou,1.480138
Jiamusi,1.480055
Baotou,1.471596
Yangzhou,1.470207
Lhasa,1.467438
Xining,1.462279
Luoyang,1.460737
Xuchang,1.458536
Dezhou,1.457374
Diqing,1.456454
Jinhua,1.450649
Weihai,1.448465
Ordos,1.446617
Songyuan,1.446617
Changde,1.446617
Jining,1.445277
Xinzhou,1.438404
Ngawa,1.433888
Lianyungang,1.433359
Liuzhou,1.433359
Yiyang,1.433359
Macau,1.430881
Zhenjiang,1.430496
Handan,1.420229
Hinggan,1.418619
Sanming,1.418619
Baicheng,1.418619
Garze,1.418619
