city,distance
Shenyang,5.421106
Beijing,4.513279
Chaoyang,3.657108
Jinzhou,3.501967
Dalian,3.459520
Panjin,3.415267
Qinhuangdao,3.415267
Shanghai,3.368978
Huludao,3.094226
Changchun,2.867814
Anshan,2.867814
Chengde,2.771532
Siping,2.771532
Tianjin,2.771532
Tongliao,2.771532
Harbin,2.656546
Tieling,2.656546
Ordos,2.509788
Xi'an,2.509788
Yancheng,2.509788
Changsha,2.293216
Chifeng,2.293216
Chuzhou,2.293216
Dandong,2.293216
Fushun,2.293216
Hangzhou,2.293216
Hinggan,2.293216
Lanzhou,2.293216
Nanjing,2.293216
Shaoxing,2.293216
Songyuan,2.293216
Suzhou,2.293216
Tai'an,2.293216
Tangshan,2.293216
Zibo,2.293216
Liaoyang,1.941511
Benxi,1.930704
Yingkou,1.897019
Guangzhou,1.836397
Hong Kong,1.820923
Langfang,1.808223
Chengdou,1.806745
Datong,1.792306
Wuhan,1.765777
Qingdao,1.763937
Baoding,1.763242
Jinan,1.761496
Shijiazhuang,1.758314
Shenzhen,1.744696
Jilin,1.739398
Shamen,1.730239
Jiaxing,1.713491
Taiyuan,1.693713
Wuxi,1.686995
Xuchang,1.683994
Chongqing,1.668376
Daqing,1.663191
Hohhot,1.661228
Zhengzhou,1.658924
Zhangjiakou,1.645789
Changzhou,1.636803
Ningbo,1.635956
Sanya,1.628120
Yanbian,1.620537
Kunming,1.619849
Taipei,1.608898
Hulunbuir,1.598747
Baotou,1.588069
Hefei,1.573825
Hefei,1.568300
Yantai,1.564572
Zhoushan,1.563255
Nanchang,1.554766
Tonghua,1.553626
Nantong,1.550311
Urumqi,1.548547
Cangzhou,1.544824
Guiyang,1.534619
Fuzhou,1.527079
Guilin,1.522037
Baishan,1.518998
Huzhou,1.517779
Lijiang,1.507478
Zhuhai,1.505442
Xianyang,1.502053
Taoyuan,1.499624
Yinchuan,1.497682
Nanning,1.496611
Quanzhou,1.490507
Haikou,1.485058
Lianyungang,1.484653
Mudanjiang,1.479447
Yangzhou,1.476822
Xuzhou,1.473840
Yichang,1.473840
Weifang,1.473803
Lhasa,1.472274
Jinzhong,1.471636
Xining,1.467081
Luoyang,1.465529
Weinan,1.463059
Dezhou,1.462144
Nanyang,1.461591
Qiqihar,1.461520
Baoji,1.460107
Jining,1.457460
Jinhua,1.457088
Dongguan,1.454922
Weihai,1.453176
Xilingol,1.446669
Xinzhou,1.443050
Yulin,1.441704
Ngawa,1.438505
Zhenjiang,1.436757
Macau,1.435479
Suihua,1.428980
Taizhou,1.426588
Handan,1.424758
Wenzhou,1.424734
Huangshan,1.424477
Jiamusi,1.415968
Hengshui,1.406637
Jiujiang,1.402036
Bangbu,1.399428
Xingtai,1.389135
Dongying,1.386712
Changde,1.385333
Zaozhuang,1.384656
Zhangjiajie,1.384656
Jiuquan,1.380801
Yan'an,1.379974
Linyi,1.374725
Jiaozuo,1.373822
Xinxiang,1.373368
Taizhou,1.373177
Liaoyuan,1.373170
Liuzhou,1.373170
Yiyang,1.373170
Anyang,1.371994
Zhuzhou,1.370743
Xiangtan,1.368256
Baicheng,1.367751
Foshan,1.367301
Dali,1.366339
Jingmen,1.364847
Jingzhou,1.364847
Ulanqab,1.364847
Kaifeng,1.363408
Garze,1.359636
Sanming,1.359636
Xiangxi,1.351553
Huai'an,1.348108
Qingyuan,1.344340
Diqing,1.344093
Shantou,1.341114
Heihe,1.339241
Binzhou,1.337531
Daxinganling,1.336962
Nanping,1.334348
Yueyang,1.333740
Yichun,1.331431
Xiangyang,1.329807
Tianshui,1.328374
Heze,1.326687
Shangrao,1.323830
Hengyang,1.323290
Kaohsiung,1.322982
Yangquan,1.321565
Liaocheng,1.317942
Rizhao,1.316080
Wuhai,1.313609
Mianyang,1.312660
Wuhu,1.311103
Jian,1.310316
Hanzhong,1.309563
Bayannur,1.309054
Beihai,1.307109
New Taipei,1.305703
Lishui,1.305703
Hualien,1.305703
Gannan,1.301803
Xinyang,1.298649
Zhongshan,1.295975
Xuancheng,1.291617
Changzhi,1.290415
Jiayuguan,1.289792
Ankang,1.288936
Yuncheng,1.287521
Jingdezhen,1.284544
Shuozhou,1.282511
Pingdong,1.279610
Shuangyashan,1.279610
Leshan,1.279386
Wuwei,1.277666
Shangqiu,1.274767
Jixi,1.274303
Ganzhou,1.273956
Puyang,1.269394
Meizhou,1.269394
Dingxi,1.267137
Laiwu,1.266702
Linxia,1.264731
Anqing,1.263388
Xiuqian,1.263286
Taichung,1.262142
Loudi,1.261530
Lvliang,1.260881
Chizhou,1.260540
Zhangye,1.259740
Ili(Yili),1.259603
