city,distance
Hefei,4.723338
Shanghai,4.523230
Bozhou,3.789547
Beijing,3.610425
Huainan,3.398314
Nanjing,3.333520
Bangbu,3.105642
Huanggang,3.037264
Xinyang,2.961980
Wuhu,2.935005
Wuhan,2.846934
Zhengzhou,2.846934
Xuzhou,2.814696
Hangzhou,2.744637
Shangqiu,2.744637
Lu'an,2.706206
Tianjin,2.706206
Jiujiang,2.664956
Nanchang,2.664956
Huaibei,2.571462
Anqing,2.571462
Suzhou,2.571462
Chuzhou,2.517293
Ganzhou,2.517293
Guangzhou,2.517293
Jinan,2.517293
Shamen,2.517293
Heze,2.456098
Huangshan,2.456098
Langfang,2.456098
Zhoukou,2.456098
Changzhou,2.385135
Jian,2.385135
Lianyungang,2.385135
Liaocheng,2.385135
Luoyang,2.385135
Weinan,2.385135
Xi'an,2.385135
Zaozhuang,2.385135
Huzhou,2.299480
Luohe,2.299480
Nanping,2.299480
Ningbo,2.299480
Wuxi,2.299480
Xuchang,2.299480
Yingtan,2.299480
Chongqing,2.188700
Fuzhou,2.188700
Guilin,2.188700
Hengshui,2.188700
Hong Kong,2.188700
Jining,2.188700
Kaifeng,2.188700
Kunming,2.188700
Changsha,2.188700
Nantong,2.188700
Pingdingshan,2.188700
Shaoxing,2.188700
Shenzhen,2.188700
Shijiazhuang,2.188700
Tai'an,2.188700
Tongling,2.188700
Xinxiang,2.188700
Xiuzhou,2.188700
Zhenjiang,2.188700
Foshan,2.022159
Guiyang,2.022159
Baoding,2.022159
Heyuan,2.022159
Huai'an,2.022159
Huizhou,2.022159
Jiaozuo,2.022159
Qinhuangdao,2.022159
Shangrao,2.022159
Shaoguan,2.022159
Shaoyang,2.022159
Wenzhou,2.022159
Xianyang,2.022159
Diqing,2.022159
Xuancheng,2.022159
Yangzhou,2.022159
Yantai,2.022159
Yiyang,2.022159
Zhangjiajie,2.022159
Zhuzhou,2.022159
Zibo,2.022159
Zunyi,2.022159
Jiaxing,1.969051
Chizhou,1.847398
Zhoushan,1.773220
Chengdou,1.759053
Sanya,1.710411
Qingdao,1.700656
Taipei,1.655597
Ezhou,1.618576
Zhumadian,1.612499
Dalian,1.604270
Shenyang,1.581390
Lanzhou,1.575703
Ma'anshan,1.569046
Zhoushan,1.563255
Taizhou,1.561732
Macau,1.557211
Xiaogan,1.554676
Lijiang,1.551149
Taiyuan,1.548404
Harbin,1.547760
Tangshan,1.532618
Taizhou,1.532583
Huangshi,1.517275
Yancheng,1.511365
Zhangjiakou,1.508253
Changchun,1.497000
Chengde,1.494779
Yichang,1.488015
Taoyuan,1.481895
Xianning,1.481788
Zhuhai,1.479245
Jinzhou,1.471821
Rizhao,1.469770
Urumqi,1.467985
Hohhot,1.463481
Haikou,1.463364
Nanyang,1.461688
Jingdezhen,1.460073
Nanning,1.457522
Xiangxi,1.457471
Cangzhou,1.443409
Ili(Yili),1.440951
Jingzhou,1.438927
Zhangzhou,1.438092
Quanzhou,1.437440
Yichun,1.431252
Xiangyang,1.428663
Dongguan,1.428231
Anyang,1.423737
Baoji,1.417023
Xiuqian,1.415920
Dali,1.404117
Weifang,1.403075
Lhasa,1.396467
Dezhou,1.394528
Datong,1.393378
Ngawa,1.388268
Shiyan,1.386303
Suizhou,1.385484
Yinchuan,1.382923
Longyan,1.375349
Quzhou,1.374572
Fuzhou,1.374296
Zhongshan,1.372632
Huludao,1.371489
Sanmenxia,1.370204
Weihai,1.369734
Mianyang,1.369051
Xilingol,1.369051
Lishui,1.367742
Baotou,1.364809
Xining,1.362613
Beihai,1.362463
Puyang,1.362253
Jinzhong,1.360686
Hulunbuir,1.356792
Nanchong,1.356140
Linyi,1.354713
Sanming,1.354608
Kaohsiung,1.352778
Jiangmen,1.349715
Jingmen,1.348027
Ningde,1.347367
Yueyang,1.347202
Xinyu,1.345639
Anshun,1.341821
Yan'an,1.341427
Liuzhou,1.340110
Shangluo,1.338178
Xinzhou,1.336213
Weicu,1.331460
Xiangtan,1.330352
Xingtai,1.329944
Chifeng,1.329718
Pingxiang,1.328635
Enshi,1.324360
Handan,1.320514
Qingyuan,1.317754
Ordos,1.314382
Changde,1.312934
Jilin,1.312724
Meizhou,1.312299
Qiandongnan,1.309891
Putian,1.303794
Zhaoqing,1.303681
New Taipei,1.301054
Jieyang,1.295202
Dandong,1.292915
Hebi,1.291353
Jiuquan,1.287840
Hengyang,1.287804
Dongying,1.287768
Yanbian,1.284866
Xishuangbanna,1.279236
Qiqihar,1.278198
Binzhou,1.277120
Taichung,1.276380
Hanzhong,1.274800
Baoshan,1.272741
Shantou,1.272712
Yuxi,1.272357
Fushun,1.267218
Hezhou,1.265025
Daqing,1.264166
Anshan,1.263277
Haixi,1.261744
Loudi,1.261251
Panjin,1.260101
Jiyuan,1.259630
Qiannan,1.259206
Ankang,1.255245
Chenzhou,1.253413
Leshan,1.251644
Garze,1.251644
Yibin,1.251492
