city,distance
Nanchang,5.412384
Shanghai,4.700662
Yingtan,4.097714
Shamen,3.065269
Beijing,2.966220
Nanping,2.966220
Sanming,2.966220
Shangrao,2.966220
Hangzhou,2.850851
Quzhou,2.850851
Fuzhou,2.784423
Longyan,2.784423
Yichun,2.784423
Guangzhou,2.709744
Shenzhen,2.709744
Xinyu,2.709744
Ganzhou,2.623623
Jian,2.623623
Jingdezhen,2.623623
Jinhua,2.623623
Jiujiang,2.623623
Chengdou,2.520354
Dongguan,2.520354
Jiaxing,2.520354
Shaoxing,2.520354
Suzhou,2.520354
Changzhou,2.387883
Guiyang,2.387883
Quanzhou,2.387883
Xi'an,2.387883
Changsha,2.191014
Chongqing,2.191014
Heyuan,2.191014
Huanggang,2.191014
Huangshan,2.191014
Huzhou,2.191014
Liaoyuan,2.191014
Nanjing,2.191014
Nanning,2.191014
Nantong,2.191014
Pingxiang,2.191014
Qingdao,2.191014
Shijiazhuang,2.191014
Tongren,2.191014
Wenzhou,2.191014
Wuhan,2.191014
Wuhu,2.191014
Wuxi,2.191014
Xiaogan,2.191014
Yongzhou,2.191014
Zhangjiajie,2.191014
Zhoushan,2.191014
Zhuzhou,2.191014
Hong Kong,1.961193
Ningbo,1.896908
Lanzhou,1.814811
Hefei,1.736416
Sanya,1.735178
Tianjin,1.720403
Zhangzhou,1.706555
Yangzhou,1.686228
Taipei,1.678791
Zhenjiang,1.634196
Foshan,1.628453
Kunming,1.626150
Dalian,1.626039
Haikou,1.611161
Zhengzhou,1.602118
Shenyang,1.585495
Taizhou,1.582355
Macau,1.577713
Jinan,1.572093
Shaoguan,1.571034
Harbin,1.568012
Taizhou,1.552438
Ningde,1.551743
Qingyuan,1.550648
Xiangxi,1.543189
Changchun,1.534181
Huangshi,1.533966
Yancheng,1.530670
Jilin,1.527303
Weicu,1.519066
Lijiang,1.513774
Taoyuan,1.500450
Leshan,1.500180
Zhuhai,1.497734
Ngawa,1.497114
Langfang,1.495684
Xuzhou,1.494647
Putian,1.494230
Anshun,1.493616
Yantai,1.489528
Urumqi,1.486192
Taiyuan,1.478991
Lanzhou,1.478564
Lianyungang,1.476772
Ili(Yili),1.475174
Hengyang,1.473535
