city,distance
Shanghai,4.754771
Nanchang,4.189526
Guangzhou,3.841746
Beijing,3.740062
Jian,3.619002
Shenzhen,3.507612
Shamen,3.422227
Ili(Yili),3.370023
Heyuan,3.125601
Longyan,3.031809
Huizhou,2.850851
Wuhan,2.767686
Dongguan,2.737209
Chengdou,2.705035
Hangzhou,2.705035
Jiujiang,2.705035
Shaoguan,2.670908
Yichun,2.670908
Shangrao,2.634500
Jinhua,2.553024
Tianjin,2.553024
Nanjing,2.506634
Fuyang,2.455134
Quzhou,2.455134
Changsha,2.396890
Fuzhou,2.396890
Hong Kong,2.396890
Jingdezhen,2.396890
Yingtan,2.396890
Chongqing,2.329259
Fuzhou,2.329259
Harbin,2.329259
Zhangzhou,2.329259
Zhuhai,2.329259
Suzhou,2.303110
Foshan,2.247502
Jiaxing,2.247502
Kunming,2.247502
Nanning,2.247502
Quanzhou,2.247502
Chifeng,2.141558
Dalian,2.141558
Hefei,2.141558
Huanggang,2.141558
Anqing,2.141558
Changzhou,2.141558
Jinan,2.141558
Liaocheng,2.141558
Beihai,2.141558
Pingxiang,2.141558
Qiandongnan,2.141558
Sanya,2.141558
Shenyang,2.141558
Shijiazhuang,2.141558
Urumqi,2.141558
Xinyang,2.141558
Zhangjiakou,2.141558
Zhengzhou,2.141558
Zhongshan,2.141558
Zhuzhou,2.141558
Dongying,1.981852
Guilin,1.981852
Guiyang,1.981852
Haikou,1.981852
Chenzhou,1.981852
Hengshui,1.981852
Hinggan,1.981852
Huangshan,1.981852
Huangshi,1.981852
Jiamusi,1.981852
Jiangmen,1.981852
Changchun,1.981852
Jining,1.981852
Jiuquan,1.981852
Lanzhou,1.981852
Leshan,1.981852
Lishui,1.981852
Lu'an,1.981852
Macau,1.981852
Meizhou,1.981852
Ningbo,1.981852
Qingyuan,1.981852
Qinhuangdao,1.981852
Sanming,1.981852
Shantou,1.981852
Shaoxing,1.981852
Tongling,1.981852
Weihai,1.981852
Wenzhou,1.981852
Wuxi,1.981852
Xi'an,1.981852
Xiangtan,1.981852
Xiangxi,1.981852
