city,distance
Chengdou,5.727420
Ya'an,4.670119
Shanghai,4.065422
Qamdo,3.410216
Ngawa,3.380054
Beijing,3.155882
Diqing,3.155882
Xi'an,3.105179
Lhasa,2.967879
Chongqing,2.812991
Haixi,2.727686
Lijiang,2.627376
Nyingchi,2.556578
Leshan,2.530550
Xining,2.442516
Liangshanzhou,2.408863
Shenyang,2.332216
Guangzhou,2.287570
Mianyang,2.177907
Shenzhen,2.177907
Suzhou,2.177907
Deyang,2.106266
Hangzhou,2.106266
Nanchong,2.106266
Shamen,2.106266
Fuzhou,2.012943
Guiyang,2.012943
Kunming,2.012943
Meishan,2.012943
Nagqu,2.012943
Nanjing,2.012943
Taiyuan,2.012943
Xiangyang,2.012943
Xuzhou,2.012943
Yushuzhou,2.012943
Lishui,1.981852
Jiaxing,1.877036
Chizhou,1.871209
Dali,1.871209
Dongguan,1.871209
Enshi,1.871209
Golog,1.871209
Guangyuan,1.871209
Guilin,1.871209
Hefei,1.871209
Hong Kong,1.871209
Huizhou,1.871209
Huludao,1.871209
Huzhou,1.871209
Lanzhou,1.871209
Baiyin,1.871209
Luzhou,1.871209
Changchun,1.871209
Nanning,1.871209
Ningbo,1.871209
Nujiang,1.871209
Panzhihua,1.871209
Qingdao,1.871209
Shuozhou,1.871209
Suining,1.871209
Wuxi,1.871209
Yancheng,1.871209
Changsha,1.871209
Zhangjiajie,1.871209
Zhengzhou,1.871209
Wuhan,1.857020
Changzhou,1.785402
Tianjin,1.782536
Neijiang,1.772503
Ziyang,1.726606
Zigong,1.710091
Zhoushan,1.698249
Xianyang,1.696761
Gannan,1.687556
Nantong,1.682983
Shannan,1.682666
Yibin,1.680194
Weinan,1.647170
Baoji,1.643429
Sanya,1.640553
Jinan,1.632852
Dazhou,1.629077
Shaoxing,1.618340
Yangzhou,1.596728
Shijiazhuang,1.595473
Taipei,1.590059
Jinhua,1.573685
Zhenjiang,1.549997
Dalian,1.548751
Guang'an,1.545619
Nanchang,1.544029
Yan'an,1.542606
Langfang,1.542426
Huangshan,1.535714
Wenzhou,1.528992
Jiuquan,1.522125
Haikou,1.516065
Baoding,1.509577
Qinhuangdao,1.504681
Bazhong,1.504076
Taizhou,1.503283
Yinchuan,1.501979
Harbin,1.499852
Yichang,1.499852
Macau,1.499093
Zhuhai,1.488724
Hohhot,1.486391
Dongying,1.479155
Taizhou,1.476256
Haibei,1.468067
Foshan,1.465876
Hanzhong,1.455147
Tangshan,1.444312
Luoyang,1.440545
Zunyi,1.432515
Ankang,1.429722
Taoyuan,1.429169
Ngari,1.426838
Baotou,1.425361
Shiyan,1.425361
Zhongshan,1.425361
Zhangjiakou,1.422654
Baoshan,1.421632
Shangrao,1.419376
Yantai,1.419256
Datong,1.418996
Chengde,1.410660
Lianyungang,1.407671
Chuzhou,1.401168
Yulin,1.398148
Shangluo,1.390469
Wuhu,1.389962
Xuancheng,1.382410
Zhuzhou,1.382002
Qingyang,1.381982
Xiangxi,1.377386
Beihai,1.376704
Sanmenxia,1.375759
Fushun,1.375362
Longyan,1.373007
Qiandongnan,1.373007
Shangqiu,1.373007
Hsinchu,1.373007
Yongzhou,1.373007
Zhumadian,1.373007
Quanzhou,1.366470
Jinzhong,1.365801
Liuzhou,1.365354
Ordos,1.365354
Anshan,1.364413
Tianshui,1.363419
Weicu,1.361184
Xishuangbanna,1.359247
Jiujiang,1.352804
Linxia,1.351336
Huai'an,1.347519
Nanping,1.347412
Tongchuan,1.346821
Cangzhou,1.346578
Huaihua,1.345984
Anshun,1.337757
Ganzhou,1.330993
Quzhou,1.329089
Tai'an,1.327610
Weihai,1.324565
Lishui,1.322703
Jingzhou,1.322677
Zibo,1.322677
Bangbu,1.321217
Jinzhou,1.320297
Liaoyang,1.316872
Jilin,1.314704
New Taipei,1.313686
Benxi,1.311891
Yingtan,1.310065
Jiayuguan,1.310044
Kaohsiung,1.308702
Haidong,1.305325
Dandong,1.304095
Nanyang,1.303889
Bijie,1.303889
Weifang,1.303889
Yuxi,1.303889
Huangnan,1.303746
Jining,1.299478
Tieling,1.298748
Yingkou,1.296251
Zhangye,1.295480
Zhangzhou,1.293850
Liupanshui,1.293108
Dehong,1.293108
Handan,1.293108
Yueyang,1.293108
Yuncheng,1.290535
Jingdezhen,1.289015
Ma'anshan,1.288094
Hulunbuir,1.287124
Jian,1.286978
Dezhou,1.283323
Tongren,1.281100
Jiangmen,1.280754
Longnan,1.280527
Anqing,1.278815
Ningde,1.278640
Xinzhou,1.278358
Linyi,1.275109
Panjin,1.272401
Zaozhuang,1.268617
Qingyuan,1.267511
Loudi,1.267511
Huangshi,1.267511
Yulin,1.267511
Zhanjiang,1.267511
Zhaotong,1.267511
Huanggang,1.267511
Zhongwei,1.266552
Chifeng,1.262735
Rizhao,1.258024
Qiannan,1.255626
Jieyang,1.254742
Bayingolin,1.251807
Xinxiang,1.251807
Zhaoqing,1.251807
Jincheng,1.251807
Honghe,1.251807
Yanbian,1.245039
Hengshui,1.240363
Kaifeng,1.240250
Putian,1.239333
Taichung,1.237070
Linfen,1.235000
Shantou,1.233624
Lu'an,1.233624
Suizhou,1.233108
Tainan,1.233108
Wenchang,1.233108
Changji,1.233108
Ili(Yili),1.233108
Keramay,1.233108
Pingdingshan,1.233108
Jiaozuo,1.233108
Hezhou,1.233108
Changde,1.233108
Xingtai,1.226734
Tongling,1.224596
Shaoguan,1.224586
Xiuqian,1.224244
Xilingol,1.224206
Dingxi,1.221460
Chongzuo,1.219259
Qiqihar,1.216184
Pingliang,1.214250
Anyang,1.213348
Nantou,1.209809
Turpan,1.209809
Xiangtan,1.209809
Xiaogan,1.209809
Puyang,1.209809
Fuzhou,1.209809
Heze,1.209809
Chenzhou,1.209809
Pingdong,1.209809
Zhoukou,1.209809
Ulanqab,1.208054
Yichun,1.207289
Xiuzhou,1.203867
Daqing,1.203473
Fuxin,1.199276
Ezhou,1.198790
Wanning,1.196993
Siping,1.196973
Suihua,1.194590
Fuyang,1.192120
Huaibei,1.189062
Chaoyang,1.187112
Huainan,1.185894
Qinzhou,1.185349
Lvliang,1.183174
Hualien,1.182607
Sanming,1.182111
Qujing,1.181982
Xinyu,1.181483
Jingmen,1.179078
Wenshan,1.178428
Xianning,1.178428
Fangchenggang,1.178428
Kumul(Hami),1.178428
Alty,1.178428
Tonghua,1.178428
Tacheng,1.178428
Yilan,1.178428
Yiyang,1.178428
Miaoli,1.178428
Maoming,1.178428
Heyuan,1.178428
Qianxinan,1.178428
Alxa,1.178428
Pingxiang,1.178428
Aksu,1.178428
Qionghai,1.176238
Binzhou,1.175959
Yangquan,1.174698
Baise,1.174464
Yangjiang,1.174085
Xinyang,1.172244
Hengyang,1.170909
Liaocheng,1.170879
Mudanjiang,1.167317
Yunlin,1.162584
Tongliao,1.154792
Guyuan,1.153791
Chiayi,1.152868
Kashgar,1.150126
Changzhi,1.149102
Wuwei,1.138521
Bozhou,1.138138
Jiamusi,1.137786
Guigang,1.135865
Meizhou,1.132403
Jinchang,1.128392
Xuchang,1.128392
Heihe,1.128392
Keelung,1.128392
Shizuishan,1.128392
Wuzhou,1.128392
Yichun,1.128392
Chaozhou,1.128392
Laiwu,1.128392
Lincang,1.128392
Baoting,1.128392
Baishan,1.127884
Bayannur,1.126628
Hinggan,1.123574
Luohe,1.122721
Songyuan,1.118935
Baicheng,1.118800
Daxinganling,1.118800
Pu'er,1.118303
Shanwei,1.117757
Sansha,1.117647
Penghu,1.117647
Hechi,1.115524
Jiyuan,1.114718
Wuzhong,1.105783
Taidong,1.102718
Laibin,1.101179
Kinmen,1.098076
Wuhai,1.091867
Hebi,1.090272
Shaoyang,1.087816
Yunfu,1.079111
Jixi,1.050219
Lingshui,1.049937
Liaoyuan,1.041604
Hotan,1.036317
Hegang,1.036317
Shuangyashan,1.021858
Bortala,1.018218
Changhua,1.018218
Danzhou,1.013205
Kezilsu,0.990125
Qitaihe,0.980208
Dongfang,0.964297
Chengmai,0.963342
Dingan,0.954858
Wuzhishan,0.943838
Ledong,0.933866
Changjiang,0.899053
Qiongzhong,0.850012
