city,distance
Ngawa,4.819126
Shanghai,4.632314
Xining,4.632314
Chengdou,4.203690
Beijing,3.944717
Haibei,3.944717
Garze,3.193422
Haixi,3.193422
Yushuzhou,3.193422
Suzhou,2.273992
Lanzhou,2.261783
Hangzhou,2.176600
Xi'an,2.089408
Chongqing,2.029076
Tianjin,2.009511
Lhasa,2.003333
Jiaxing,1.989445
Gannan,1.983238
Leshan,1.969654
Nanjing,1.954896
Wuxi,1.953816
Hong Kong,1.949194
Shamen,1.924447
Zhangye,1.923834
Ya'an,1.896558
Changzhou,1.886807
Ningbo,1.885681
Mianyang,1.835965
Guangzhou,1.817615
Nagqu,1.792837
Deyang,1.792205
Zhoushan,1.789742
Nantong,1.772795
Jiuquan,1.749349
Haidong,1.746561
Huangnan,1.743735
Shenzhen,1.741873
Huzhou,1.730384
Yinchuan,1.725895
Sanya,1.725779
Qingdao,1.715848
Langfang,1.709506
Shaoxing,1.701215
Wuhan,1.691179
Yangzhou,1.677350
Changsha,1.672563
Taipei,1.669992
Baoding,1.669248
Jinan,1.667682
Shijiazhuang,1.664831
Qinhuangdao,1.663263
Jinhua,1.651940
Qamdo,1.649130
Weinan,1.647170
Neijiang,1.644751
Kunming,1.642944
Shenyang,1.642352
Tianshui,1.641309
Zhuzhou,1.636366
Nanchong,1.631299
Baoji,1.626044
Zhenjiang,1.625856
Meishan,1.620395
Dalian,1.617782
Huangshan,1.610148
Zhengzhou,1.609312
Hefei,1.608091
Lijiang,1.607750
Taiyuan,1.606803
Wenzhou,1.602760
Urumqi,1.597170
Zhongshan,1.594993
Jiayuguan,1.590754
Tangshan,1.589809
Diqing,1.587271
Harbin,1.584770
Liangshanzhou,1.584705
Taizhou,1.574534
Macau,1.569938
Suining,1.569752
Zhangjiakou,1.563608
Guiyang,1.560607
Fuzhou,1.560411
Guilin,1.556905
Ziyang,1.556521
Chengde,1.549132
Taizhou,1.544910
Zigong,1.543087
Nanchang,1.542090
Changchun,1.542023
Linxia,1.534539
Nanning,1.527536
Yancheng,1.523351
Yibin,1.518703
Guangyuan,1.516333
Hohhot,1.515541
Luzhou,1.508359
Taoyuan,1.493417
Zhuhai,1.490725
Xuzhou,1.487668
Shangrao,1.482727
Yantai,1.482597
Nyingchi,1.482294
Beihai,1.477750
Dazhou,1.476817
Haikou,1.474598
Cangzhou,1.472194
Lianyungang,1.469958
Jilin,1.469578
Bangbu,1.468377
Zhongwei,1.468377
Zhangjiajie,1.466264
Hanzhong,1.457328
Luoyang,1.452912
Dingxi,1.452912
Wuhu,1.450658
Tai'an,1.449552
Longnan,1.443874
Xuancheng,1.442435
Datong,1.440490
Xianyang,1.435459
Dali,1.435018
Panzhihua,1.428470
Quanzhou,1.425089
Huludao,1.417108
Baotou,1.409977
Guang'an,1.407900
Jinzhong,1.405578
Huai'an,1.404490
Nanping,1.404373
Chizhou,1.403786
Hulunbuir,1.401422
Shizuishan,1.399907
Xiangxi,1.399907
Xingtai,1.399907
Xishuangbanna,1.399907
Dongguan,1.398006
Dezhou,1.396917
Huanggang,1.392571
Baiyin,1.391493
Ngari,1.391493
Ordos,1.391493
Sanmenxia,1.391493
Weihai,1.388729
Jining,1.385798
Quzhou,1.384480
Jiujiang,1.383929
Weifang,1.380436
Xinzhou,1.379478
Lishui,1.377551
Chuzhou,1.374388
Bazhong,1.373348
Chifeng,1.372557
Yichang,1.369826
Yingtan,1.363850
Handan,1.362753
Kaohsiung,1.362372
Shangqiu,1.361897
Turpan,1.361897
Jiangmen,1.361897
Yulin,1.361897
Zibo,1.361084
Jinzhou,1.355344
Dongying,1.352541
Hengshui,1.346166
Jingdezhen,1.341050
Ezhou,1.340793
Foshan,1.340793
Ma'anshan,1.340054
Jian,1.338846
Bayingolin,1.334031
Dandong,1.333379
Anqing,1.330014
Xilingol,1.327156
Liuzhou,1.327133
Zaozhuang,1.326021
Linyi,1.326006
Jieyang,1.322259
Pingliang,1.322259
Shannan,1.322259
Xinxiang,1.322259
Xiuzhou,1.322259
Ningde,1.318987
Qiqihar,1.317733
Jiaozuo,1.316081
Anyang,1.314404
Zunyi,1.313438
New Taipei,1.309927
Weinan,1.309477
Rizhao,1.307539
Shiyan,1.307422
Kaifeng,1.306521
Fushun,1.306066
Baoshan,1.304284
Daqing,1.302824
Anshan,1.301880
Panjin,1.298507
Yanbian,1.294518
Yingkou,1.287151
Ulanqab,1.286055
Taichung,1.284919
Xiangyang,1.283222
Lu'an,1.281201
Shantou,1.281201
Yan'an,1.280975
Tongling,1.271466
Xiuqian,1.271087
Binzhou,1.270640
Ganzhou,1.269170
Yangquan,1.268048
Wuwei,1.267849
Liaocheng,1.264712
Longyan,1.260699
Mudanjiang,1.260557
Puyang,1.259588
Ankang,1.259588
Linfen,1.259588
Jiamusi,1.259588
Alty,1.259588
Shangluo,1.259588
Baishan,1.259588
Enshi,1.259588
Jinchang,1.259588
Anshun,1.259588
Lvliang,1.259588
Kashgar,1.259588
Wuhai,1.259588
Ili(Yili),1.259588
Wuzhong,1.259588
Jincheng,1.259588
Xianning,1.259588
Alxa,1.259588
Bayannur,1.259588
Hebi,1.259588
Laibin,1.259588
Yueyang,1.259588
Yuncheng,1.259588
Zhanjiang,1.259588
Zhaoqing,1.259588
Yichun,1.252819
Nantou,1.250980
Shaoguan,1.249577
Pingdong,1.249577
Xinyang,1.246936
Zhangzhou,1.245244
Hezhou,1.242751
Wanning,1.241736
Weicu,1.241515
Liupanshui,1.241515
Daxinganling,1.241515
Baicheng,1.241515
Huangshi,1.241515
Huaihua,1.240328
Changzhi,1.239342
Suihua,1.239149
Chaoyang,1.238460
Fuyang,1.236492
Huizhou,1.234861
Tongliao,1.234850
Huaibei,1.233202
Shuozhou,1.232050
Benxi,1.230137
Huainan,1.229795
Changde,1.229795
Heze,1.228184
Hualien,1.226260
Xinyu,1.225052
Sanming,1.224442
Putian,1.221962
Jingzhou,1.220509
Meizhou,1.219940
Qionghai,1.219414
Tainan,1.216794
Siping,1.214391
Pingxiang,1.212319
Tieling,1.209699
Hinggan,1.209699
Yunlin,1.204746
Nanyang,1.204494
Bijie,1.204494
Yuxi,1.204494
Xuchang,1.202174
Luohe,1.202174
Qiandongnan,1.200082
Qingyuan,1.197656
Dehong,1.195289
Chiayi,1.194315
Fuzhou,1.192597
Fuxin,1.191051
Xiangtan,1.189057
Hengyang,1.189057
Tongren,1.185021
Pingdingshan,1.181683
Nujiang,1.179861
Bozhou,1.178514
Keramay,1.178323
Liaoyang,1.174827
Loudi,1.173385
Yulin,1.173385
Zhaotong,1.173385
Tonghua,1.171183
Yilan,1.171069
Xiaogan,1.167376
Hsinchu,1.164126
Chongzuo,1.162911
Honghe,1.159914
Yongzhou,1.159205
Sansha,1.156558
Penghu,1.156558
Keelung,1.152499
Laiwu,1.150146
Chaozhou,1.149678
Changji,1.143842
Suizhou,1.143842
Wenchang,1.143842
