city,distance
Chongqing,5.947524
Chengdou,4.584131
Dazhou,3.929822
Nanchong,3.666624
Beijing,3.101035
Zhenjiang,3.008690
Shanghai,2.843063
Suining,2.843063
Enshi,2.702707
Xi'an,2.617026
Guangyuan,2.514266
Guangzhou,2.514266
Wuhan,2.514266
Zhengzhou,2.514266
Dalian,2.382417
Guilin,2.382417
Leshan,2.382417
Meishan,2.382417
Mianyang,2.382417
Shenzhen,2.382417
Yichang,2.382417
Dongguan,2.186411
Foshan,2.186411
Guiyang,2.186411
Harbin,2.186411
Hefei,2.186411
Hohhot,2.186411
Hong Kong,2.186411
Jingmen,2.186411
Jiuquan,2.186411
Liangshanzhou,2.186411
Luzhou,2.186411
Neijiang,2.186411
Ngawa,2.186411
Qinhuangdao,2.186411
Sanmenxia,2.186411
Shiyan,2.186411
Suizhou,2.186411
Suzhou,2.186411
Wuxi,2.186411
Xuzhou,2.186411
Ya'an,2.186411
Zhangjiajie,2.186411
Baoding,2.186411
Zigong,2.186411
Ziyang,2.186411
Lijiang,1.947964
Ankang,1.932714
Kunming,1.926499
Nanjing,1.888120
Hangzhou,1.867874
Lhasa,1.861974
Changsha,1.861974
Deyang,1.857944
Shamen,1.806520
Tianjin,1.801705
Zunyi,1.794781
Garze,1.754550
Yangzhou,1.751494
Sanya,1.740059
Jinan,1.710598
Qingdao,1.682994
Changzhou,1.678069
Xiangxi,1.677677
Yibin,1.656766
Ningbo,1.654741
Urumqi,1.650622
Shenyang,1.637665
Shijiazhuang,1.635411
Taiyuan,1.633128
Puyang,1.632314
Xiangyang,1.632314
Fuzhou,1.628470
Huizhou,1.618764
Haikou,1.616250
Bazhong,1.615454
Nanchang,1.605809
Tongren,1.605809
Nanning,1.603095
Huangshan,1.573214
Macau,1.569938
Dezhou,1.566523
Jiaxing,1.566143
Wenzhou,1.559541
Diqing,1.555932
Taipei,1.552238
Lanzhou,1.540605
Xianyang,1.539815
Zhuhai,1.536525
Luoyang,1.530468
Langfang,1.529207
Yinchuan,1.528024
Jiayuguan,1.509992
Huaihua,1.504408
Jinhua,1.499197
Weinan,1.498863
Baoji,1.495765
Hanzhong,1.495414
Changchun,1.493793
Nyingchi,1.493793
Kaifeng,1.493417
Liuzhou,1.488179
Zhuzhou,1.488179
Beihai,1.482336
Xinyang,1.479286
Taoyuan,1.476243
Panzhihua,1.469924
Baoshan,1.469874
Nanyang,1.469874
Quanzhou,1.469874
Qiandongnan,1.463200
Xiangtan,1.463200
Xining,1.456188
Yantai,1.456188
Yueyang,1.448796
Hebi,1.440344
Zhoushan,1.439681
Tangshan,1.432715
Nantong,1.428695
Huzhou,1.423808
Xinxiang,1.417321
Taizhou,1.415527
Anshun,1.412219
Yan'an,1.411783
