city,distance
Chengdou,5.560322
Mianyang,4.409100
Xi'an,3.867133
Hanzhong,3.690297
Beijing,3.549621
Deyang,3.388435
Baoji,3.225601
Bazhong,3.061868
Nanchong,2.985375
Ngawa,2.745543
Shanghai,2.684092
Lanzhou,2.683879
Chongqing,2.534170
Shamen,2.534170
Guang'an,2.437694
Hangzhou,2.437694
Leshan,2.437694
Meishan,2.437694
Taiyuan,2.437694
Zhengzhou,2.437694
Guangzhou,2.313555
Kaifeng,2.313555
Longnan,2.313555
Luoyang,2.313555
Suining,2.313555
Changchun,2.128275
Dazhou,2.128275
Foshan,2.128275
Garze,2.128275
Haikou,2.128275
Haixi,2.128275
Ankang,2.128275
Harbin,2.128275
Hong Kong,2.128275
Jiaxing,2.128275
Liaocheng,2.128275
Lijiang,2.128275
Baotou,2.128275
Nanchang,2.128275
Nanning,2.128275
Neijiang,2.128275
Qingdao,2.128275
Qingyang,2.128275
Qinhuangdao,2.128275
Sanmenxia,2.128275
Sanya,2.128275
Tianjin,2.128275
Tianshui,2.128275
Wuhan,2.128275
Wuwei,2.128275
Xiangyang,2.128275
Xining,2.128275
Xuzhou,2.128275
Ya'an,2.128275
Yan'an,2.128275
Yanbian,2.128275
Yuncheng,2.128275
Xianyang,1.901484
Weinan,1.839423
Shenzhen,1.818465
Kunming,1.816125
Nanjing,1.765717
Lhasa,1.764867
Liangshanzhou,1.745226
Guiyang,1.716043
Ziyang,1.711104
Zigong,1.694883
Changsha,1.681097
Suzhou,1.676598
Yibin,1.665511
Urumqi,1.655336
Luzhou,1.653079
Ningbo,1.645347
Wuxi,1.640542
Langfang,1.630840
Jinan,1.618982
Shenyang,1.595393
Baoding,1.594162
Shijiazhuang,1.590133
Huangshan,1.573214
Panzhihua,1.557610
Hefei,1.552197
Jinzhong,1.548923
Dalian,1.537697
Yinchuan,1.536488
Nyingchi,1.536266
Yulin,1.534263
Fuzhou,1.531621
Taipei,1.530041
Shangluo,1.525021
Tangshan,1.521554
Jiuquan,1.513447
Gannan,1.512982
Guilin,1.511470
Zhangjiakou,1.497537
Yichang,1.488141
Chengde,1.484253
Huangshan,1.479445
Zhuhai,1.477185
Hohhot,1.474888
Changzhou,1.474888
Tongchuan,1.472676
Diqing,1.470179
Dongying,1.467764
Dongguan,1.465306
Wenzhou,1.443875
Zhangzhou,1.443585
Quanzhou,1.442927
Nanyang,1.442891
Xinzhou,1.437418
Jilin,1.436621
Jiayuguan,1.428817
Baishan,1.425132
Zunyi,1.421828
Yantai,1.421286
Liupanshui,1.416562
Shiyan,1.414780
Taoyuan,1.414780
Zhongshan,1.414780
Cangzhou,1.413478
Macau,1.411106
Baoshan,1.411106
Ordos,1.404986
Nagqu,1.399589
Yangzhou,1.399400
Dingxi,1.398475
Zhoushan,1.397760
Meizhou,1.393755
Xinxiang,1.392661
Tai'an,1.392593
Jinhua,1.390942
Chuzhou,1.390942
Nantong,1.387402
Shangqiu,1.386397
Linfen,1.386368
Jiaozuo,1.385305
Jiujiang,1.385065
Datong,1.384227
Zhongwei,1.377235
Linxia,1.375122
Qionghai,1.372737
Zhuzhou,1.372053
Shaoxing,1.371706
Jinchang,1.371336
Zhangye,1.369224
Beihai,1.366831
Huludao,1.362622
Longyan,1.362198
Taizhou,1.361369
Xiangxi,1.361369
Huzhou,1.361290
Liuzhou,1.355643
Xinyang,1.354577
Baiyin,1.354204
Kaohsiung,1.353291
Zhangjiajie,1.353291
Xishuangbanna,1.349621
Haibei,1.348403
Hulunbuir,1.348113
Zhenjiang,1.346630
Dezhou,1.343944
Bangbu,1.342421
Mudanjiang,1.339588
Huaihua,1.336545
Weihai,1.336363
Jining,1.333649
Enshi,1.329397
Weifang,1.328682
Tongliao,1.328563
Yangquan,1.328563
Yichun,1.328563
Daqing,1.323440
Chongzuo,1.323416
Qamdo,1.321762
Ganzhou,1.321762
Chifeng,1.321382
Lvliang,1.318178
Pingliang,1.315615
Lianyungang,1.313561
Jingzhou,1.313561
Zibo,1.313561
Anyang,1.313464
Handan,1.312293
Wanning,1.310773
Shangrao,1.310417
