city,distance
Shanghai,4.925894
Foshan,4.080948
Shenzhen,4.063894
Beijing,3.884975
Hong Kong,3.396518
Dongguan,3.301260
Zhuhai,3.218653
Zhongshan,3.018639
Jiangmen,2.909978
Shamen,2.855428
Wuhan,2.843117
Hangzhou,2.815002
Qingyuan,2.765372
Chengdou,2.732851
Huizhou,2.727401
Zhaoqing,2.704117
Changsha,2.695010
Shaoguan,2.635340
Nanjing,2.595566
Macau,2.594984
Nanning,2.554951
Tianjin,2.496598
Shantou,2.486494
Chongqing,2.473169
Sanya,2.459440
Xi'an,2.453201
Kunming,2.423982
Haikou,2.422299
Guilin,2.415505
Yangjiang,2.412067
Suzhou,2.404229
Taipei,2.376058
Fuzhou,2.361708
Zhanjiang,2.356811
Nanchang,2.314217
Qingdao,2.310911
Ningbo,2.288118
Zhengzhou,2.288118
Yangzhou,2.266359
Guiyang,2.262606
Heyuan,2.253696
Jinan,2.211357
Wuxi,2.209904
Dalian,2.196539
Shanwei,2.185774
Hefei,2.182635
Zhuzhou,2.181054
Jieyang,2.171412
Shenyang,2.168135
Maoming,2.151248
Chenzhou,2.149511
Hezhou,2.144243
Hengyang,2.138889
Meizhou,2.126038
Wuzhou,2.094547
Lijiang,2.081863
Chaozhou,2.075317
Taiyuan,2.070873
Changchun,2.064081
Harbin,2.059465
Wenzhou,2.059465
Shijiazhuang,2.047601
Taoyuan,2.047601
Yunfu,2.042718
Jiaxing,2.041705
Quanzhou,2.040245
Ganzhou,2.037751
Changzhou,2.019661
Urumqi,2.011542
Jinhua,1.976465
Lanzhou,1.970155
Liuzhou,1.963692
Shangrao,1.939740
Xiangxi,1.939740
Beihai,1.917284
Yingtan,1.905262
Hohhot,1.901122
Yueyang,1.883829
Jiujiang,1.874698
Huangshan,1.869998
Zhangjiajie,1.865204
Yichang,1.860311
Taizhou,1.844988
Lhasa,1.839647
Longyan,1.839647
Yantai,1.839647
Zhoushan,1.831925
Xiangyang,1.828576
Yinchuan,1.828576
Shaoxing,1.822831
Zhangzhou,1.822831
