city,distance
Nanning,6.260573
Guangzhou,3.774518
Yulin,3.685569
Wuzhou,3.484978
Liuzhou,3.368778
Beijing,3.305094
Shanghai,3.162492
Zhongshan,2.989784
Guiyang,2.885286
Guilin,2.760880
Hezhou,2.760880
Yibin,2.760880
Beihai,2.602711
Chongzuo,2.602711
Huizhou,2.602711
Shenzhen,2.602711
Zhanjiang,2.602711
Dongguan,2.370547
Fangchenggang,2.370547
Foshan,2.370547
Hechi,2.370547
Hengyang,2.370547
Laibin,2.370547
Qinzhou,2.370547
Sanya,2.370547
Shamen,2.370547
Wuhan,2.370547
Yangjiang,2.370547
Zhaoqing,2.370547
Baise,2.097454
Changsha,1.910090
Kunming,1.884614
Chengdou,1.882161
Hangzhou,1.879683
Yichang,1.860311
Suzhou,1.851555
Zhuhai,1.830371
Tianjin,1.829180
Chongqing,1.803851
Nanjing,1.800359
Haikou,1.793205
Hong Kong,1.787778
Xi'an,1.770194
Fuzhou,1.725113
Nanchang,1.719999
Taipei,1.679855
Anshun,1.674142
Haixi,1.673360
Jinhua,1.673360
Jiaxing,1.658418
Jiangmen,1.643170
Wuxi,1.633585
Qiandongnan,1.624728
Maoming,1.619755
Zhengzhou,1.610813
Zunyi,1.600230
Qingyuan,1.596043
Changzhou,1.586477
Ningbo,1.585681
Taiyuan,1.579983
Langfang,1.577227
Xianyang,1.563993
Harbin,1.555655
Shaoguan,1.551850
Yunfu,1.550364
Luzhou,1.549944
Qiannan,1.547469
Qingdao,1.543427
Baoding,1.542896
Hefei,1.541935
Xiangxi,1.541935
Jinan,1.541558
Shijiazhuang,1.539121
Qinhuangdao,1.537781
Macau,1.537767
Lijiang,1.526881
Quanzhou,1.526881
Shenyang,1.519889
Zhoushan,1.517287
Dali,1.510166
Leshan,1.507903
Nantong,1.505089
Shantou,1.499010
Zigong,1.494042
Nanping,1.491320
Urumqi,1.491320
Xining,1.491320
Dalian,1.489944
Tangshan,1.474783
Huzhou,1.474409
Honghe,1.469627
Huaihua,1.469627
Lanzhou,1.469627
Yongzhou,1.469627
Zhuzhou,1.469627
Shaoxing,1.453179
Zhangjiakou,1.452209
Zhaotong,1.448727
Jingdezhen,1.443922
Changchun,1.443922
Shizuishan,1.443922
Zhenjiang,1.443922
Chengde,1.439714
Jieyang,1.439362
Yangzhou,1.435730
Chenzhou,1.420954
Qianxinan,1.417420
Lhasa,1.412079
Mianyang,1.412079
