city,distance
Shanghai,5.944825
Beijing,4.116111
Guangzhou,3.483491
Nanning,3.467345
Liuzhou,3.456440
Shenzhen,3.030947
Hezhou,2.997547
Beihai,2.775391
Wuhan,2.762178
Changsha,2.757707
Hangzhou,2.720654
Xi'an,2.670658
Chongqing,2.665400
Chengdou,2.643842
Shamen,2.638314
Nanjing,2.591851
Hong Kong,2.566933
Suzhou,2.550409
Kunming,2.460051
Tianjin,2.418054
Hengyang,2.409145
Yongzhou,2.390747
Zhuhai,2.361535
Wuzhou,2.340831
Zhaoqing,2.340831
Sanya,2.330062
Zhuzhou,2.330062
Haikou,2.295857
Guiyang,2.283743
Fuzhou,2.258274
Zhengzhou,2.258274
Ningbo,2.244846
Foshan,2.230901
Qingdao,2.201250
Jiaxing,2.197843
Hechi,2.185417
Wuxi,2.185417
Yulin,2.168811
Nanchang,2.151336
Qiandongnan,2.151336
Changzhou,2.151336
Chongzuo,2.132875
Hefei,2.113290
Baise,2.113290
Jinan,2.113290
Jinhua,2.113290
Dongguan,2.069992
Lijiang,2.069992
Xiangtan,2.069992
Huizhou,2.045771
Laibin,2.045771
Shaoyang,2.019356
Taiyuan,2.019356
Yueyang,2.019356
Lanzhou,1.990223
Taipei,1.990223
Urumqi,1.990223
Xiangxi,1.990223
Yichun,1.990223
Zhongshan,1.990223
Fangchenggang,1.957619
Huaihua,1.957619
Jiangmen,1.957619
Dalian,1.957619
Nantong,1.957619
Shijiazhuang,1.957619
Wenzhou,1.957619
Zhoushan,1.956646
Changchun,1.920409
Qinzhou,1.920409
Shangrao,1.920409
Yangzhou,1.920409
Yichang,1.920409
Yingtan,1.920409
Huzhou,1.885920
Dali,1.876750
Mianyang,1.876750
Nanyang,1.876750
Qiannan,1.876750
Shaoguan,1.876750
Taoyuan,1.876750
Xuzhou,1.876750
Zhangjiajie,1.876750
Shaoxing,1.851324
Harbin,1.823309
Anshun,1.823309
Diqing,1.823309
Jinzhou,1.823309
Luoyang,1.823309
Pingxiang,1.823309
Qingyuan,1.823309
Quanzhou,1.823309
Quzhou,1.823309
Shenyang,1.823309
Tongren,1.823309
Xinyu,1.823309
Yinchuan,1.823309
Guigang,1.823309
Zhanjiang,1.823309
Zhenjiang,1.823309
Heze,1.752957
Hsinchu,1.752957
Huangshan,1.752957
Huludao,1.752957
Jieyang,1.752957
Jingdezhen,1.752957
Jining,1.752957
Lhasa,1.752957
Liaocheng,1.752957
Macau,1.752957
Qujing,1.752957
Shanwei,1.752957
Guang'an,1.752957
Dongying,1.752957
Taichung,1.752957
Tainan,1.752957
Taizhou,1.752957
Tongliao,1.752957
Wuhu,1.752957
Baoding,1.752957
Xiangyang,1.752957
Xianning,1.752957
Chenzhou,1.752957
Xinzhou,1.752957
Xuancheng,1.752957
Fuyang,1.752957
Zigong,1.752957
Langfang,1.740921
Qinhuangdao,1.692987
Taizhou,1.667707
Jiujiang,1.644484
Kaohsiung,1.644484
Bayannur,1.644484
Datong,1.644484
Leshan,1.644484
Liangshanzhou,1.644484
Lianyungang,1.644484
Anqing,1.644484
Loudi,1.644484
Lu'an,1.644484
Ganzhou,1.644484
Baoshan,1.644484
Nanping,1.644484
Bangbu,1.644484
Garze,1.644484
Ngawa,1.644484
Changhua,1.644484
Ningde,1.644484
Handan,1.644484
Putian,1.644484
Chengde,1.644484
Qionghai,1.644484
Huainan,1.644484
Anshan,1.644484
Baotou,1.644484
Hohhot,1.644484
Tangshan,1.644484
Tianshui,1.644484
Wanning,1.644484
Weicu,1.644484
Xiaogan,1.644484
Xilingol,1.644484
Xining,1.644484
Xinxiang,1.644484
Xinyang,1.644484
Ili(Yili),1.644484
Xuchang,1.644484
Yan'an,1.644484
Yancheng,1.644484
Yangjiang,1.644484
Yantai,1.644484
Yiyang,1.644484
Anyang,1.644484
Yuxi,1.644484
Zhangzhou,1.644484
Bijie,1.644484
Changde,1.644484
Ezhou,1.644484
Zibo,1.644484
Zhangjiakou,1.589849
Xianyang,1.558227
Weinan,1.516303
Baoji,1.513132
Huai'an,1.505251
Chizhou,1.504442
Shantou,1.499010
Cangzhou,1.495433
Weihai,1.476665
Tai'an,1.474518
Lishui,1.474351
New Taipei,1.459978
Chuzhou,1.459967
Shantou,1.450871
Deyang,1.432002
Ma'anshan,1.431480
Jian,1.430103
Jinzhong,1.426746
Hulunbuir,1.422465
Dezhou,1.417823
Jingzhou,1.416952
Linyi,1.415462
Huanggang,1.409661
Zaozhuang,1.407466
Weifang,1.400848
Huangshi,1.399534
Kaifeng,1.399206
Rizhao,1.394439
Chifeng,1.392736
Longyan,1.391728
Jiuquan,1.381929
Yanbian,1.378504
Haixi,1.376888
Ordos,1.375921
Jilin,1.374104
Heyuan,1.368393
Xishuangbanna,1.367390
Shiyan,1.365895
Hengshui,1.365571
Ya'an,1.360546
Tongling,1.353487
Xiuqian,1.353057
Dandong,1.352415
Hanzhong,1.352059
Xingtai,1.349069
Qiqihar,1.336321
Jiaozuo,1.334622
Nantou,1.330296
Ankang,1.330082
Maoming,1.329938
Jingmen,1.328722
Pingdong,1.328710
Nanchong,1.327387
Fushun,1.324324
Honghe,1.323495
Daqing,1.320991
Wenchang,1.320513
Meizhou,1.320260
Meishan,1.320159
Panjin,1.317517
Suihua,1.316926
Huaibei,1.310211
Turpan,1.308244
Enshi,1.305722
Yingkou,1.304880
Ulanqab,1.303754
Yulin,1.302713
Dazhou,1.302495
Neijiang,1.302401
Hualien,1.302378
Xiuzhou,1.302378
Chaozhou,1.300521
Sanming,1.300327
Changji,1.297410
Shangluo,1.296044
Binzhou,1.287914
Yunfu,1.287644
Suining,1.286348
Yangquan,1.285251
Sanmenxia,1.283255
Alty,1.280792
Mudanjiang,1.280663
Yuncheng,1.280663
Yunlin,1.278136
Ziyang,1.277450
Shangqiu,1.271076
Luzhou,1.270378
Chiayi,1.266402
Suizhou,1.266173
Fuzhou,1.264471
Danzhou,1.262616
Changzhi,1.261501
Yibin,1.261501
Tongchuan,1.258042
Nyingchi,1.255763
Qianxinan,1.255022
Chaoyang,1.254865
Guangyuan,1.250255
Pingdingshan,1.249030
Bozhou,1.248650
Shuozhou,1.248284
Benxi,1.246320
Lingshui,1.244430
Jiayuguan,1.242757
Jiamusi,1.242269
Yilan,1.240296
Dehong,1.237412
Puyang,1.235855
Baishan,1.235176
Pu'er,1.233163
Zhongwei,1.230587
Sansha,1.230515
Siping,1.230160
Chengmai,1.228475
Lvliang,1.227784
Hinggan,1.225345
Tieling,1.225345
Shizuishan,1.224388
Penghu,1.224030
Linfen,1.222842
Keelung,1.222021
Bayingolin,1.221903
Kashgar,1.221025
Liupanshui,1.220894
Kinmen,1.218832
Luohe,1.217626
Nagqu,1.216852
Dingan,1.214711
Keramay,1.214626
Dongfang,1.212148
Shannan,1.207994
Fuxin,1.206216
Taidong,1.206146
Gannan,1.201541
Wenshan,1.198492
Yichun,1.196694
Kumul(Hami),1.194708
Panzhihua,1.189908
Liaoyang,1.189579
Wuhai,1.187731
Laiwu,1.186122
Hebi,1.185843
Tonghua,1.185843
Zhumadian,1.183855
Daxinganling,1.181940
Haibei,1.181510
Zhangye,1.181510
Ledong,1.180942
Wuwei,1.177767
Miaoli,1.175434
Zhoukou,1.173810
Wuzhong,1.172201
Baoting,1.169285
Jincheng,1.169050
Dingxi,1.168814
Qingyang,1.168608
Zhaotong,1.167186
Linxia,1.166767
Alxa,1.159226
Baiyin,1.151673
Bazhong,1.151412
Aksu,1.151068
Lincang,1.146775
Songyuan,1.141896
Pingliang,1.141617
Jixi,1.138612
Wuzhishan,1.137493
Baicheng,1.135189
Jiyuan,1.129375
Heihe,1.126751
Changjiang,1.124511
Tacheng,1.120229
Hotan,1.113893
Liaoyuan,1.111579
Bortala,1.111381
Qamdo,1.109471
Jinchang,1.107545
Haidong,1.105773
Nujiang,1.101089
Shuangyashan,1.094852
Guyuan,1.088015
Hegang,1.076564
Huangnan,1.074514
Ngari,1.070235
Golog,1.066952
Qitaihe,1.056780
Longnan,1.051638
Qiongzhong,1.049958
Yushuzhou,1.016364
Kezilsu,0.965306
