city,distance
Shanghai,4.943079
Beijing,4.157692
Anshun,3.988275
Qiandongnan,3.718835
Zunyi,3.592936
Qiannan,3.337446
Chengdou,3.307723
Chongqing,3.270747
Guangzhou,3.144639
Kunming,3.104806
Shenzhen,2.821545
Qianxinan,2.786126
Changsha,2.748498
Xi'an,2.717464
Suzhou,2.684637
Hangzhou,2.669951
Wuhan,2.644557
Liupanshui,2.623334
Tongren,2.612390
Nanjing,2.606831
Bijie,2.589782
Nanning,2.560020
Shamen,2.480123
Weifang,2.450113
Zhengzhou,2.442286
Sanya,2.417926
Hefei,2.400887
Zhuhai,2.335080
Nanchang,2.324739
Tianjin,2.324739
Huaihua,2.314118
Lijiang,2.291959
Hong Kong,2.280376
Guilin,2.268425
Jinan,2.230043
Xiangxi,2.216281
Qingdao,2.171385
Fuzhou,2.154991
Jiaxing,2.154991
Wuxi,2.154991
Loudi,2.119508
Ningbo,2.119508
Qujing,2.119508
Hohhot,2.100166
Dali,2.079536
Taiyuan,2.079536
Zhuzhou,2.079536
Haikou,2.057399
Urumqi,2.057399
Foshan,2.033470
Jinhua,2.033470
Lanzhou,2.033470
Hechi,2.007370
Liuzhou,2.007370
Shenyang,2.007370
Shijiazhuang,2.007370
Zhoushan,2.007370
Changzhou,1.978579
Quanzhou,1.978579
Yantai,1.978579
Jiangmen,1.946352
Beihai,1.946352
Dongguan,1.909566
Harbin,1.909566
Mianyang,1.909566
Shaoxing,1.909566
Changchun,1.909566
Yinchuan,1.909566
Fangchenggang,1.866392
Guigang,1.866392
Dalian,1.866392
Luoyang,1.866392
Nanchong,1.866392
Pingxiang,1.866392
Taipei,1.866392
Wenzhou,1.866392
Xishuangbanna,1.866392
Yueyang,1.866392
Zhangjiajie,1.866392
Shaoxing,1.851324
Nantong,1.816500
Changde,1.813531
Huangshan,1.813531
Luzhou,1.813531
Diqing,1.813531
Qinhuangdao,1.813531
Qinzhou,1.813531
Shaoguan,1.813531
Taoyuan,1.813531
Xining,1.813531
Yibin,1.813531
Yichun,1.813531
Zhanjiang,1.813531
Zhongshan,1.813531
Huzhou,1.771998
Langfang,1.748316
Leshan,1.747824
Jinzhong,1.743917
Kaifeng,1.743917
Kashgar,1.743917
Liangshanzhou,1.743917
Ordos,1.743917
Pingdong,1.743917
Pu'er,1.743917
Qionghai,1.743917
Shangrao,1.743917
Shaoyang,1.743917
Fuzhou,1.743917
Taizhou,1.743917
Taizhou,1.743917
Weicu,1.743917
Baoding,1.743917
Changzhi,1.743917
Xianning,1.743917
Xuzhou,1.743917
Ya'an,1.743917
Yangjiang,1.743917
Yangzhou,1.743917
Yingtan,1.743917
Garze,1.743917
Yuxi,1.743917
Anyang,1.743917
Zibo,1.743917
Ngawa,1.743664
Zhenjiang,1.662541
Jiaozuo,1.636526
Chaozhou,1.636526
Jieyang,1.636526
Jingdezhen,1.636526
Jining,1.636526
Jinzhou,1.636526
Hengyang,1.636526
Laiwu,1.636526
Dandong,1.636526
Liaocheng,1.636526
Linyi,1.636526
Baotou,1.636526
Longyan,1.636526
Lu'an,1.636526
Ma'anshan,1.636526
Guang'an,1.636526
Maoming,1.636526
Mudanjiang,1.636526
Fuyang,1.636526
Bayingolin,1.636526
Nanping,1.636526
Nanyang,1.636526
Nyingchi,1.636526
Qamdo,1.636526
Ankang,1.636526
Dehong,1.636526
Qingyuan,1.636526
Chenzhou,1.636526
Datong,1.636526
Shiyan,1.636526
Huai'an,1.636526
Enshi,1.636526
Weihai,1.636526
Weinan,1.636526
Wuhu,1.636526
Wuzhou,1.636526
Xiangtan,1.636526
Xianyang,1.636526
Xinxiang,1.636526
Xinyu,1.636526
Xinzhou,1.636526
Ganzhou,1.636526
Yan'an,1.636526
Yancheng,1.636526
Yichang,1.636526
Yulin,1.636526
Yulin,1.636526
Yuncheng,1.636526
Hulunbuir,1.636526
Zaozhuang,1.636526
Zhangzhou,1.636526
Zhaotong,1.636526
Jian,1.636526
Zhongwei,1.636526
Dazhou,1.636526
Ziyang,1.636526
Anqing,1.636526
Tangshan,1.623322
Deyang,1.606662
Zhangjiakou,1.596014
Chengde,1.580934
Baoji,1.558686
Baoshan,1.536346
Cangzhou,1.500887
Lianyungang,1.499881
Jingzhou,1.492862
Honghe,1.489956
Lhasa,1.482211
Chongzuo,1.478463
Tai'an,1.477360
Xuancheng,1.471237
Meishan,1.467200
Jiujiang,1.465675
Huizhou,1.460598
Zhaoqing,1.453894
Neijiang,1.445300
Huludao,1.443674
Chizhou,1.431050
Suining,1.425558
Dezhou,1.422725
Wuhai,1.420222
Wanning,1.415184
Baise,1.413107
Quzhou,1.410992
Lishui,1.403796
Zigong,1.403532
Bangbu,1.402123
Chifeng,1.397465
New Taipei,1.392217
Chuzhou,1.390750
Shantou,1.388553
Kaohsiung,1.388037
Handan,1.387303
Guangyuan,1.381363
Yiyang,1.380520
Jilin,1.378707
Huanggang,1.378374
Xiangyang,1.375827
Xiaogan,1.370566
Hengshui,1.370117
Huangshi,1.368690
Wuwei,1.365493
Hanzhong,1.363952
Xingtai,1.353506
Dongying,1.351206
Xilingol,1.350429
Ningde,1.343028
Qiqihar,1.340674
Hezhou,1.340376
Turpan,1.336938
Wenshan,1.333391
Rizhao,1.331162
Fushun,1.328599
Changji,1.325626
Daqing,1.325245
Anshan,1.324267
Panjin,1.320778
Jiuquan,1.319756
Huainan,1.316893
Yanbian,1.316650
Heyuan,1.312823
Yingkou,1.309030
Laibin,1.308343
Ezhou,1.308285
Alty,1.308283
Panzhihua,1.308068
Ulanqab,1.307897
Taichung,1.307723
Shangluo,1.306968
Pingdingshan,1.303344
Jingmen,1.300889
Xuchang,1.299239
Shizuishan,1.298760
Meizhou,1.294755
Sanmenxia,1.293964
Tongling,1.293791
Xiuqian,1.293399
Binzhou,1.291957
Putian,1.291757
Shangqiu,1.290975
Shanwei,1.289482
Yangquan,1.289277
Wuzhong,1.288320
Ili(Yili),1.283430
Tianshui,1.283042
Nantou,1.272586
Xinyang,1.272001
Lincang,1.269686
Lingshui,1.269059
Tongchuan,1.268333
Bazhong,1.261696
Suihua,1.260345
Haixi,1.259801
Chaoyang,1.258703
Tongliao,1.254974
Huaibei,1.254193
Luohe,1.252484
Shuozhou,1.252082
Yongzhou,1.251642
Benxi,1.250106
Heze,1.248089
Hualien,1.247014
Xiuzhou,1.247014
Jiamusi,1.246030
Sanming,1.245134
Suizhou,1.240875
Puyang,1.239577
Keramay,1.239322
Yunfu,1.238321
Wenchang,1.237984
Tainan,1.237226
Jiayuguan,1.235666
Siping,1.233848
Bayannur,1.232660
Lvliang,1.231457
Tieling,1.229004
Hinggan,1.229004
Baishan,1.227754
Kezilsu,1.227397
Linfen,1.226486
Zhumadian,1.225225
Yunlin,1.224771
Sansha,1.223294
Zhoukou,1.221653
Haibei,1.214824
Chiayi,1.213993
Nujiang,1.213920
Gannan,1.213789
Fuxin,1.209761
Liaoyang,1.206618
Bozhou,1.203994
Taidong,1.203384
Jincheng,1.195027
Baoting,1.191004
Yilan,1.189982
Hebi,1.189270
Tonghua,1.189270
Danzhou,1.186958
Daxinganling,1.185344
Kinmen,1.183945
Dingxi,1.183597
Hsinchu,1.182813
Kumul(Hami),1.182188
Linxia,1.181498
Qingyang,1.177482
Alxa,1.177157
Zhangye,1.177141
Penghu,1.175001
Keelung,1.174186
Jiyuan,1.173596
Aksu,1.173223
Baiyin,1.166023
Wuzhishan,1.158036
Chengmai,1.156737
Nagqu,1.155132
Hotan,1.152103
Pingliang,1.150085
Yichun,1.149789
Songyuan,1.145073
Dingan,1.144526
Jixi,1.141771
Tacheng,1.141202
Shannan,1.140026
Ledong,1.138945
Baicheng,1.138329
Bortala,1.127462
Heihe,1.122845
Jinchang,1.120811
Guyuan,1.107726
Dongfang,1.105289
Haidong,1.101213
Miaoli,1.100396
Huangnan,1.100089
Shuangyashan,1.097772
Liaoyuan,1.097772
Hegang,1.092654
Ngari,1.078030
Changhua,1.068979
Golog,1.065322
Changjiang,1.064103
Longnan,1.063590
Qitaihe,1.059501
Yushuzhou,1.028239
Qiongzhong,0.997106
