city,distance
Yinchuan,5.384278
Pingliang,4.573915
Xi'an,4.305257
Zhongwei,3.902289
Wuzhong,3.593616
Beijing,3.330195
Lanzhou,3.330195
Shanghai,3.165559
Baoji,2.959355
Chengdou,2.662831
Haikou,2.662831
Jiuquan,2.662831
Shizuishan,2.662831
Suzhou,2.662831
Wuhan,2.662831
Xianyang,2.662831
Yan'an,2.662831
Tianshui,2.031580
Urumqi,1.983847
Alxa,1.954839
Zhengzhou,1.954839
Qingyang,1.944621
Weinan,1.932989
Xining,1.851471
Tianjin,1.836843
Diqing,1.813531
Yulin,1.803902
Hohhot,1.794886
Nanjing,1.790234
Hangzhou,1.787446
Guangzhou,1.765326
Wuhai,1.754474
Chongqing,1.748828
Jinzhong,1.742527
Zhangye,1.742527
Ordos,1.724528
Jiayuguan,1.722876
Shijiazhuang,1.708370
Sanya,1.698853
Taiyuan,1.681330
Hanzhong,1.673787
Jiaxing,1.659261
Baotou,1.655365
Luoyang,1.654498
Shenzhen,1.649566
Ankang,1.640237
Jining,1.635302
Baiyin,1.635302
Ningde,1.635302
Shenyang,1.635302
Wuwei,1.635302
Zhenjiang,1.635302
Wuxi,1.634403
Hong Kong,1.631168
Shamen,1.613801
Lhasa,1.610568
Shangluo,1.588781
Changzhou,1.587248
Ningbo,1.586451
Langfang,1.582921
Gannan,1.581330
Qionghai,1.576919
Sanmenxia,1.569604
Leshan,1.549529
Qingdao,1.548879
Baoding,1.548344
Jinan,1.546997
Ngawa,1.546259
Qinhuangdao,1.543193
Kunming,1.540142
Changsha,1.538380
Tongchuan,1.532049
Dingxi,1.530469
Dalian,1.528866
Linxia,1.526961
Yichang,1.521277
Zhoushan,1.517992
Linfen,1.512913
Nantong,1.505784
Hefei,1.503688
Guiyang,1.498711
Harbin,1.498711
Nanchang,1.482070
Xuzhou,1.482070
Haixi,1.481669
Huzhou,1.475075
Bayannur,1.471987
Yantai,1.471987
Yuncheng,1.459633
Zhangjiakou,1.457034
Guilin,1.456555
Shaoxing,1.453826
Wanning,1.452514
Changchun,1.447198
Lvliang,1.445696
Pingdingshan,1.445696
Chengde,1.445696
Bijie,1.445696
Huangshan,1.438908
Datong,1.438908
Tieling,1.438908
Wuhu,1.438908
Bayingolin,1.438908
Yangquan,1.438908
Deyang,1.437555
Yangzhou,1.436361
Wenchang,1.434197
Taipei,1.430962
Xianning,1.430317
Jinchang,1.427096
Fuzhou,1.421149
Jinhua,1.417687
Mianyang,1.414952
Garze,1.412760
Guangyuan,1.410575
Shiyan,1.406088
Changji,1.394734
Kaifeng,1.394734
Foshan,1.394734
Lijiang,1.394734
Nanyang,1.394734
Hotan,1.394734
Ulanqab,1.394734
Weifang,1.394734
Xiangyang,1.394734
Xinyang,1.394734
Zhangjiajie,1.394734
Nanning,1.394118
Bangbu,1.391580
Jingzhou,1.390342
Huanggang,1.383322
Kumul(Hami),1.382707
Nagqu,1.381352
Wenzhou,1.381313
Cangzhou,1.377340
Xiaogan,1.375458
Huangshi,1.373568
Panzhihua,1.372459
Turpan,1.372459
Yueyang,1.372459
Jiaozuo,1.372459
Zhongshan,1.372459
Danzhou,1.366159
Ya'an,1.365557
Liupanshui,1.362721
Taizhou,1.360297
Zhanjiang,1.358531
Tai'an,1.357501
Macau,1.356865
Shangqiu,1.341448
Zhuhai,1.341448
Taoyuan,1.341295
Haibei,1.340591
Taizhou,1.338129
Xiangxi,1.337472
Longnan,1.335605
Nanchong,1.332157
Huludao,1.329007
Chengmai,1.326276
Nanping,1.325185
Hulunbuir,1.325185
Neijiang,1.325185
Dongguan,1.325185
Shantou,1.325185
Shaoguan,1.325185
Chifeng,1.325185
Chaoyang,1.325185
Suizhou,1.325185
Tainan,1.325185
Binzhou,1.325185
Tongling,1.325185
Weihai,1.325185
Xilingol,1.325185
Xingtai,1.325185
Xinxiang,1.325185
Aksu,1.325185
Bortala,1.325185
Zaozhuang,1.325185
Handan,1.325185
Chizhou,1.325185
Meishan,1.324876
Yancheng,1.321925
Ezhou,1.312741
Lingshui,1.311961
Dezhou,1.311232
Dingan,1.310249
Jingmen,1.305296
Liangshanzhou,1.300921
Jiujiang,1.300568
Haidong,1.299840
Zigong,1.299840
Xinzhou,1.295856
Anyang,1.293336
