city,distance
Xining,6.470465
Zhangye,3.755280
Haixi,3.689829
Shanghai,3.667225
Lanzhou,3.353445
Beijing,3.222537
Jiuquan,2.815377
Xi'an,2.815377
Lhasa,2.750573
Zhongshan,2.677675
Haidong,2.593549
Jiayuguan,2.593549
Golog,2.492588
Nanjing,2.492588
Urumqi,2.492588
Beihai,2.362945
Chongqing,2.362945
Gannan,2.362945
Huangnan,2.362945
Baoji,2.362945
Chengdou,2.170000
Guangzhou,2.170000
Haikou,2.170000
Nagqu,2.170000
Ngawa,2.170000
Shizuishan,2.170000
Suzhou,2.170000
Tianjin,2.170000
Tianshui,2.170000
Wuhan,2.170000
Xiangxi,2.170000
Xianyang,2.170000
Xingtai,2.170000
Xishuangbanna,2.170000
Yushuzhou,2.170000
Hangzhou,1.937072
Yinchuan,1.930192
Changsha,1.863730
Zhuzhou,1.818896
Jiaxing,1.787426
Zhengzhou,1.785532
Dalian,1.770598
Wuwei,1.764921
Wuxi,1.758613
Hong Kong,1.754868
Shamen,1.734784
Zhuhai,1.708457
Jinchang,1.705615
Changzhou,1.704138
Ningbo,1.703220
Shenzhen,1.696878
Nyingchi,1.696570
Jinan,1.673119
Garze,1.645864
Kunming,1.645864
Nanning,1.632598
Zhoushan,1.624561
Bangbu,1.613691
Zhongwei,1.613691
Nantong,1.610586
Shannan,1.610527
Dingxi,1.595033
Luoyang,1.595033
Huzhou,1.575504
Hefei,1.574023
Langfang,1.574023
Shijiazhuang,1.574023
Taiyuan,1.574023
Xuzhou,1.574023
Sanya,1.571686
Qingdao,1.563445
Zhangjiajie,1.562820
Weinan,1.561886
Shaoxing,1.551287
Mianyang,1.549877
Alxa,1.539782
Linxia,1.531831
Yangzhou,1.531418
Taipei,1.525282
Baoding,1.524662
Baiyin,1.521315
Ngari,1.521315
Ordos,1.521315
Sanmenxia,1.521315
Shenyang,1.521315
Qinhuangdao,1.519667
Turpan,1.508030
Foshan,1.505614
Jiangmen,1.495400
Changji,1.493653
Zhenjiang,1.488380
Datong,1.486009
Lijiang,1.486009
Shangqiu,1.486009
Guiyang,1.486009
Yulin,1.486009
Dongguan,1.478269
Hohhot,1.476726
Huangshan,1.475205
Huzhou,1.475075
Alty,1.471671
Wenzhou,1.469001
Yan'an,1.467560
Chuzhou,1.458858
Tangshan,1.458114
Harbin,1.453875
Taizhou,1.445255
Macau,1.441382
Ili(Yili),1.440298
Qamdo,1.439903
Jieyang,1.438942
Jinzhou,1.438942
Nanchang,1.438942
Pingliang,1.438942
Fuzhou,1.438942
Tai'an,1.438942
Taoyuan,1.438942
Xinxiang,1.438942
Xiuzhou,1.438942
Zhangjiakou,1.438942
Zigong,1.438942
Guilin,1.430388
Chengde,1.423824
Kumul(Hami),1.422736
Taizhou,1.420257
Changchun,1.417817
Bayingolin,1.413469
Handan,1.410165
Yancheng,1.402016
Pu'er,1.390744
Qionghai,1.389975
Hanzhong,1.388184
Keramay,1.384981
Kashgar,1.374717
Fangchenggang,1.369730
Leshan,1.368651
