city,distance
Shanghai,4.995158
Sanya,4.692800
Beijing,3.914853
Qionghai,3.866861
Guangzhou,3.545639
Wanning,3.195691
Wenchang,3.108350
Shenzhen,2.941348
Danzhou,2.805528
Zhanjiang,2.773546
Wuhan,2.703869
Chengdou,2.648243
Chengmai,2.642353
Hangzhou,2.642353
Chongqing,2.592692
Lingshui,2.586133
Changsha,2.579488
Dingan,2.579488
Nanjing,2.559006
Shamen,2.559006
Hong Kong,2.537634
Nanning,2.537634
Kunming,2.491796
Tianjin,2.475459
Weinan,2.475459
Ledong,2.431821
Nanchang,2.403388
Zhuhai,2.403388
Zhengzhou,2.383319
Xi'an,2.372911
Suzhou,2.358078
Guilin,2.316441
Fuzhou,2.278186
Baoting,2.250332
Beihai,2.220165
Dongfang,2.204061
Changjiang,2.204061
Foshan,2.169400
Ningbo,2.169400
Wuzhishan,2.169400
Qingdao,2.109487
Urumqi,2.109487
Guiyang,2.086711
Harbin,2.062099
Wenzhou,2.062099
Jiaxing,2.053507
Hefei,2.035264
Hohhot,2.035264
Wuxi,2.015568
Baotou,2.005673
Dongguan,2.005673
Shenyang,2.005673
Jinan,1.972565
Taipei,1.972565
Changzhou,1.944334
Dalian,1.934791
Liuzhou,1.934791
Macau,1.934791
Meishan,1.934791
Qiongzhong,1.934791
Zhaoqing,1.934791
Zhoushan,1.934791
Jinhua,1.890482
Lanzhou,1.890482
Luoyang,1.890482
Shijiazhuang,1.890482
Siping,1.890482
Taoyuan,1.890482
Changchun,1.890482
Baoding,1.836268
Huangshan,1.836268
Jieyang,1.836268
Leshan,1.836268
Lijiang,1.836268
Nantong,1.836268
Ordos,1.836268
Shaoguan,1.836268
Weihai,1.836268
Chuzhou,1.836268
Zhangzhou,1.836268
Zhuzhou,1.836268
Huzhou,1.778646
Hengyang,1.764931
Huizhou,1.764931
Hulunbuir,1.764931
Jiangmen,1.764931
Jiujiang,1.764931
Jiuquan,1.764931
Baoshan,1.764931
Luzhou,1.764931
Maoming,1.764931
Mianyang,1.764931
Chaozhou,1.764931
Pingdingshan,1.764931
Qianxinan,1.764931
Qingyuan,1.764931
Quzhou,1.764931
Shantou,1.764931
Shanwei,1.764931
Taiyuan,1.764931
Taizhou,1.764931
Weicu,1.764931
Wuhai,1.764931
Xianyang,1.764931
Xinxiang,1.764931
Xuzhou,1.764931
Ya'an,1.764931
Yantai,1.764931
Yinchuan,1.764931
Yunfu,1.764931
Dali,1.764931
Zigong,1.764931
Shaoxing,1.747842
Yangzhou,1.722660
Langfang,1.703873
Zhenjiang,1.668392
Qinhuangdao,1.657930
Chenzhou,1.655018
Jian,1.655018
Guyuan,1.655018
Jiaozuo,1.655018
Jiayuguan,1.655018
Jilin,1.655018
Baicheng,1.655018
Jincheng,1.655018
Jingdezhen,1.655018
Diqing,1.655018
Haibei,1.655018
Changzhi,1.655018
Linfen,1.655018
Linxia,1.655018
Mudanjiang,1.655018
Nanchong,1.655018
Ngawa,1.655018
Ningde,1.655018
Hebi,1.655018
Pu'er,1.655018
Puyang,1.655018
Qiandongnan,1.655018
Quanzhou,1.655018
Qujing,1.655018
Hegang,1.655018
Sansha,1.655018
Shannan,1.655018
Ganzhou,1.655018
Suining,1.655018
Tai'an,1.655018
Taizhou,1.655018
Heyuan,1.655018
Tongliao,1.655018
Turpan,1.655018
Xiangtan,1.655018
Xiangxi,1.655018
Xiangyang,1.655018
Xiaogan,1.655018
Xining,1.655018
Xinzhou,1.655018
Honghe,1.655018
