city,distance
Changchun,4.550075
Beijing,4.273148
Hinggan,4.005818
Jilin,4.005818
Songyuan,3.884923
Shanghai,3.524080
Qiqihar,3.436296
Shenyang,3.436296
Hulunbuir,3.111477
Tianjin,3.111477
Luohe,3.000589
Harbin,2.967287
Chengde,2.785364
Dandong,2.785364
Daqing,2.785364
Hohhot,2.785364
Siping,2.785364
Haikou,2.521125
Hangzhou,2.521125
Nanjing,2.521125
Nantong,2.521125
Ngawa,2.521125
Qinhuangdao,2.521125
Suihua,2.521125
Tangshan,2.521125
Tongliao,2.521125
Ulanqab,2.521125
Yanbian,2.521125
Zhenjiang,2.521125
Suzhou,1.969890
Chengdou,1.804489
Guangzhou,1.795346
Daxinganling,1.780841
Hong Kong,1.780553
Langfang,1.768408
Jiaxing,1.752726
Baishan,1.748318
Wuhan,1.727790
Tonghua,1.726909
Xi'an,1.726175
Qingdao,1.726028
Baoding,1.725363
Wuxi,1.725012
Jinan,1.723691
Shijiazhuang,1.720644
Shenzhen,1.707601
Shamen,1.702079
Fushun,1.696884
Chifeng,1.682262
Anshan,1.680248
Changzhou,1.672568
Ningbo,1.671683
Taiyuan,1.658733
Heihe,1.657551
Xilingol,1.654710
Sanya,1.640041
Chongqing,1.634424
Datong,1.632034
Tieling,1.631223
Liaoyuan,1.626658
Mudanjiang,1.626658
Zhengzhou,1.625351
Baotou,1.619850
Jinzhou,1.613840
Zhangjiakou,1.612741
Liaoyang,1.608727
Ordos,1.607520
Changsha,1.603284
Benxi,1.601300
Yingkou,1.600179
Zhoushan,1.595846
Kunming,1.587824
Taipei,1.577301
Yangzhou,1.574261
Huzhou,1.548482
Hefei,1.543577
Panjin,1.542852
Huludao,1.528870
Jiamusi,1.528870
Qionghai,1.526121
Nanchang,1.525240
Shaoxing,1.525082
Yantai,1.524652
Puyang,1.521918
Urumqi,1.519254
Cangzhou,1.515670
Shuangyashan,1.506086
Guiyang,1.505846
Lanzhou,1.505310
Fuzhou,1.498585
Guilin,1.493729
Tai'an,1.491681
Jinhua,1.485363
Lijiang,1.479704
Taoyuan,1.472136
Yinchuan,1.470264
Nanning,1.469233
Zhuhai,1.456403
Huangshan,1.451489
Lhasa,1.445771
Taizhou,1.445699
Ganzhou,1.445699
Fuxin,1.445699
Wenzhou,1.445482
Jinzhong,1.445155
Gannan,1.442236
Xuzhou,1.442033
Xining,1.440763
Luoyang,1.439266
Dezhou,1.436001
Weihai,1.427350
Jining,1.424255
Taizhou,1.422484
Chaoyang,1.419215
Macau,1.418732
Weifang,1.418591
Xinzhou,1.417580
Wanning,1.409305
Yichun,1.405183
Handan,1.399924
Zibo,1.398163
Bayannur,1.398125
Wenchang,1.392055
Nanyang,1.388845
Hengshui,1.382425
Yancheng,1.380577
Jiujiang,1.377981
Nyingchi,1.369850
Xingtai,1.365517
Yichang,1.364742
Dongying,1.363176
Mianyang,1.362742
Zaozhuang,1.361189
Zhangjiajie,1.361189
Linyi,1.356381
Jiaozuo,1.350717
Xinxiang,1.350278
Anyang,1.348951
Shangrao,1.347128
Foshan,1.344413
Dali,1.343483
Jixi,1.341702
Kaifeng,1.340649
Quanzhou,1.337251
Lianyungang,1.336579
Baoji,1.336261
Xiuzhou,1.333947
Bangbu,1.330133
Danzhou,1.327867
Huai'an,1.325853
Garze,1.322666
Diqing,1.321969
Dongguan,1.321403
Wuhai,1.321289
Zhanjiang,1.320659
Wuhu,1.320604
Leshan,1.316642
Xuancheng,1.313785
Yan'an,1.313765
Nanping,1.312541
Xiangyang,1.308147
Binzhou,1.302896
Hegang,1.302701
Kaohsiung,1.301542
Yangquan,1.300171
Qitaihe,1.297291
Liaocheng,1.296664
Taichung,1.295897
Alxa,1.295491
Liuzhou,1.290800
Chengmai,1.290158
Jian,1.289281
Beihai,1.286177
Jiuquan,1.286177
Chizhou,1.281646
Ma'anshan,1.278082
Xiangxi,1.277985
Xinyang,1.277985
Rizhao,1.277129
Anqing,1.276727
Lingshui,1.276608
New Taipei,1.276265
Zhongshan,1.275395
Pu'er,1.275194
Shaoguan,1.275194
Yibin,1.275194
Yulin,1.275194
Dingan,1.274986
Changzhi,1.270009
Chuzhou,1.267206
Yuncheng,1.267206
Quzhou,1.265534
Xianyang,1.265293
Jingdezhen,1.264323
Xiangtan,1.263448
Shuozhou,1.262353
Lishui,1.259743
Heze,1.258295
Neijiang,1.254490
Meizhou,1.249643
Changde,1.249643
Weinan,1.249042
Yueyang,1.248506
Yingtan,1.248275
Qamdo,1.241828
Wuzhou,1.241828
Jiayuguan,1.241828
Jieyang,1.241828
Ankang,1.241828
Zhongwei,1.241828
Zhoukou,1.241828
Lvliang,1.241392
Ili(Yili),1.240154
Huizhou,1.240154
Jingzhou,1.238899
Ledong,1.237834
Linfen,1.236341
Liangshanzhou,1.235643
Baise,1.235643
Baoshan,1.233712
Shangqiu,1.232370
Zhangzhou,1.232370
Luohe,1.231008
Xuchang,1.231008
Xishuangbanna,1.228226
Zhuzhou,1.228226
Qiandongnan,1.223892
Fuyang,1.223892
Yichun,1.222401
Deyang,1.219348
Pingdong,1.216190
Zunyi,1.216190
Qingyang,1.213013
Huanggang,1.212921
Nanchong,1.212921
Ningde,1.210588
Pingdingshan,1.209531
Sanmenxia,1.207788
Keramay,1.206011
Dehong,1.204199
Hezhou,1.204199
Bozhou,1.202349
Ya'an,1.202349
Shantou,1.200461
Shiyan,1.200461
Nantou,1.200461
Ngari,1.199379
Hualien,1.198533
Hebi,1.198533
Yiyang,1.197907
Pingxiang,1.196561
Anshun,1.196561
Xiaogan,1.194546
Loudi,1.194546
Linxia,1.189339
Baoting,1.189022
Sanming,1.187595
Jiyuan,1.186390
Suining,1.186390
Chiayi,1.186390
Xianning,1.186390
Jiangmen,1.186390
Guangyuan,1.186390
Qiannan,1.186390
Yongzhou,1.185992
Zhaoqing,1.183716
Luzhou,1.181380
Longyan,1.181380
Jincheng,1.181380
Hanzhong,1.181380
Huainan,1.178980
Lu'an,1.178683
Laiwu,1.176511
Hengyang,1.176511
Tainan,1.176511
Changjiang,1.175978
Dongfang,1.175978
Qingyuan,1.175908
Huangshi,1.171349
Tongling,1.170438
Xiuqian,1.170117
Taidong,1.168647
Wuzhishan,1.166038
Huaihua,1.165855
Weicu,1.162968
Dazhou,1.162968
Turpan,1.162968
Bayingolin,1.162968
Zhumadian,1.162968
Keelung,1.159979
Tianshui,1.156878
Alty,1.156878
Honghe,1.153658
Enshi,1.153658
Kumul(Hami),1.153658
Shizuishan,1.147588
Yuxi,1.146627
Haixi,1.142550
Huaibei,1.139339
Hsinchu,1.139339
Jingmen,1.139178
Changji,1.135325
Qinzhou,1.135325
Longnan,1.134143
Putian,1.131099
Haibei,1.131099
Yilan,1.131099
Chaozhou,1.131099
Meishan,1.131099
Xinyu,1.130993
Wuzhong,1.127382
Zhangye,1.127382
Qujing,1.126634
Golog,1.124895
Zigong,1.121900
Qianxinan,1.116859
Chongzuo,1.116859
Yunlin,1.113663
Baiyin,1.111465
Kashgar,1.111465
Bijie,1.111465
Shannan,1.111465
Guang'an,1.111465
Panzhihua,1.105660
Fuzhou,1.103274
Chenzhou,1.099371
Heyuan,1.099371
Changhua,1.098845
Qiongzhong,1.094691
Guigang,1.092501
Jinchang,1.092501
Shaoyang,1.092501
Bazhong,1.091125
Ziyang,1.091125
Yangjiang,1.084922
Ezhou,1.084922
Huangnan,1.084922
Shangluo,1.084922
Nagqu,1.076457
Maoming,1.076457
Hotan,1.076457
Miaoli,1.076457
Fangchenggang,1.076457
Penghu,1.072361
Sansha,1.072361
Suizhou,1.066846
Pingliang,1.066846
Tongren,1.066846
Hechi,1.055699
Shanwei,1.055699
Wuwei,1.055699
Yulin,1.055214
Haidong,1.055214
Kinmen,1.054331
Tongchuan,1.045444
Yunfu,1.045444
Aksu,1.042368
Guyuan,1.042368
Zhaotong,1.042368
Bortala,1.042368
Tacheng,1.030727
Lincang,1.025672
Dingxi,1.025672
Yushuzhou,1.025672
Wenshan,1.025672
Liupanshui,1.005420
Nujiang,1.003027
Laibin,0.969191
Kezilsu,0.876406
