city,distance
Xining,5.362966
Shanghai,4.221380
Lhasa,4.177993
Nagqu,4.087783
Lanzhou,3.596249
Jiuquan,3.443942
Xi'an,3.328374
Haibei,3.106485
Nanning,2.928211
Garze,2.907664
Urumqi,2.907664
Beijing,2.768500
Nanjing,2.548153
Xuzhou,2.548153
Tianshui,2.462543
Chuzhou,2.412821
Zhengzhou,2.412821
Bangbu,2.356544
Bayingolin,2.291140
Chengdou,2.291140
Jiayuguan,2.291140
Nyingchi,2.291140
Baoji,2.291140
Dingxi,2.211991
Hefei,2.211991
Suzhou,2.211991
Changzhou,2.109292
Luoyang,2.109292
Sanmenxia,2.109292
Xiuzhou,2.109292
Yushuzhou,2.109292
Zhangye,2.109292
Hangzhou,2.081396
Shannan,2.013273
Dalian,1.954188
Gannan,1.954188
Golog,1.954188
Guangyuan,1.954188
Hohhot,1.954188
Jiujiang,1.954188
Ngawa,1.954188
Pingxiang,1.954188
Qionghai,1.954188
Shenyang,1.954188
Taiyuan,1.954188
Wuwei,1.954188
Wuxi,1.954188
Yinchuan,1.954188
Jiaxing,1.909609
Chongqing,1.882023
Hong Kong,1.872494
Shamen,1.849645
Haidong,1.841137
Huangnan,1.837996
Ningbo,1.813806
Ya'an,1.791967
Baoshan,1.764931
Xianyang,1.761300
Changsha,1.759095
Qamdo,1.753524
Guangzhou,1.750743
Wuhan,1.729867
Zhoushan,1.724869
Zhuzhou,1.719101
Nantong,1.709123
Weinan,1.707924
Ngari,1.689474
Shenzhen,1.680364
Huzhou,1.669669
Sanya,1.665381
Qingdao,1.656131
Tianjin,1.651974
Turpan,1.650585
Shaoxing,1.642495
Changji,1.633377
Yangzhou,1.620239
Taipei,1.613372
Kunming,1.612269
Beihai,1.611514
Alty,1.607125
Liuzhou,1.598543
Jinhua,1.596517
Yan'an,1.595767
Chongzuo,1.594231
Jinan,1.588306
Guilin,1.587545
Linxia,1.580577
Zhenjiang,1.572141
Ili(Yili),1.569785
Diqing,1.566147
Huangshan,1.557450
Baiyin,1.553004
Wenzhou,1.550536
Qinzhou,1.536748
Zhongwei,1.534653
Taizhou,1.524105
Macau,1.519798
Baise,1.518501
Fuzhou,1.510867
Harbin,1.510794
Fangchenggang,1.508789
Keramay,1.504300
Hanzhong,1.502358
Langfang,1.498733
Shijiazhuang,1.498733
Taizhou,1.496331
Nanchang,1.493685
Kashgar,1.492200
Jinchang,1.483566
Alxa,1.483566
Mianyang,1.476826
Yancheng,1.476097
Ankang,1.475273
Changchun,1.462393
Lijiang,1.460379
Kaifeng,1.457030
Guigang,1.454592
Ordos,1.450870
Taoyuan,1.447974
Zhuhai,1.445444
Yulin,1.444088
Yulin,1.441678
Guiyang,1.439995
Zhongshan,1.438093
Shangrao,1.437923
Yantai,1.437800
Hezhou,1.434838
Haikou,1.434383
Shangluo,1.433514
Wuzhou,1.427168
Lianyungang,1.425911
Zhangjiajie,1.422435
Hechi,1.421401
Aksu,1.419418
Datong,1.418723
Shangqiu,1.418723
Jiangmen,1.418723
Leshan,1.415867
Dazhou,1.415391
Baoding,1.414877
Qinhuangdao,1.410575
Pingliang,1.409480
Wuhu,1.407744
Zaozhuang,1.400744
Xuancheng,1.399998
Laibin,1.398193
Tongchuan,1.387168
Xinxiang,1.384508
Quanzhou,1.383652
Jiaozuo,1.377237
Longnan,1.376445
Jining,1.376120
Jinzhou,1.375761
Tai'an,1.375761
Jieyang,1.375761
Zhangjiakou,1.375761
Zigong,1.375761
Huai'an,1.364225
Nanping,1.364115
Wanning,1.363997
Chizhou,1.363561
Tacheng,1.362143
Shizuishan,1.358994
Dongguan,1.358107
Tangshan,1.357388
Hotan,1.352788
Huainan,1.346990
Qingyang,1.345737
Quzhou,1.345338
Xiuqian,1.345139
Nujiang,1.343820
Bortala,1.342614
Weihai,1.340703
Jinzhong,1.340593
Lishui,1.338795
Chengde,1.327623
Yuncheng,1.327534
Yichang,1.327077
Yingtan,1.325850
Kaohsiung,1.324454
Deyang,1.321791
Liangshanzhou,1.317432
Lvliang,1.308046
Baotou,1.308046
Enshi,1.308046
Bayannur,1.308046
Anyang,1.308046
Panjin,1.308046
Puyang,1.308046
Hebi,1.308046
Linfen,1.308046
Shantou,1.308046
Binzhou,1.308046
Baishan,1.308046
Wuhai,1.308046
Dali,1.308046
Wuzhong,1.308046
Daqing,1.308046
Anshun,1.308046
Xiangxi,1.308046
Xianning,1.308046
Jincheng,1.308046
Yueyang,1.308046
Zhanjiang,1.308046
Zhaoqing,1.308046
Jiamusi,1.308046
Zibo,1.308046
Yichun,1.305186
Jingdezhen,1.304293
Ma'anshan,1.303351
Jian,1.302208
Anqing,1.301239
Foshan,1.298904
Huaibei,1.298444
Pingdingshan,1.294905
Xuchang,1.290853
Linyi,1.290058
Lu'an,1.288406
Ningde,1.283413
Shiyan,1.283094
Xiangyang,1.280875
Xingtai,1.277569
Xishuangbanna,1.277569
New Taipei,1.274834
Weifang,1.273079
Rizhao,1.272572
Cangzhou,1.270711
Jingzhou,1.259621
Yanbian,1.259287
Nanyang,1.254794
Xinzhou,1.254407
Xilingol,1.251592
Taichung,1.251135
Xinyang,1.249150
Huizhou,1.245981
Luohe,1.244690
Dezhou,1.240448
Ulanqab,1.238704
Tongling,1.238377
Hulunbuir,1.236566
Ganzhou,1.236200
Fuyang,1.234942
Fushun,1.234528
Guyuan,1.232900
Nanchong,1.232155
Huludao,1.229460
Longyan,1.228161
Meishan,1.225924
Anshan,1.225700
Jilin,1.225323
Xinyu,1.222947
Dongying,1.221114
Nantou,1.218935
Zhumadian,1.217765
Shaoguan,1.217604
Pingdong,1.217604
Zhoukou,1.214236
Zhangzhou,1.213489
Neijiang,1.210596
Zunyi,1.209609
Yingkou,1.208642
Heze,1.207937
Guang'an,1.207937
Pu'er,1.207937
Suihua,1.207701
Baoshan,1.206699
Dandong,1.202619
Hengyang,1.202619
Liaocheng,1.202619
Qujing,1.202619
Ziyang,1.202619
Liupanshui,1.201376
Changde,1.198813
Suining,1.196715
Chifeng,1.195786
Hualien,1.195454
Handan,1.194306
Sanming,1.193726
Bazhong,1.192863
Putian,1.191369
Liaoyang,1.187197
Wenchang,1.186913
Tainan,1.186456
Bozhou,1.186186
Benxi,1.183148
Huanggang,1.180787
Qiqihar,1.178238
Yangquan,1.178238
Yunfu,1.178238
Shuozhou,1.178238
Mudanjiang,1.177133
Jiyuan,1.176624
Hengshui,1.175705
Yunlin,1.174998
Qiandongnan,1.173265
Tieling,1.172446
Qingyuan,1.168253
Yibin,1.166814
Chiayi,1.165074
Fuzhou,1.163439
Changzhi,1.160925
Luzhou,1.160699
Xiangtan,1.160070
Qiannan,1.159796
Huaihua,1.159796
Honghe,1.159796
Yongzhou,1.159796
Maoming,1.159796
Huangshi,1.155658
Weicu,1.149057
Yilan,1.142942
Kezilsu,1.139727
Xiaogan,1.139638
Panzhihua,1.138521
Hsinchu,1.136327
Sansha,1.129115
Penghu,1.129115
Fuxin,1.128218
Qianxinan,1.128218
Heyuan,1.128218
Zhaotong,1.128218
Tongliao,1.128218
Keelung,1.125247
Chaozhou,1.122557
Taidong,1.113880
Dingan,1.111712
Yiyang,1.109869
Kinmen,1.109144
Lingshui,1.106762
Yichun,1.105814
Meizhou,1.104092
Chenzhou,1.102330
Hinggan,1.101421
Ezhou,1.098677
Shaoyang,1.098677
Laiwu,1.096780
Yangjiang,1.096536
Loudi,1.094834
Chaoyang,1.092709
Siping,1.088867
Jingmen,1.088667
Chengmai,1.082838
Daxinganling,1.079537
Yuxi,1.076730
Dehong,1.069071
Miaoli,1.060052
Suizhou,1.056764
Tongren,1.053084
Wuzhishan,1.046673
Heihe,1.045825
Baoting,1.045825
Tonghua,1.039998
Jixi,1.037397
Lincang,1.032741
Liaoyuan,1.032741
Songyuan,1.032741
Changhua,1.027728
Wenshan,1.018039
Danzhou,1.016349
Shanwei,1.011758
Shuangyashan,1.009787
Baicheng,1.009787
Hegang,1.002449
Bijie,1.002449
Dongfang,0.972822
Qitaihe,0.972822
Ledong,0.958976
Qiongzhong,0.958976
Changjiang,0.906459
