city,distance
Beijing,5.080189
Shijiazhuang,4.428150
Shanghai,3.980233
Xingtai,3.845909
Anyang,3.598378
Zhengzhou,3.412029
Tianjin,3.128356
Xinxiang,3.128356
Baoding,3.055157
Taiyuan,2.752368
Wuhan,2.727659
Changsha,2.646295
Hengshui,2.646295
Xi'an,2.646295
Jinan,2.616212
Liaocheng,2.616212
Changzhi,2.584276
Guangzhou,2.550177
Cangzhou,2.473757
Chengdou,2.473757
Luoyang,2.473757
Langfang,2.430178
Ningbo,2.430178
Hebi,2.381742
Jining,2.381742
Shiyan,2.381742
Tai'an,2.381742
Jiujiang,2.326889
Nanjing,2.326889
Weinan,2.326889
Chongqing,2.263098
Jiaozuo,2.263098
Qinhuangdao,2.263098
Shamen,2.263098
Zibo,2.263098
Hangzhou,2.185842
Kaifeng,2.185842
Qingdao,2.185842
Xinyang,2.185842
Yichang,2.185842
Suzhou,2.104723
Datong,2.085502
Jilin,2.085502
Jinzhong,2.085502
Luohe,2.085502
Nanyang,2.085502
Pingdingshan,2.085502
Qinzhou,2.085502
Changchun,2.085502
Wuxi,2.085502
Xiangyang,2.085502
Xianning,2.085502
Xuzhou,2.085502
Yantai,2.085502
Yueyang,2.085502
Zhangjiakou,2.085502
Zhenjiang,2.085502
Zhumadian,2.085502
Guilin,1.933751
Hefei,1.933751
Hohhot,1.933751
Hong Kong,1.933751
Jincheng,1.933751
Lijiang,1.933751
Linyi,1.933751
Loudi,1.933751
Nanchang,1.933751
Nanning,1.933751
Nanping,1.933751
Nantong,1.933751
Puyang,1.933751
Qionghai,1.933751
Sanmenxia,1.933751
Sanya,1.933751
Shangqiu,1.933751
Shenyang,1.933751
Shenzhen,1.933751
Suining,1.933751
Weifang,1.933751
Dali,1.933751
Dalian,1.933751
Xiaogan,1.933751
Yangzhou,1.933751
Yinchuan,1.933751
Zhangjiajie,1.933751
Jiaxing,1.858669
Changzhou,1.768776
Tangshan,1.747195
Harbin,1.741112
Chengde,1.698190
Zhoushan,1.683200
Taipei,1.675553
Yangquan,1.659883
Huzhou,1.630594
Urumqi,1.630107
Shaoxing,1.604668
Guiyang,1.595145
Lanzhou,1.594544
Fuzhou,1.587000
Foshan,1.569438
Diqing,1.566147
Jinhua,1.560754
Taoyuan,1.557369
Xianyang,1.549902
Haikou,1.541666
Xinzhou,1.541327
Huludao,1.540827
Zhuhai,1.539772
Baotou,1.532401
Xuchang,1.530668
Lhasa,1.527893
Huangshan,1.523398
Hulunbuir,1.522301
Xining,1.522301
Dezhou,1.516986
Wenzhou,1.516782
Weihai,1.507335
Baoji,1.505281
Xiangxi,1.500076
Heze,1.496630
Ngawa,1.491556
Taizhou,1.491479
Zhuzhou,1.489537
Chifeng,1.488302
Macau,1.488302
Xiangtan,1.486602
Leshan,1.483546
Ordos,1.469116
Jinzhou,1.468084
Taizhou,1.464871
Yancheng,1.445474
Dandong,1.442349
Zaozhuang,1.440515
Dongguan,1.438757
Dongying,1.435947
Xilingol,1.435069
Hengyang,1.433671
Zhoukou,1.424113
Qiqihar,1.424058
Yan'an,1.420257
Changde,1.413188
Yulin,1.412677
Fushun,1.410442
Shangrao,1.408848
Jingzhou,1.407812
Quanzhou,1.407209
Jiyuan,1.407151
Daqing,1.406662
Anshan,1.405561
Lvliang,1.405041
Panjin,1.401631
Zhongwei,1.400827
Huanggang,1.400615
Bangbu,1.399329
Lianyungang,1.397315
Yanbian,1.396984
Huai'an,1.394593
Huangshi,1.390617
Diqing,1.390297
Yingkou,1.388408
Ulanqab,1.387133
Linfen,1.386290
Zhongshan,1.382352
Deyang,1.380588
Wuhu,1.379864
Fangchenggang,1.377328
Rizhao,1.373989
Xuancheng,1.372422
Binzhou,1.369217
Kaohsiung,1.367722
Mianyang,1.359728
Jiangmen,1.359111
Mudanjiang,1.357516
Liuzhou,1.355864
Shuozhou,1.355229
Yiyang,1.354249
Jian,1.354189
Wanning,1.354009
Jingdezhen,1.352421
Zhangzhou,1.351378
Jiuquan,1.350764
Beihai,1.350764
Hanzhong,1.345786
Ankang,1.341373
New Taipei,1.339837
Chizhou,1.337388
Chaoyang,1.331924
Chuzhou,1.329856
Yuncheng,1.329856
Ezhou,1.328305
Tongliao,1.327749
Qingyuan,1.326709
Garze,1.322671
Benxi,1.322301
Jingmen,1.320682
Quzhou,1.319854
Enshi,1.318058
Huizhou,1.317907
Jiamusi,1.317742
Ganzhou,1.315389
Ya'an,1.314051
Lishui,1.313556
Zhaoqing,1.312446
Meizhou,1.310527
Haibei,1.306443
Shaoyang,1.306443
Zhanjiang,1.306443
Dazhou,1.306443
Siping,1.304125
Anqing,1.304125
Taichung,1.302798
Bayannur,1.302798
Chenzhou,1.302248
Yingtan,1.301092
Huaihua,1.300925
Ili(Yili),1.300094
Suizhou,1.299561
Tieling,1.298715
Hinggan,1.298715
Baishan,1.297319
Shaoguan,1.296029
Jieyang,1.295904
Laiwu,1.293253
Baoshan,1.293016
Shangluo,1.290279
Weicu,1.290015
Xishuangbanna,1.286991
Yibin,1.285429
Nanchong,1.283095
Fuyang,1.282233
Qiandongnan,1.282233
Yichun,1.280598
Longyan,1.279798
Ma'anshan,1.279418
Fuxin,1.277246
Meishan,1.276339
Pingdong,1.273782
Zunyi,1.273782
Shizuishan,1.273219
Alty,1.272405
Xiuzhou,1.272405
Yongzhou,1.272405
Gannan,1.272005
Tianshui,1.271499
Keramay,1.262621
Hezhou,1.260635
Dehong,1.260635
Ningde,1.260200
Neijiang,1.259733
Shantou,1.258967
Liaoyang,1.258608
Bozhou,1.258608
Wuhai,1.256539
Nantou,1.256539
Tonghua,1.254426
Hualien,1.254426
Liangshanzhou,1.254092
Huaibei,1.253934
Tongchuan,1.252610
Anshun,1.252267
Pingxiang,1.252267
Daxinganling,1.250060
Chongzuo,1.245507
Nyingchi,1.240695
Yangjiang,1.239600
Lu'an,1.236628
Ziyang,1.236376
Guangyuan,1.235650
Luzhou,1.235650
Suihua,1.235650
Huainan,1.233024
Chiayi,1.233024
Tainan,1.230323
Zigong,1.227884
Jiayuguan,1.224680
Alxa,1.224680
Taidong,1.221726
Tongling,1.220254
Xiuqian,1.220254
Sanming,1.218814
Guang'an,1.216928
Wuzhong,1.216882
Turpan,1.215521
Bayingolin,1.215521
Keelung,1.212256
Songyuan,1.206267
Honghe,1.205354
Kumul(Hami),1.205354
Jixi,1.201696
Baise,1.198799
Baicheng,1.197883
Heyuan,1.196394
Yulin,1.193621
Hsinchu,1.189732
Yichun,1.189732
Haixi,1.186641
Changji,1.185356
Liaoyuan,1.183962
Putian,1.180750
Heihe,1.180750
Chaozhou,1.180750
Yilan,1.180750
Wenchang,1.179342
Shanwei,1.176978
Qujing,1.175885
Xinyu,1.174179
Maoming,1.166894
Fuzhou,1.166684
Changhua,1.166684
Linxia,1.166684
Jinchang,1.166684
Zhaotong,1.166684
Qianxinan,1.165241
Zhangye,1.165241
Dingxi,1.164831
Qingyang,1.163919
Bijie,1.159371
Shannan,1.159371
Kashgar,1.159371
Baiyin,1.159371
Guigang,1.158612
Yunlin,1.155512
Panzhihua,1.154192
Qamdo,1.153056
Shuangyashan,1.153056
Wuzhou,1.150007
Yuxi,1.146218
Qiannan,1.138752
Hechi,1.137455
Pingliang,1.137142
Yunfu,1.134207
Kinmen,1.132118
Huangnan,1.130520
Hegang,1.130520
Laibin,1.122545
Lingshui,1.121658
Miaoli,1.121331
Hotan,1.121331
Nagqu,1.121331
Bazhong,1.117937
Guyuan,1.115821
Tongren,1.115481
Penghu,1.111109
Sansha,1.111109
Pu'er,1.110906
Qitaihe,1.110906
Dingan,1.105068
Wuwei,1.101035
Baoting,1.098825
Longnan,1.098825
Liupanshui,1.087177
Aksu,1.084390
Bortala,1.084390
Chengmai,1.076534
Danzhou,1.069455
Wenshan,1.066332
Yushuzhou,1.066332
Dongfang,1.066332
Golog,1.066332
Lincang,1.066332
Haidong,1.066332
Nujiang,1.063434
Wuzhishan,1.040782
Ledong,1.018789
Ngari,1.008192
Tacheng,0.996339
Qiongzhong,0.954028
Kezilsu,0.938246
Changjiang,0.907147
