city,distance
Shanghai,6.651929
Jiaxing,3.738690
Beijing,3.329331
Shaoxing,3.136806
Ningbo,3.070647
Jinhua,3.037013
Huzhou,3.009880
Suzhou,2.943266
Nanjing,2.753249
Huangshan,2.627735
Wuxi,2.577308
Guangzhou,2.542574
Shamen,2.528884
Wenzhou,2.482721
Zhoushan,2.472761
Taizhou,2.472014
Hong Kong,2.403037
Shenzhen,2.361229
Wuhan,2.327457
Chengdou,2.308044
Changzhou,2.305826
Tianjin,2.269069
Xi'an,2.253418
Quzhou,2.246313
Shangrao,2.239732
Qingdao,2.196707
Lishui,2.160295
Changsha,2.156088
Fuzhou,2.136906
Jinan,2.132383
Chongqing,2.122203
Sanya,2.122203
Hefei,2.104806
Kunming,2.092645
Nanchang,2.092645
Lijiang,2.087433
Yangzhou,2.076734
Dalian,2.071240
Nantong,2.061088
Shenyang,2.059939
Zhengzhou,2.058785
Xuancheng,2.048190
Zhenjiang,1.992836
Lanzhou,1.989907
Taipei,1.977867
Harbin,1.948625
Taiyuan,1.905729
Changchun,1.888908
Guilin,1.877775
Yingtan,1.875485
Wuhu,1.870839
Xuzhou,1.870839
Guiyang,1.863696
Nanning,1.861266
Shijiazhuang,1.846133
Quanzhou,1.835466
Haikou,1.827126
Macau,1.827126
Urumqi,1.818467
Jiujiang,1.809458
Yancheng,1.800068
Jingdezhen,1.793575
Taizhou,1.793575
Taoyuan,1.769175
Yantai,1.765448
Zhuhai,1.761654
Nanping,1.757789
Ningde,1.757789
Jining,1.749836
Foshan,1.741563
Dongguan,1.737296
Chizhou,1.728482
Hohhot,1.728482
Huanggang,1.728482
Luoyang,1.728482
Meizhou,1.723925
Bangbu,1.719261
Kaohsiung,1.704565
Lhasa,1.699409
Tai'an,1.699409
Zhoushan,1.683200
Huai'an,1.683050
Lianyungang,1.683050
Anqing,1.683050
Jian,1.677266
Xiangxi,1.677266
Zhuzhou,1.677266
Yinchuan,1.665130
Dali,1.665130
Diqing,1.630694
Weifang,1.630694
Yichang,1.630694
Yichun,1.622926
Zhongshan,1.622926
Zhangjiajie,1.622158
Ma'anshan,1.614794
Enshi,1.614794
Qinhuangdao,1.614794
Xiuqian,1.614794
Linyi,1.606258
Chuzhou,1.606258
Sanming,1.606258
Kaifeng,1.597269
Liuzhou,1.597269
