city,distance
Xi'an,6.291114
Ankang,3.867783
Guangyuan,3.535703
Chengdou,3.500334
Beijing,3.406360
Baoji,3.185632
Shanghai,3.049653
Mianyang,2.844641
Lanzhou,2.759139
Ngawa,2.759139
Chongqing,2.711305
Deyang,2.535876
Longnan,2.535876
Weinan,2.535876
Kunming,2.460298
Shangluo,2.460298
Wuhan,2.460298
Xianyang,2.460298
Yan'an,2.460298
Bazhong,2.369263
Hong Kong,2.369263
Lijiang,2.369263
Nanyang,2.369263
Shenzhen,2.369263
Zhengzhou,2.369263
Dingxi,2.251829
Guangzhou,2.251829
Hangzhou,2.251829
Jiayuguan,2.251829
Shamen,2.251829
Changzhou,2.075928
Harbin,2.075928
Hefei,2.075928
Jiaxing,2.075928
Jinan,2.075928
Jinzhong,2.075928
Luoyang,2.075928
Luzhou,2.075928
Nanjing,2.075928
Ningbo,2.075928
Shijiazhuang,2.075928
Suining,2.075928
Suzhou,2.075928
Taiyuan,2.075928
Tianjin,2.075928
Tongliao,2.075928
Urumqi,2.075928
Wuwei,2.075928
Wuxi,2.075928
Xiangyang,2.075928
Yangquan,2.075928
Yichun,2.075928
Yulin,2.075928
Zhangjiajie,2.075928
Dazhou,1.901193
Xining,1.881184
Lhasa,1.826220
Yinchuan,1.814225
Leshan,1.800166
Shiyan,1.787019
Sanmenxia,1.773731
Tianshui,1.753272
Qingdao,1.743845
Changsha,1.733960
Jiuquan,1.729406
Tongchuan,1.725921
Shenyang,1.694195
Dalian,1.692811
Nanchang,1.662753
Xuzhou,1.662753
Guiyang,1.656108
Shaoxing,1.651287
Yuncheng,1.634564
Guilin,1.630705
Yichang,1.630694
Sanya,1.628743
Nanchong,1.618659
Langfang,1.599925
Zhongwei,1.596278
Fuzhou,1.586454
Diqing,1.577148
Garze,1.576008
Haixi,1.573289
Baoding,1.564609
Qingyang,1.561929
Qinhuangdao,1.559350
Ya'an,1.556544
Ordos,1.555931
Nanning,1.552845
Hohhot,1.549696
Bangbu,1.549696
Linfen,1.546484
Dali,1.530510
Kaifeng,1.525668
Gannan,1.517102
Pingliang,1.514084
Yangzhou,1.510014
Haikou,1.505829
Meishan,1.503908
Xiangxi,1.503243
Changchun,1.497084
Tangshan,1.494609
Wenzhou,1.492506
Zhoushan,1.490821
Shangqiu,1.487778
Zhuhai,1.487778
Neijiang,1.480906
Nantong,1.479044
Jiaozuo,1.477826
Liangshanzhou,1.473116
Zhangjiakou,1.471429
Macau,1.467118
Chengde,1.458602
Zhangye,1.457969
Yantai,1.455516
Foshan,1.451116
Huzhou,1.449406
Xinyang,1.449325
Ziyang,1.448731
Guang'an,1.442891
Jinhua,1.442836
Pingdingshan,1.438276
Zigong,1.437086
Weifang,1.436017
Xinxiang,1.436017
Dongguan,1.428828
Anyang,1.428828
Baotou,1.428828
Weicu,1.427312
Zhongshan,1.422764
Huangshan,1.421222
Guyuan,1.421222
Xinzhou,1.421222
Yichang,1.421222
Yibin,1.415914
Handan,1.413143
Nagqu,1.413143
Xingtai,1.413143
Zhenjiang,1.413143
Liupanshui,1.408800
Anqing,1.404518
Taoyuan,1.404518
Jining,1.404518
Datong,1.395261
Linyi,1.395261
Linxia,1.394613
Cangzhou,1.390196
Lvliang,1.385261
Jilin,1.385261
Tai'an,1.385261
Taizhou,1.385261
Heze,1.385261
Jincheng,1.385261
Bayingolin,1.385261
Luohe,1.374371
Nyingchi,1.374371
Weihai,1.374371
Wuhu,1.374371
Baiyin,1.373102
Xianning,1.369750
Xishuangbanna,1.367467
Lianyungang,1.362399
Jiyuan,1.362399
Changde,1.362399
Shizuishan,1.362399
Jiujiang,1.362399
Baoshan,1.360047
Yuxi,1.359609
Hebi,1.350465
Huaihua,1.350465
Hengshui,1.350465
Shaoguan,1.350465
Yueyang,1.350465
Zunyi,1.350465
Jinchang,1.349411
Mudanjiang,1.349075
Huai'an,1.349075
Chuzhou,1.349075
Wuzhong,1.349075
Jian,1.349075
Huangshi,1.349075
Haibei,1.349075
Daqing,1.349075
Anshan,1.349075
Zhangzhou,1.347351
Quanzhou,1.346778
Turpan,1.344737
Huludao,1.340972
Taizhou,1.338438
Panzhihua,1.337165
Nanping,1.334015
Haidong,1.334015
Sansha,1.334015
Dezhou,1.334015
Binzhou,1.334015
Tieling,1.334015
Hulunbuir,1.334015
Xuchang,1.334015
Kumul(Hami),1.334015
Ma'anshan,1.334015
Zhuzhou,1.334015
Zibo,1.334015
Huizhou,1.334015
Changji,1.333294
Jingzhou,1.333045
Liaocheng,1.328563
Yanbian,1.328563
Xinyu,1.326837
Huanggang,1.326591
Honghe,1.323567
Qujing,1.323265
Zhumadian,1.321799
Xiaogan,1.319357
Chifeng,1.316631
Liuzhou,1.316631
Bayannur,1.316631
Yancheng,1.316631
Yiyang,1.316631
Jinzhou,1.316631
Alty,1.315750
Pingxiang,1.315339
Qionghai,1.295961
Rizhao,1.295961
Hsinchu,1.295961
Wuhai,1.295961
Xiuzhou,1.295961
Dandong,1.295961
Putian,1.295961
Fuyang,1.295961
New Taipei,1.295961
Ili(Yili),1.290616
Longyan,1.276186
Hinggan,1.274298
Shangrao,1.271514
Dongying,1.270406
Anshun,1.270252
Shantou,1.270252
Enshi,1.270252
Alxa,1.270252
Pingdong,1.270252
Lu'an,1.270252
Xiuqian,1.270252
Qingyuan,1.270252
Zaozhuang,1.270252
Changzhi,1.270252
Jiangmen,1.269472
Ezhou,1.261544
Xilingol,1.260151
Jingmen,1.254666
Qiqihar,1.251652
Keramay,1.246021
Suizhou,1.245399
Shannan,1.242339
Suihua,1.242107
Xuancheng,1.241768
Fushun,1.241121
Kashgar,1.237708
Dehong,1.237475
Taichung,1.235702
Fuzhou,1.235702
Fangchenggang,1.235702
Bozhou,1.235702
Ulanqab,1.235702
Kaohsiung,1.235702
Loudi,1.235702
Heyuan,1.235702
Xiangtan,1.235702
Hengyang,1.235702
Daxinganling,1.235702
Ningde,1.235702
Beihai,1.235702
Qiandongnan,1.235702
Huainan,1.235702
Qiannan,1.235702
Yushuzhou,1.235702
Hualien,1.235702
Zhanjiang,1.235702
Fuxin,1.235702
Panjin,1.234294
Pu'er,1.233225
Chizhou,1.232591
Yingtan,1.231857
Meizhou,1.230072
Zhaoqing,1.228667
Yingkou,1.224028
Tongren,1.214435
Siping,1.205366
Zhoukou,1.203105
Puyang,1.199502
Quzhou,1.199337
Wenshan,1.198551
Lishui,1.193379
Tacheng,1.180797
Aksu,1.180797
Wanning,1.180797
Keelung,1.180797
Shanwei,1.180797
Songyuan,1.180797
Laiwu,1.180797
Ganzhou,1.180797
Hotan,1.180797
Huangnan,1.180797
Qamdo,1.180797
Kezilsu,1.180797
Jingdezhen,1.180797
Yilan,1.180797
Sanming,1.180797
Tongling,1.180797
Yongzhou,1.180797
Danzhou,1.180797
Yulin,1.180797
Yunfu,1.180797
