city,distance
Shanghai,5.186846
Beijing,4.739395
Daqing,3.499655
Changchun,3.446179
Shenyang,3.360320
Mudanjiang,3.338902
Suihua,3.092421
Dalian,2.953033
Qiqihar,2.910775
Tianjin,2.812144
Hulunbuir,2.764613
Jiamusi,2.736472
Heihe,2.700785
Hangzhou,2.672448
Daxinganling,2.669208
Yichun,2.669208
Qingdao,2.652708
Guangzhou,2.599888
Nanjing,2.596168
Xi'an,2.523977
Qinhuangdao,2.515252
Shenzhen,2.473838
Yanbian,2.459157
Jixi,2.449096
Jilin,2.433563
Jinan,2.422892
Chengdou,2.411952
Suzhou,2.399947
Wuhan,2.346087
Siping,2.319216
Chongqing,2.312201
Sanya,2.312201
Qitaihe,2.305056
Zhengzhou,2.290356
Songyuan,2.282786
Anshan,2.267173
Taipei,2.259114
Hegang,2.250873
Hohhot,2.250873
Changsha,2.233807
Shijiazhuang,2.206572
Tieling,2.206572
Tangshan,2.197001
Kunming,2.187156
Taizhou,2.187156
Hong Kong,2.166566
Huludao,2.166566
Jinzhou,2.166566
Shamen,2.166566
Jiaxing,2.144618
Changzhou,2.144618
Hefei,2.108627
Yantai,2.095657
Ningbo,2.082118
Shuangyashan,2.082118
Wuxi,2.082118
Baishan,2.067947
Dandong,2.053072
Taiyuan,2.053072
Nanchang,2.020841
Weihai,2.020841
Fuzhou,2.003250
Urumqi,2.003250
Wenzhou,2.003250
Zhoushan,2.003250
Hinggan,1.964303
Macau,1.964303
Nanning,1.964303
Yingkou,1.964303
Fushun,1.942479
Haikou,1.942479
Weifang,1.942479
Xuzhou,1.942479
Bangbu,1.918649
Langfang,1.892330
Lanzhou,1.892330
Panjin,1.892330
Chifeng,1.892330
Tongliao,1.892330
Diqing,1.892330
Zhuhai,1.892330
Huzhou,1.862831
Jinhua,1.862831
Liaoyang,1.862831
Yangzhou,1.862831
Nantong,1.848424
Benxi,1.829106
Tai'an,1.829106
Yancheng,1.829106
Guiyang,1.829106
Yinchuan,1.829106
Dongguan,1.829106
Baoding,1.796732
Lijiang,1.789457
Ordos,1.789457
Ganzhou,1.789457
Shaoxing,1.789457
Zhenjiang,1.789457
Zhongshan,1.789457
Heze,1.740807
Huangshan,1.740807
Lhasa,1.740807
Guilin,1.740807
Linyi,1.740807
Nanping,1.740807
Baicheng,1.740807
Quanzhou,1.740807
Tonghua,1.740807
Fuxin,1.740807
Xiangyang,1.740807
Baotou,1.676565
