city,distance
Nanning,5.610221
Liuzhou,4.542917
Baise,4.323428
Guilin,3.652415
Shanghai,3.652415
Guiyang,3.211095
Chongzuo,3.138050
Beijing,2.967930
Beihai,2.864928
Guangzhou,2.864928
Qiannan,2.742233
Shenzhen,2.742233
Changsha,2.356787
Fangchenggang,2.356787
Foshan,2.356787
Guigang,2.356787
Hezhou,2.356787
Qiandongnan,2.356787
Tongren,2.356787
Wuzhou,2.356787
Xiangxi,2.356787
Zhengzhou,2.356787
Zhuzhou,2.356787
Qinzhou,2.051428
Suzhou,2.009356
Hangzhou,1.932932
Laibin,1.923158
Kunming,1.911926
Wuhan,1.892954
Yulin,1.889576
Chengdou,1.818776
Shamen,1.791881
Jiaxing,1.783900
Anshun,1.778868
Nanjing,1.756072
Wuxi,1.755200
Hong Kong,1.751469
Chongqing,1.745548
Haikou,1.735578
Tianjin,1.720978
Xi'an,1.714013
Changzhou,1.700933
Ningbo,1.700018
Zunyi,1.695651
Fuzhou,1.671714
Nanchang,1.666911
Zhuhai,1.666911
Zhangjiajie,1.657424
Jinhua,1.631181
Wenshan,1.631181
Taipei,1.629180
Haixi,1.623070
Zhoushan,1.621648
Nantong,1.607723
Sanya,1.572779
Zhanjiang,1.572779
Huzhou,1.572764
Huizhou,1.564160
Qingdao,1.560747
Huaihua,1.555444
Shenyang,1.555444
Shaoxing,1.548630
Dongguan,1.545382
Luoyang,1.536850
Qianxinan,1.536850
Qujing,1.536850
Changde,1.536850
Fuzhou,1.535359
Taiyuan,1.535074
Yangzhou,1.528830
Yongzhou,1.518556
Zhongshan,1.518556
Harbin,1.512099
Zhaoqing,1.512099
Hefei,1.499134
Langfang,1.496119
Hengyang,1.496069
Jiangmen,1.496069
Zhenjiang,1.485934
Lijiang,1.484900
Macau,1.484900
Quanzhou,1.484900
Dalian,1.479187
Huangshan,1.472803
Lishui,1.469439
Taoyuan,1.469439
Dali,1.469087
Wenzhou,1.466619
Baoding,1.465193
Jinan,1.463987
Shijiazhuang,1.461789
Qinhuangdao,1.460580
Hohhot,1.452833
Jilin,1.452833
Lingshui,1.452833
Baotou,1.452833
Weicu,1.452833
Xinyu,1.452833
Nanping,1.451245
Urumqi,1.451245
Xining,1.451245
Liupanshui,1.443804
Taizhou,1.442949
Kaifeng,1.436407
Bijie,1.433582
Honghe,1.430695
Lanzhou,1.430695
Maoming,1.430695
Taizhou,1.418030
Qingyuan,1.407135
Jingdezhen,1.406322
Shizuishan,1.406322
Changchun,1.406322
Tangshan,1.403631
Yancheng,1.399846
Yingtan,1.392446
Xiangtan,1.390637
Weifang,1.389729
Zhangjiakou,1.383168
Jieyang,1.376099
Lhasa,1.376099
Mianyang,1.376099
Ningde,1.376099
Pingxiang,1.376099
Dezhou,1.376099
Ganzhou,1.376099
Xinyang,1.376099
Yantai,1.376099
Yichun,1.376099
Shaoguan,1.372671
Chengde,1.371828
Xuzhou,1.369657
Xinxiang,1.365873
Shangrao,1.365468
Jiaozuo,1.358797
Yueyang,1.354997
Lianyungang,1.354632
Wuhu,1.338225
Kaohsiung,1.335642
Meishan,1.335642
Nanchong,1.335642
Shantou,1.335642
Ulanqab,1.335642
Enshi,1.335642
Xiangyang,1.335642
Xishuangbanna,1.335642
Yangjiang,1.335642
Yichang,1.335642
Yilan,1.335642
Yunlin,1.335642
Xuancheng,1.331223
Leshan,1.323120
Liaocheng,1.323120
Loudi,1.323120
Luohe,1.323120
Dongfang,1.323120
Bangbu,1.323120
Pu'er,1.323120
Deyang,1.323120
Huai'an,1.323120
Wanning,1.323120
Huangshi,1.323120
Xianyang,1.323120
Cangzhou,1.311149
Shaoyang,1.300392
Chizhou,1.298236
Chenzhou,1.294426
Ngawa,1.293607
Tai'an,1.293159
Anyang,1.289610
Datong,1.285942
Yinchuan,1.282645
Quzhou,1.281707
Jiujiang,1.281235
Pingdingshan,1.278590
Yunfu,1.278167
Weihai,1.277499
Xuchang,1.274640
Yiyang,1.274151
Laiwu,1.271727
Guangyuan,1.271727
Jinzhong,1.271727
Hengshui,1.271727
Neijiang,1.271727
New Taipei,1.271727
Ordos,1.271727
Fuzhou,1.271727
Binzhou,1.271727
Anqing,1.271727
Huludao,1.271727
Handan,1.271727
Jian,1.271727
Suining,1.271727
Suizhou,1.271727
Taichung,1.271727
Garze,1.271727
Hulunbuir,1.271727
Weinan,1.271727
Chuzhou,1.271727
Xingtai,1.271727
Dandong,1.271727
Ya'an,1.271727
Yan'an,1.271727
Baoji,1.271727
Zhangzhou,1.271727
Zhoukou,1.271727
Zibo,1.271727
Yibin,1.271440
Shangqiu,1.266685
Heyuan,1.261409
Jining,1.254148
Wuwei,1.254119
Ma'anshan,1.243541
Shanwei,1.239844
Nanyang,1.239730
Xinzhou,1.237098
Sanmenxia,1.234567
Diqing,1.231630
Chifeng,1.231529
Linyi,1.231434
Zaozhuang,1.225378
Meizhou,1.220394
Jinzhou,1.217653
Rizhao,1.215492
Jiuquan,1.205975
Chaozhou,1.203510
Yanbian,1.203367
Zhumadian,1.203325
Qionghai,1.197914
Luzhou,1.197603
Puyang,1.196296
Dongying,1.195462
Xilingol,1.194854
Lu'an,1.192700
Qiqihar,1.187210
Heze,1.184474
Tainan,1.184474
Hsinchu,1.184474
Fuyang,1.184474
Tongliao,1.184474
Xianning,1.184474
