city,distance
Jiamusi,5.377838
Harbin,5.057348
Beijing,3.640864
Shanghai,3.547243
Yichun,3.547243
Changchun,3.202164
Daqing,3.202164
Tianjin,3.202164
Chongqing,3.049653
Shuangyashan,3.049653
Hangzhou,2.857816
Hulunbuir,2.857816
Wuhan,2.857816
Haikou,2.580337
Heihe,2.580337
Kunming,2.580337
Shenyang,2.580337
Siping,2.580337
Suihua,2.580337
Mudanjiang,2.011135
Suzhou,1.977107
Qingdao,1.908690
Qitaihe,1.908690
Dalian,1.864395
Jilin,1.857001
Qiqihar,1.847462
Jixi,1.831734
Dezhou,1.819165
Chengdou,1.809209
Jiaxing,1.758436
Daxinganling,1.747106
Nanjing,1.731391
Wuxi,1.730543
Hong Kong,1.726917
Guangzhou,1.717139
Fuzhou,1.713621
Shamen,1.707464
Xi'an,1.683694
Qinhuangdao,1.679807
Changzhou,1.677767
Ningbo,1.676877
Sanya,1.664894
Shenzhen,1.661234
Yanbian,1.654601
Hinggan,1.651334
Shijiazhuang,1.651334
Zhengzhou,1.651334
Langfang,1.649836
Jinan,1.638104
Hohhot,1.615494
Baoding,1.612308
Lijiang,1.600675
Zhoushan,1.600579
Nantong,1.587012
Panjin,1.585194
Songyuan,1.572838
Anshan,1.565411
Taipei,1.561564
Dali,1.555585
Ganzhou,1.554727
Changsha,1.554727
Jinzhou,1.554727
Liaoyang,1.554727
Dandong,1.554727
Baotou,1.554727
Tangshan,1.554727
Tieling,1.554727
Urumqi,1.554727
Xining,1.554727
Xuzhou,1.554727
Taiyuan,1.553976
Huzhou,1.552938
Qionghai,1.547619
Shaoxing,1.529404
Taizhou,1.526842
Huludao,1.516779
Zhangjiakou,1.513539
Yangzhou,1.510089
Baishan,1.504912
Chengde,1.499971
Yichang,1.490982
Jinhua,1.489462
Tonghua,1.489022
Hefei,1.488152
Xianning,1.484731
Yantai,1.481680
Zhenjiang,1.468224
Weicu,1.466901
Ngawa,1.461185
Fushun,1.458043
Huangshan,1.455403
Cangzhou,1.453277
Tongliao,1.449873
Wenzhou,1.449364
Guiyang,1.445716
Nanchang,1.443886
Weihai,1.443886
Lhasa,1.435063
Huanggang,1.434155
Xiangyang,1.431398
Wanning,1.427618
Taizhou,1.426243
Xiaogan,1.425704
Huangshi,1.423674
Macau,1.422471
Lanzhou,1.418529
Nanning,1.414790
Yingkou,1.414790
Guang'an,1.412878
Guilin,1.411763
Wenchang,1.409919
Liaoyuan,1.408009
Dongguan,1.408009
Tai'an,1.406420
Xishuangbanna,1.403763
Weifang,1.403434
Bortala,1.398562
Datong,1.397888
Baoshan,1.395946
Yuxi,1.395484
Zunyi,1.394817
Bangbu,1.390952
Taoyuan,1.389033
Shiyan,1.388879
Chifeng,1.388705
Dazhou,1.387954
Yinchuan,1.387366
Benxi,1.386909
Yancheng,1.384118
Diqing,1.377067
Zhuhai,1.377067
Xilingol,1.367302
Suining,1.366238
Jinzhong,1.364987
Dezhou,1.363902
Luoyang,1.359732
Ezhou,1.358433
Honghe,1.357541
Qujing,1.357224
Luzhou,1.351542
Nanchong,1.350669
Shangrao,1.350499
Jingmen,1.350462
Yueyang,1.349634
Jining,1.346326
Jiujiang,1.345403
