city,distance
Harbin,6.117557
Qiqihar,4.058558
Beijing,3.613074
Daxinganling,3.613074
Shanghai,3.567908
Suihua,3.567908
Yichun,3.180647
Daqing,3.108965
Hulunbuir,2.719997
Mudanjiang,2.719997
Changzhou,2.566347
Guangzhou,2.566347
Hinggan,2.566347
Shenyang,2.566347
Yanbian,2.566347
Chengdou,2.340344
Dalian,2.340344
Hegang,2.340344
Hong Kong,2.340344
Jiamusi,2.340344
Jinan,2.340344
Nanjing,2.340344
Shijiazhuang,2.340344
Shuangyashan,2.340344
Tai'an,2.340344
Tianjin,2.340344
Xi'an,2.340344
Changchun,2.204389
Suzhou,1.983510
Hangzhou,1.909003
Qingdao,1.850354
Qinhuangdao,1.782409
Jiaxing,1.763500
Shenzhen,1.761512
Jixi,1.748931
Jilin,1.740995
Wuxi,1.735447
Shamen,1.712237
Wuhan,1.695761
Siping,1.681678
Ningbo,1.681481
Chongqing,1.677987
Sanya,1.677987
Qitaihe,1.674221
Zhengzhou,1.666452
Songyuan,1.662441
Anshan,1.654145
Taipei,1.649851
Hohhot,1.645451
Langfang,1.644106
Changsha,1.636313
Tieling,1.621651
Tangshan,1.616476
Kunming,1.611140
Taizhou,1.611140
Baishan,1.609052
Baoding,1.606835
Zhoushan,1.604773
Huludao,1.599939
Jinzhou,1.599939
Nantong,1.591135
Baicheng,1.577438
Foshan,1.575547
Hefei,1.568120
Panjin,1.562014
Yantai,1.560936
Huzhou,1.556886
Taiyuan,1.548891
Dongguan,1.540951
Dandong,1.537187
Shaoxing,1.533233
Nanchang,1.519047
Weihai,1.519047
Yangzhou,1.513821
Urumqi,1.509086
Wenzhou,1.509086
Fuzhou,1.509086
Zhangjiakou,1.508715
Chengde,1.495233
Jinhua,1.493093
Macau,1.486878
Nanning,1.486878
Yingkou,1.486878
Jining,1.476355
Haikou,1.474339
Fushun,1.474339
Weifang,1.474339
Xuzhou,1.474339
Zhenjiang,1.471752
Tongliao,1.467968
Bangbu,1.460570
Huangshan,1.458870
Lanzhou,1.445268
Diqing,1.445268
Chifeng,1.445268
Zhuhai,1.445268
Xianyang,1.439671
Lhasa,1.435063
Ngawa,1.431701
Taizhou,1.429572
Liaoyang,1.427997
Cangzhou,1.423432
Guilin,1.415025
Guiyang,1.414764
Benxi,1.408096
Yancheng,1.408096
Yinchuan,1.408096
Weinan,1.403810
Baoji,1.401092
Datong,1.393772
Lijiang,1.391665
Zhongshan,1.387089
Taoyuan,1.384968
Kaifeng,1.384480
Ordos,1.384480
Ganzhou,1.384480
Baotou,1.365187
Jiangmen,1.363691
Zibo,1.363382
Lhasa,1.361608
Jinzhong,1.361062
Xining,1.357166
Luoyang,1.355837
Linyi,1.355179
Fuxin,1.355179
Nanping,1.355179
Quanzhou,1.355179
Heze,1.355179
Tonghua,1.355179
Xiangyang,1.355179
Shangrao,1.353483
Dezhou,1.352940
Pu'er,1.352125
Shaoguan,1.352125
Xiangxi,1.352125
Yibin,1.352125
Yulin,1.352125
Liaoyuan,1.346411
Xilingol,1.343441
Lianyungang,1.342836
Xingtai,1.340251
Zhangjiajie,1.339752
Deyang,1.338020
Xinzhou,1.336575
Qingyuan,1.331073
Yan'an,1.327142
Wuhu,1.326711
Huizhou,1.322212
Handan,1.320868
Xuancheng,1.319830
Mianyang,1.318417
Zhaoqing,1.316716
Dali,1.315925
Ma'anshan,1.315925
Ningde,1.315925
Sanming,1.315925
Changzhi,1.315925
Huai'an,1.315925
Ulanqab,1.315925
Jieyang,1.315925
Hsinchu,1.315925
Yichang,1.315925
Zaozhuang,1.315925
Hengshui,1.305279
Jiujiang,1.301316
Dongying,1.288105
Chizhou,1.287398
Garze,1.283548
Laiwu,1.280950
Jiaozuo,1.276975
Xinxiang,1.276583
Ya'an,1.275430
Anyang,1.275396
Quzhou,1.271142
New Taipei,1.268068
Lishui,1.265299
Shantou,1.262895
Liaocheng,1.262556
Hanzhong,1.261892
Beihai,1.260779
Chuzhou,1.254690
