City,Province,Longitude,Latitude,Total
Aksu,Xinjiang,80.26061,41.16878,62025
Alty,Xinjiang,88.14125,47.84492,62544
Alxa,Inner Mongolia,105.729,38.85189,24759
Ankang,Shaanxi,109.029,32.68472,42885
Anqing,Anhui,117.0569,30.5249,45329
Anshan,Liaoning,122.9946,41.10855,56753
Anshun,Guizhou,105.9476,26.25307,38895
Anyang,Henan,114.1254,36.13146,50229
Baicheng,Jilin,122.839,45.61964,24310
Baise,Guangxi,106.6182,23.90233,34896
Baishan,Jilin,126.4236,41.93999,41757
Baiyin,Gansu,104.1376,36.54483,23482
Bangbu,Anhui,117.3897,32.91629,48342
Baoding,Hebei,115.4648,38.87389,57913
Baoji,Shaanxi,107.238,34.36198,53602
Baoshan,Yunnan,99.16147,25.11207,62131
Baoting,Hainan,109.7026,18.63913,10715
Baotou,Inner Mongolia,109.8403,40.65745,75428
Bayannur,Inner Mongolia,107.3877,40.74321,33904
Bayingolin,Xinjiang,86.14527,41.76413,69468
Bazhong,Sichuan,106.7475,31.8679,12732
Beihai,Guangxi,109.1199,21.48125,77280
Beijing,Beijing,116.4075,39.90403,208490
Benxi,Liaoning,123.7665,41.29418,42310
Bijie,Guizhou,105.2861,27.29691,9061
Binzhou,Shandong,117.9707,37.38199,33518
Bortala,Xinjiang,82.06616,44.90559,22487
Bozhou,Anhui,115.7787,33.84458,31437
Cangzhou,Hebei,116.8388,38.30448,49216
Changchun,Jilin,125.3235,43.81708,99789
Changde,Hunan,111.6985,29.03167,43809
Changhua,Taiwan,120.5333,24.06667,14305
Changji,Xinjiang,87.30823,44.01118,32718
Changjiang,Hainan,109.0541,19.26029,3230
Changsha,Hunan,112.9388,28.22821,52699
Changzhi,Shanxi,113.1163,36.19539,38613
Changzhou,Jiangsu,119.9745,31.81008,21892
Chaoyang,Liaoning,120.4504,41.57373,37749
Chaozhou,Guangdong,116.6226,23.65695,30991
Chengde,Hebei,117.9624,40.95407,59846
Chengdou,Sichuan,104.0649,30.6586,83187
Chengmai,Hainan,110.0068,19.73852,5356
Chenzhou,Hunan,113.0147,25.77051,30070
Chiayi,Taiwan,120.3975,23.45444,25973
Chifeng,Inner Mongolia,118.8869,42.25782,55558
Chizhou,Anhui,117.4916,30.6648,31414
Chongqing,Chongqing,106.5516,29.56301,69170
Chongzuo,Guangxi,107.3647,22.37653,28994
Chuzhou,Anhui,118.3171,32.30156,37101
Dali,Yunnan,100.2676,25.60649,80273
Dalian,Liaoning,121.6147,38.914,65005
Dandong,Liaoning,124.3547,40.0005,58406
Danzhou,Hainan,109.5808,19.52113,13759
Daqing,Heilongjiang,125.1046,46.59019,80261
Datong,Shanxi,113.3001,40.07682,76459
Daxinganling,Heilongjiang,124.7111,52.33521,48670
Dazhou,Sichuan,107.468,31.20957,33127
Dehong,Yunnan,98.5849,24.43335,43926
Deyang,Sichuan,104.398,31.12686,49216
Dezhou,Shandong,116.3575,37.43409,45005
Dingan,Hainan,110.3285,19.69737,5714
Dingxi,Gansu,104.6263,35.58062,15982
Diqing,Yunnan,99.70223,27.81888,67555
Dongfang,Hainan,108.6518,19.09536,5356
Dongguan,Guangdong,113.7518,23.02054,60457
Dongying,Shandong,118.6748,37.43475,54067
Enshi,Hubei,109.4882,30.27216,27600
Ezhou,Hubei,114.8948,30.39194,15147
Fangchenggang,Guangxi,108.3538,21.68686,18725
Foshan,Guangdong,113.1214,23.02155,53809
Fushun,Liaoning,123.9572,41.88087,32752
Fuxin,Liaoning,121.6703,42.02162,16476
Fuyang,Anhui,115.8142,32.89012,35901
Fuzhou,Fujian,119.2965,26.07451,50026
Fuzhou,Jiangxi,116.3582,27.94922,19118
Gannan,Gansu,102.9113,34.9833,21441
Ganzhou,Jiangxi,114.935,25.83183,55702
Garze,Sichuan,101.9623,30.04952,42437
Golog,Qinghai,100.245,34.47168,3658
Guang'an,Sichuan,106.6332,30.45596,26194
Guangyuan,Sichuan,105.8434,32.43544,37079
Guangzhou,Guangdong,113.2644,23.12916,125000
Guigang,Guangxi,109.5989,23.11153,9155
Guilin,Guangxi,110.2902,25.27357,78793
Guiyang,Guizhou,106.6301,26.64745,81381
Guyuan,Ningxia,106.2426,36.01586,8657
Haibei,Qinghai,100.9009,36.95427,24824
Haidong,Qinghai,102.1043,36.50222,15062
Haikou,Hainan,110.3289,20.03079,90734
Haixi,Qinghai,97.36975,37.37714,37568
Handan,Hebei,114.5391,36.6256,38131
Hangzhou,Zhejiang,120.1551,30.27409,134138
Hanzhong,Shaanxi,107.0233,33.06748,32714
Harbin,Heilongjiang,126.535,45.80378,120954
Hebi,Henan,114.2973,35.74723,12219
Hechi,Guangxi,108.0853,24.69293,6532
Hefei,Anhui,117.2273,31.82145,64998
Hegang,Heilongjiang,130.298,47.34992,12268
Heihe,Heilongjiang,127.5285,50.2453,22345
Hengshui,Hebei,115.6702,37.73892,31304
Hengyang,Hunan,112.572,26.89323,37009
Heyuan,Guangdong,114.7004,23.74354,19176
Heze,Shandong,115.4807,35.23375,26122
Hezhou,Guangxi,111.5667,24.40358,32172
Hinggan,Inner Mongolia,122.067,46.07756,33494
Hohhot,Inner Mongolia,111.7491,40.8423,80708
Hong Kong,Hong Kong,114.1095,22.39643,125485
Honghe,Yunnan,103.3748,23.36313,23705
Hotan,Xinjiang,79.92221,37.11416,25320
Hsinchu,Taiwan,120.9647,24.80395,11665
Huai'an,Jiangsu,119.0153,33.61036,38063
Huaibei,Anhui,116.7983,33.95585,15745
Huaihua,Hunan,109.9985,27.55498,31552
Huainan,Anhui,116.9999,32.62548,17665
Hualien,Taiwan,121.3542,23.7569,21517
Huanggang,Hubei,114.8723,30.45391,33158
Huangnan,Qinghai,102.0152,35.51955,5838
Huangshan,Anhui,118.3375,29.71468,49379
Huangshi,Hubei,115.0385,30.19965,28606
Huizhou,Guangdong,114.4162,23.11185,59235
Huludao,Liaoning,120.8369,40.71105,36653
Hulunbuir,Inner Mongolia,119.7657,49.21157,81380
Huzhou,Zhejiang,120.0868,30.89435,38520
Ili(Yili),Xinjiang,81.3241,43.91686,78198
Jiamusi,Heilongjiang,130.3189,46.79992,34281
Jian,Jiangxi,114.9929,27.11304,39641
Jiangmen,Guangdong,113.0819,22.57874,37912
Jiaozuo,Henan,113.2418,35.21589,40286
Jiaxing,Zhejiang,120.7585,30.75392,72320
Jiayuguan,Gansu,98.28915,39.77313,44875
Jieyang,Guangdong,116.3728,23.54999,35651
Jilin,Jilin,126.5496,43.83788,66433
Jinan,Shandong,117.1205,36.651,85688
Jinchang,Gansu,102.188,38.52009,13906
Jincheng,Shanxi,112.8518,35.4907,15771
Jingdezhen,Jiangxi,117.1784,29.26884,34874
Jingmen,Hubei,112.1993,31.03542,17622
Jingzhou,Hubei,112.2397,30.33517,32556
Jinhua,Zhejiang,119.6474,29.07906,76972
Jining,Shandong,116.5871,35.41492,45039
Jinzhong,Shanxi,112.7527,37.68702,46460
Jinzhou,Liaoning,121.127,41.09512,39865
Jiujiang,Jiangxi,116.0019,29.70508,51884
