index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369
0,-10,28,51,52,49,47,51,50,51,50,48,51,51,49,50,48,51,48,48,31,52,49,23,48,51,51,49,51,49,46,54,54,29,55,22,51,51,49,51,49,24,57,47,50,49,50,23,51,53,48,50,49,55,48,50,49,52,51,50,51,56,57,24,55,52,51,53,54,51,52,49,50,51,54,55,51,52,49,57,51,51,22,58,52,51,56,55,55,49,49,52,22,51,47,60,55,50,57,54,55,52,52,53,50,50,51,48,50,49,55,52,53,47,53,51,51,57,49,54,52,51,49,48,33,49,54,51,53,43,52,53,50,49,53,58,54,56,53,47,52,52,51,54,45,50,53,52,54,31,55,51,51,54,27,49,55,58,48,24,53,47,47,57,52,55,51,58,49,56,52,57,53,52,56,55,51,51,55,53,55,53,52,55,52,56,50,54,50,56,47,61,50,53,53,51,49,51,47,50,54,48,52,55,52,48,22,47,56,51,52,56,54,55,53,55,57,56,56,47,53,56,46,54,57,48,57,53,49,57,53,66,50,57,51,57,53,52,54,52,52,22,49,22,67,53,53,55,49,56,50,47,47,50,44,50,53,55,74,66,48,55,68,56,52,22,53,56,55,71,49,50,50,54,49,49,51,41,49,50,70,70,51,51,59,29,52,29,49,56,53,51,49,70,75,52,57,49,56,53,22,69,57,62,23,50,51,53,58,52,54,52,53,50,53,50,66,51,53,59,52,55,56,22,54,57,54,56,54,54,47,56,55,52,57,73,71,24,56,62,49,56,52,64,69,50,63,69,75,72,54,52,53,46,50,58,54,75,23,49,50,52,66,48,49,66,47,22,59,58,59
1,28,-10,51,52,52,49,52,23,49,52,48,51,52,50,51,44,51,49,51,47,52,49,24,49,52,51,48,52,50,46,51,52,43,55,50,48,51,49,51,44,24,55,53,50,49,50,23,48,52,49,50,49,55,48,50,47,53,51,49,51,53,54,48,55,49,48,53,50,52,50,52,52,52,53,53,51,52,51,57,52,51,22,55,50,49,56,53,53,49,52,51,22,51,48,53,55,52,57,48,50,53,52,51,49,48,47,22,51,54,56,49,55,50,55,49,53,57,52,48,51,52,48,48,29,50,51,50,54,43,52,51,51,50,53,46,51,55,55,48,53,51,51,49,27,51,56,54,51,49,54,38,53,58,51,48,52,59,49,25,53,48,46,45,54,48,52,53,48,48,53,53,58,48,55,54,49,53,52,56,56,53,52,50,53,56,22,56,52,55,53,56,51,51,52,54,23,49,52,22,52,50,57,51,51,48,48,52,57,51,44,51,48,56,53,56,57,54,55,54,53,57,49,57,58,23,54,50,51,58,54,92,51,58,55,53,57,54,46,54,53,47,22,22,55,46,57,53,51,52,51,47,58,46,22,48,61,61,75,67,53,55,68,58,61,39,49,53,56,73,52,50,52,54,54,23,51,42,51,56,70,71,67,58,59,30,58,31,54,57,55,52,61,76,75,50,57,50,57,56,45,85,58,62,24,51,51,54,52,54,60,56,62,25,61,62,69,56,54,60,61,58,67,50,55,59,52,52,55,61,49,55,56,52,58,73,72,52,56,50,58,57,52,64,69,63,63,70,71,72,61,51,54,43,22,58,54,75,23,47,51,67,67,48,49,67,61,50,57,58,59
2,47,47,-10,50,50,47,47,52,47,47,51,48,23,51,47,45,51,27,29,50,48,47,24,50,51,51,51,52,51,48,53,55,50,57,51,51,51,49,51,51,24,57,53,54,51,57,47,51,51,46,22,50,57,45,48,49,48,54,52,53,53,50,50,57,53,50,48,50,51,52,51,51,53,50,52,50,50,50,56,53,51,47,56,49,51,55,53,53,49,52,53,21,52,47,55,57,50,53,52,49,56,55,51,51,50,26,47,52,50,56,50,53,55,52,55,52,55,51,59,49,50,47,47,50,49,48,46,50,42,25,48,46,50,44,51,50,57,50,47,50,56,50,50,25,52,58,51,49,51,49,43,51,57,48,46,54,57,49,28,52,48,45,53,50,50,55,58,52,51,26,53,46,50,52,48,54,57,49,49,55,51,51,51,50,60,52,46,53,49,52,47,47,51,50,56,22,50,51,51,56,50,55,48,51,48,47,58,56,53,28,47,49,57,51,56,49,60,21,58,55,54,56,57,57,48,58,57,50,57,55,90,37,57,48,47,54,50,51,59,54,46,48,21,57,50,50,53,53,57,57,46,57,49,41,50,49,36,72,54,58,54,67,51,59,21,56,50,49,71,56,48,51,53,49,51,50,39,48,54,54,69,47,59,59,55,25,21,51,49,23,51,56,55,69,48,43,23,22,29,44,89,55,74,26,67,55,59,54,51,41,62,50,27,63,64,68,52,53,63,60,55,69,47,55,57,45,53,48,47,50,49,60,46,66,69,71,36,54,61,69,72,53,28,75,59,80,69,73,49,48,48,52,27,44,63,72,75,46,50,46,32,74,47,46,70,65,45,59,58,68
3,50,51,53,-10,51,53,54,51,54,50,52,55,27,26,32,50,55,52,49,50,51,48,26,47,55,54,49,55,50,23,29,56,50,58,28,51,52,53,54,52,29,53,52,54,52,54,30,54,56,49,53,50,53,48,49,51,39,51,51,54,57,53,50,51,51,51,52,50,55,49,52,54,47,25,57,53,51,53,60,55,55,25,56,51,27,60,49,49,50,52,51,25,38,49,54,58,27,58,51,27,55,54,57,55,51,50,49,54,53,54,51,54,28,57,54,52,60,53,56,50,51,52,51,48,50,51,51,52,46,54,50,51,26,54,52,51,55,51,51,51,53,51,51,48,55,59,52,50,52,50,46,55,58,54,48,53,54,51,28,57,52,50,51,51,51,48,61,26,57,55,57,58,51,56,48,52,56,56,50,56,51,51,52,56,58,49,54,53,50,29,52,50,53,50,31,26,49,56,52,56,31,52,50,52,28,51,54,60,53,53,51,49,59,51,55,59,48,57,56,55,59,56,54,57,25,57,55,53,54,54,92,46,61,53,51,54,51,31,54,59,48,25,25,45,51,51,52,52,56,26,25,50,49,25,27,34,55,59,55,53,59,60,52,56,25,59,27,50,58,54,24,28,53,53,51,24,26,30,60,54,62,49,63,54,51,61,22,59,54,50,51,33,61,81,50,58,28,53,52,47,82,55,58,33,56,29,31,28,33,52,62,56,27,54,54,54,55,51,51,53,54,53,50,59,54,59,51,60,54,51,53,53,52,54,75,57,48,62,53,54,54,29,28,57,51,61,53,73,75,56,30,52,61,54,55,57,75,29,51,25,71,73,48,47,71,55,52,56,63,28
4,48,50,53,51,-10,50,51,52,55,47,51,52,32,51,51,51,53,53,51,49,52,49,26,51,58,52,53,54,27,24,46,54,51,60,29,53,31,51,53,51,25,61,52,53,48,40,26,53,32,50,26,47,58,51,52,52,53,51,53,53,61,55,53,56,27,49,56,56,57,26,52,53,48,29,55,59,53,53,65,57,55,27,58,27,26,62,59,54,52,46,47,31,55,49,60,56,35,50,55,52,54,52,51,56,53,52,50,54,52,56,30,55,52,45,52,43,63,34,46,27,52,51,31,52,52,55,53,51,31,50,53,24,28,60,56,50,55,49,31,53,53,52,35,51,54,55,54,53,51,54,52,56,59,50,24,58,53,52,25,57,49,51,53,53,51,57,62,49,57,52,60,53,29,54,57,53,58,57,54,42,55,50,54,54,33,50,52,49,58,52,62,57,53,32,49,32,25,30,30,54,54,56,51,57,48,30,53,64,52,52,56,52,59,55,54,55,59,57,52,55,55,51,53,58,52,58,54,52,52,25,68,52,59,28,54,55,54,59,55,58,24,28,30,59,57,32,59,51,58,56,52,52,25,26,51,54,60,59,57,54,58,60,55,59,31,57,56,48,58,58,27,26,54,29,53,27,26,59,58,56,57,58,42,57,57,52,47,55,52,54,46,54,64,67,30,63,32,34,62,31,71,64,56,27,56,54,29,60,55,53,65,53,57,51,55,60,26,53,56,53,34,64,30,56,55,50,56,56,65,31,27,61,29,58,57,60,53,56,32,62,60,59,54,65,55,68,71,56,59,47,28,52,51,57,58,58,69,48,31,51,70,76,29,48,56,29,28,60,60,58
5,47,48,51,54,51,-10,52,52,50,53,49,52,49,29,49,49,52,50,50,47,54,47,29,44,55,49,56,53,49,32,50,53,50,57,25,51,51,47,51,49,24,53,54,51,47,52,24,51,49,52,33,45,53,50,28,49,50,51,52,49,58,57,52,53,54,49,55,52,49,24,43,50,50,52,55,52,54,53,58,54,53,24,58,24,53,59,53,52,53,52,51,49,53,29,52,59,26,56,49,52,50,56,53,50,50,27,24,57,49,57,53,53,55,54,56,52,53,53,52,54,34,51,50,50,50,51,52,50,50,47,53,31,29,58,62,49,58,50,26,52,50,35,52,51,55,53,50,55,50,58,47,55,60,52,51,60,60,52,51,57,48,22,55,28,54,38,60,50,55,53,57,51,53,57,55,55,55,54,54,52,54,53,56,53,27,50,53,55,56,53,54,53,46,25,51,27,51,52,49,57,50,57,54,55,24,49,55,61,53,48,42,55,58,54,56,56,58,56,54,56,57,56,57,61,29,56,53,32,56,50,67,50,54,24,56,54,53,56,54,56,22,24,27,56,48,54,56,24,58,56,49,56,38,24,28,54,56,63,59,57,57,57,57,63,43,56,57,53,62,59,50,27,51,49,31,50,30,53,49,60,62,52,60,61,57,57,48,54,56,29,59,26,58,76,49,58,26,26,61,48,69,63,64,25,53,49,59,60,56,60,66,57,46,59,60,64,60,54,64,63,56,58,27,55,61,55,48,56,66,49,31,60,52,60,59,76,46,38,53,58,64,54,66,71,65,65,74,77,73,62,53,60,73,54,60,55,75,48,27,52,72,78,50,49,73,53,49,59,59,60
6,49,50,49,53,50,50,-10,52,52,47,50,49,52,51,49,50,52,50,50,49,49,47,23,54,46,51,49,55,51,50,27,55,52,59,27,51,54,53,53,52,28,59,52,53,50,55,30,51,51,28,22,52,58,50,52,50,54,47,51,53,55,56,49,56,52,53,52,55,50,26,54,54,53,54,55,53,53,52,58,56,51,26,60,29,36,58,53,55,50,51,53,24,51,49,53,58,51,56,52,54,50,55,54,53,52,51,26,52,47,54,54,55,52,56,55,51,58,54,55,49,52,49,50,49,49,54,50,52,24,49,49,52,50,55,48,55,54,48,24,54,52,51,55,51,51,56,54,53,50,50,50,53,55,51,30,51,54,49,52,54,52,47,55,55,54,55,59,51,54,54,55,49,54,51,42,29,59,54,55,55,57,52,56,54,53,52,55,53,58,52,58,54,53,25,49,24,29,55,52,55,56,53,49,50,27,48,55,58,25,51,51,56,58,54,55,57,54,54,54,52,57,32,48,40,23,58,53,50,48,52,90,51,59,55,49,55,57,54,56,54,46,47,23,54,52,51,52,49,55,55,49,55,50,26,50,58,57,56,59,58,57,57,56,58,24,56,54,50,55,55,23,48,54,46,52,47,23,55,54,56,53,57,57,55,49,59,49,57,48,54,53,56,58,73,54,55,26,53,55,24,88,57,63,26,55,29,51,52,54,55,62,53,25,53,57,56,54,56,56,60,57,68,52,58,55,52,47,62,65,24,23,52,57,55,70,56,54,54,56,59,60,56,54,69,66,65,67,71,65,62,28,53,66,60,62,55,75,48,47,55,68,73,49,26,72,55,54,63,63,42
7,49,23,55,51,53,51,53,-10,54,53,51,54,30,31,51,53,54,52,48,50,54,51,30,47,57,53,58,52,53,25,52,54,52,58,27,51,53,49,54,29,26,55,52,53,52,52,26,55,52,51,28,51,55,50,30,50,56,54,54,33,59,55,51,58,25,50,52,53,57,51,50,55,54,52,55,56,53,54,60,55,54,25,58,26,25,62,51,56,54,54,39,27,54,48,42,56,29,50,50,53,55,53,54,56,51,29,25,55,52,60,52,52,52,55,54,29,61,52,52,53,53,51,53,43,51,54,52,36,48,54,52,51,32,59,55,54,55,55,53,52,52,27,53,50,55,50,35,51,51,60,52,57,59,56,24,53,58,30,27,59,50,49,48,52,50,57,60,24,60,54,59,59,51,55,49,55,56,57,52,57,43,33,52,54,57,25,52,55,57,51,58,54,55,52,55,29,54,56,28,56,55,59,51,52,50,27,54,62,52,29,52,52,62,52,55,57,55,60,54,44,60,52,54,62,29,64,54,29,61,54,68,48,56,54,54,55,30,53,55,59,23,25,27,56,52,56,54,52,62,56,52,55,26,45,33,53,57,63,62,59,60,64,57,55,27,59,32,59,60,62,51,33,54,55,46,51,30,59,46,53,64,60,61,53,53,54,49,53,54,53,52,54,61,67,52,57,29,55,59,28,70,59,65,29,27,27,30,28,56,56,67,42,26,37,54,71,32,59,60,57,58,52,31,55,55,51,51,57,71,52,53,62,28,56,54,77,51,59,56,59,54,28,54,72,57,66,75,54,59,56,27,56,66,45,56,57,69,34,28,53,72,69,26,50,57,55,55,61,61,58
8,47,45,47,51,53,46,50,51,-10,49,49,50,48,52,51,47,54,44,50,48,51,48,24,51,51,53,54,55,53,29,53,55,50,56,51,45,51,47,49,25,44,57,50,54,51,48,51,49,46,47,25,25,57,30,48,45,51,48,48,51,52,53,47,55,49,47,52,48,50,49,51,51,53,51,52,50,49,50,54,51,46,49,58,49,48,45,45,52,18,50,51,21,53,29,57,58,46,50,49,51,52,54,55,50,35,23,49,52,53,55,56,57,51,54,50,48,57,47,48,54,55,27,46,44,51,56,47,49,42,49,52,28,45,52,56,48,56,53,47,48,50,52,48,49,50,60,53,52,53,61,49,67,56,55,47,56,55,50,45,52,48,46,47,55,52,54,54,47,49,47,45,53,54,54,51,50,54,51,55,48,52,49,53,49,55,49,58,53,60,52,55,50,50,48,53,21,48,52,22,56,54,53,51,53,20,46,54,56,48,52,57,49,60,54,52,51,57,50,52,54,56,50,56,56,45,58,56,25,57,50,71,30,49,53,56,56,56,53,53,57,47,47,21,77,55,51,73,56,56,51,46,70,27,47,45,53,47,50,52,29,31,28,72,59,38,76,48,52,56,56,46,45,46,46,25,46,24,69,48,73,54,30,66,75,71,24,43,55,70,51,54,62,55,82,47,67,44,54,73,44,67,69,73,46,67,51,53,73,57,54,53,48,56,54,55,68,50,67,58,57,58,70,46,66,47,26,52,50,66,46,46,70,44,67,66,71,47,52,55,73,72,69,49,79,68,75,69,73,75,46,57,53,72,50,59,71,81,46,22,65,69,75,46,49,73,46,49,73,76,70
9,48,49,48,50,46,51,47,51,51,-10,52,48,47,51,48,48,51,22,49,49,48,29,22,52,53,52,55,54,52,47,26,57,51,58,26,51,50,51,50,50,26,57,54,52,51,55,27,32,51,27,22,51,46,49,52,49,51,49,51,52,54,55,49,56,51,53,54,55,30,27,45,53,47,51,49,52,55,52,58,50,53,27,51,29,49,58,54,54,47,50,47,23,54,49,56,39,50,55,53,54,53,50,47,53,51,22,47,54,47,57,55,48,49,56,56,57,57,53,55,51,51,49,49,47,53,52,51,55,44,49,51,20,48,54,58,53,58,58,23,52,54,52,52,51,50,58,52,50,51,62,49,69,59,50,29,59,56,48,52,54,50,48,51,54,54,56,59,48,56,54,54,58,55,58,53,30,55,57,50,63,56,24,54,55,53,48,53,51,57,55,57,53,50,25,56,23,32,51,50,58,55,52,48,55,45,47,60,55,50,52,53,50,59,57,58,59,49,55,24,58,56,56,55,52,46,59,55,45,52,52,75,51,58,59,30,54,54,56,50,56,43,24,23,76,56,49,55,52,59,56,48,51,49,44,48,55,73,74,58,67,56,69,53,67,39,76,52,45,71,58,48,23,53,51,49,48,41,59,56,60,63,56,63,61,68,58,44,57,28,51,51,57,57,49,46,57,25,47,76,45,55,72,55,46,54,54,57,59,52,52,61,47,52,54,65,25,52,55,64,67,44,67,47,57,63,55,51,54,47,43,45,53,47,48,69,72,55,53,48,52,65,56,67,52,64,56,71,74,60,61,57,52,65,54,28,27,74,45,50,43,67,72,47,44,71,49,46,56,61,29
