index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369
0,-1,-1,91,34,366,34,34,34,91,34,46,91,34,34,34,34,40,34,34,-1,81,322,-1,46,91,40,336,34,34,34,91,81,-1,81,-1,81,34,46,46,46,-1,242,366,46,46,366,-1,91,240,322,81,81,303,81,81,91,91,81,322,81,81,357,-1,81,205,81,91,205,91,205,366,366,366,240,81,91,158,322,242,322,322,-1,242,205,205,264,264,357,322,322,240,-1,205,62,303,357,62,242,303,322,34,158,366,322,240,205,81,205,336,303,240,240,366,240,158,336,242,62,240,158,240,322,91,-1,322,205,81,205,91,299,205,240,366,153,264,322,299,205,91,240,240,366,240,366,205,240,366,205,-1,303,357,264,205,-1,34,357,299,22,-1,299,40,322,242,240,366,205,242,205,242,240,242,299,240,357,357,205,322,240,205,205,240,205,19,240,322,1,299,322,240,366,242,205,357,158,205,22,205,366,34,357,284,336,205,264,40,-1,366,242,299,240,357,357,303,240,303,336,299,242,366,366,242,366,299,242,153,336,81,62,242,299,240,240,242,322,242,240,240,322,322,357,-1,62,-1,303,366,322,303,336,303,336,91,366,22,81,22,322,264,276,22,366,303,242,264,336,-1,303,123,303,22,336,46,62,242,62,62,158,22,284,336,303,22,322,336,303,-1,322,-1,322,303,366,336,366,240,46,158,357,22,322,153,-1,240,357,81,-1,34,34,336,357,322,322,336,336,322,336,366,34,366,357,357,366,322,322,-1,40,336,357,242,357,336,284,22,357,336,357,22,242,-1,357,242,153,357,34,303,81,366,81,242,362,46,366,336,22,366,1,81,81,46,-1,62,62,153,357,205,81,357,366,-1,40,40,46
1,-1,-1,91,81,46,46,91,-1,198,91,46,91,40,106,106,353,40,198,91,274,81,198,-1,46,91,106,-1,106,106,185,185,353,-1,81,0,185,40,46,198,353,-1,241,46,46,46,185,-1,274,274,185,106,106,106,106,106,106,91,224,198,106,195,195,274,81,7,185,106,185,91,198,253,91,106,198,198,91,353,91,242,106,106,-1,241,7,198,143,195,195,198,195,106,-1,106,106,312,357,106,242,106,106,185,353,106,353,106,185,-1,224,303,303,185,241,274,198,274,7,242,91,353,353,241,198,91,-1,312,353,198,312,91,224,312,241,22,195,353,185,224,224,91,198,198,7,353,-1,274,224,274,185,241,224,-1,303,353,224,198,312,195,22,-1,195,40,198,353,241,185,253,274,198,274,274,195,242,185,198,241,274,241,198,241,253,198,198,185,241,241,-1,241,224,353,40,195,241,195,143,241,-1,198,143,-1,353,284,40,185,312,40,91,353,242,224,353,312,274,303,274,303,312,224,253,224,312,242,274,253,242,-1,253,353,22,242,357,240,253,242,353,241,253,7,353,353,357,7,-1,-1,253,353,253,312,312,353,353,91,253,185,-1,185,357,303,276,22,274,303,242,40,303,242,-1,123,303,22,353,46,22,242,91,-1,185,22,284,357,303,22,195,303,303,-1,357,-1,357,303,224,143,357,22,46,274,312,22,195,357,242,241,357,81,-1,7,7,7,7,303,357,357,357,-1,7,357,242,7,357,357,357,357,357,0,40,303,123,312,357,357,284,224,357,7,357,274,242,0,357,353,357,357,7,303,81,357,81,242,312,46,357,7,22,353,-1,81,81,46,-1,353,81,353,357,353,81,357,81,0,-1,40,46
2,91,91,-1,12,50,297,50,50,285,50,91,50,-1,286,297,297,40,-1,-1,40,50,50,-1,40,91,40,264,297,286,12,91,195,40,242,12,50,40,285,40,40,-1,242,91,91,286,297,40,91,50,50,-1,286,242,297,297,91,289,296,286,91,195,352,91,242,91,286,289,342,91,91,91,91,297,12,297,91,286,91,242,143,91,50,296,12,91,143,195,195,286,195,289,-1,286,12,312,242,297,296,195,297,195,195,297,143,286,-1,50,195,129,195,286,297,195,289,158,297,296,91,195,286,286,289,91,195,286,289,289,297,91,-1,297,297,129,-1,286,286,195,286,91,286,195,286,286,-1,195,264,297,286,296,286,297,264,296,298,50,312,289,22,-1,195,40,12,195,286,297,195,242,195,217,-1,195,297,286,297,342,195,296,297,297,297,342,129,286,285,296,105,289,195,286,129,289,169,195,169,264,-1,286,143,50,296,297,264,50,264,40,91,296,242,264,-1,297,360,296,289,296,352,242,-1,296,312,296,264,296,242,289,242,296,12,242,264,240,217,242,129,217,297,286,286,296,296,50,169,-1,312,286,286,296,312,296,264,91,264,12,217,129,297,-1,276,285,303,296,242,286,264,-1,303,286,286,276,296,50,12,242,169,286,143,217,289,296,342,50,285,297,296,312,-1,-1,209,217,-1,143,169,296,348,129,-1,-1,-1,-1,242,242,342,289,-1,50,312,296,312,129,217,285,285,-1,22,296,242,285,217,195,12,297,22,285,40,169,285,289,169,352,286,297,40,285,242,50,242,-1,50,242,234,22,18,-1,40,169,195,242,312,217,285,289,342,-1,352,352,242,40,352,286,289,-1,22,242,289,296,242,352,40,40,40
3,34,81,12,-1,29,34,270,307,204,369,312,91,-1,-1,-1,359,22,29,341,96,73,29,-1,307,369,312,270,81,359,-1,-1,254,96,81,-1,307,29,81,112,305,-1,96,307,132,286,167,-1,96,270,73,81,73,96,73,359,270,-1,250,359,81,195,-1,359,249,13,286,307,342,91,29,167,250,369,-1,84,286,286,96,242,96,81,-1,359,286,-1,264,359,359,286,96,341,-1,-1,275,167,305,-1,296,266,-1,359,306,241,224,286,275,29,224,189,132,359,167,-1,266,132,249,242,167,204,286,286,286,29,266,286,286,266,286,91,132,286,286,-1,286,286,286,270,286,29,286,270,286,286,275,271,224,286,286,241,286,359,264,275,224,29,312,270,22,-1,276,286,12,359,286,341,359,276,-1,276,342,195,254,286,275,342,275,241,224,369,204,342,359,286,241,271,29,306,250,286,-1,266,286,291,29,-1,-1,99,73,29,254,-1,369,29,312,-1,91,73,242,224,270,286,369,275,275,254,312,369,276,73,312,242,254,369,276,-1,253,250,22,270,194,240,249,242,73,369,112,286,-1,112,357,29,-1,-1,-1,286,286,277,312,249,-1,-1,369,73,-1,-1,-1,342,276,342,266,296,276,286,307,-1,286,-1,286,276,359,-1,-1,275,13,112,-1,-1,-1,296,342,29,342,96,341,277,296,-1,357,112,359,112,-1,296,46,286,312,-1,99,342,242,354,342,359,-1,34,-1,-1,-1,-1,359,357,350,-1,112,99,359,30,359,359,277,112,341,249,40,99,29,307,359,342,286,194,369,249,359,29,270,249,357,249,359,341,-1,-1,359,359,359,359,312,342,99,-1,342,357,249,112,81,367,-1,286,-1,22,357,342,342,359,249,112,-1,40,-1
4,366,46,50,29,-1,69,50,316,50,131,46,50,-1,69,29,36,40,29,119,119,50,29,-1,40,83,69,270,64,-1,-1,316,252,40,81,-1,316,-1,64,40,64,-1,241,366,46,316,-1,-1,252,-1,50,-1,316,245,154,64,240,233,330,40,233,81,154,273,69,-1,316,196,-1,84,-1,158,158,-1,-1,84,117,158,119,242,81,306,-1,119,-1,-1,158,276,252,158,229,229,-1,306,69,241,365,-1,154,132,316,330,306,131,154,240,196,29,119,240,132,-1,240,366,-1,158,-1,158,-1,-1,-1,196,196,-1,158,240,252,252,316,-1,233,330,-1,-1,276,306,-1,252,229,-1,119,196,154,-1,366,271,240,196,154,158,330,158,303,276,366,-1,276,196,22,-1,276,40,330,252,196,316,253,276,29,276,316,229,330,-1,196,350,252,322,240,252,-1,240,131,306,316,-1,29,306,229,240,366,253,241,271,-1,229,-1,-1,-1,-1,252,233,271,29,303,131,-1,366,242,273,233,270,306,303,275,252,252,350,276,366,350,294,366,306,276,69,253,252,84,330,-1,240,240,358,-1,365,350,240,253,252,303,-1,-1,-1,245,252,-1,303,229,276,332,29,366,-1,-1,131,275,358,276,316,366,303,276,365,338,-1,303,132,131,276,276,-1,-1,196,-1,131,-1,-1,322,330,350,330,322,-1,338,329,316,131,229,330,350,229,366,229,154,-1,303,-1,-1,299,-1,240,303,365,-1,306,172,-1,365,172,-1,22,365,158,316,366,320,-1,338,-1,-1,-1,322,-1,332,350,365,28,338,271,-1,-1,40,-1,350,362,270,197,-1,-1,350,365,34,350,196,366,81,275,362,154,229,-1,316,366,241,362,81,154,229,-1,28,158,22,-1,131,365,-1,-1,40,40,84
5,34,46,297,34,69,-1,69,83,204,69,46,161,161,-1,233,297,40,161,34,34,81,291,-1,-1,83,69,303,106,69,-1,247,83,96,81,-1,184,40,291,40,161,-1,96,46,46,69,204,-1,161,161,96,-1,-1,96,297,-1,204,233,138,40,233,195,204,138,69,13,291,106,204,247,-1,-1,-1,291,233,233,161,247,106,204,106,106,-1,241,-1,138,296,161,161,96,96,291,138,106,-1,291,253,-1,296,106,106,161,247,184,161,106,-1,-1,240,138,132,240,240,138,240,132,204,161,83,204,233,-1,240,69,204,240,184,204,233,69,233,297,-1,-1,195,195,161,241,161,-1,204,161,-1,204,193,271,240,161,271,240,303,297,303,296,161,69,296,271,240,83,195,40,-1,241,-1,297,-1,274,69,274,240,195,297,240,297,204,193,241,297,297,204,240,204,241,291,-1,161,289,240,240,40,289,241,291,-1,291,-1,161,184,161,254,233,271,54,303,-1,161,240,242,358,233,-1,241,303,240,254,358,254,253,247,253,296,274,240,276,-1,253,247,-1,330,247,240,-1,358,-1,241,240,240,241,247,303,-1,-1,-1,253,247,184,296,-1,303,322,161,271,-1,-1,-1,297,358,276,296,-1,296,-1,271,303,242,303,132,163,276,296,204,-1,233,161,-1,204,-1,291,-1,291,330,-1,303,303,303,322,83,322,330,-1,303,-1,296,46,161,296,-1,-1,303,291,240,303,81,-1,34,247,358,296,303,322,105,-1,247,358,358,193,271,337,358,358,54,337,-1,40,303,358,247,358,271,161,-1,40,291,193,337,106,247,-1,184,34,34,34,303,81,291,81,242,362,46,358,297,22,366,241,81,81,40,247,-1,81,303,40,69,184,296,34,291,40,40,46
6,34,91,50,270,50,69,-1,50,50,50,312,50,312,69,50,138,22,50,50,329,50,50,-1,81,-1,69,270,128,69,69,-1,276,195,242,-1,50,30,106,224,128,-1,242,128,128,69,204,-1,138,50,-1,-1,138,303,128,270,270,91,330,138,128,195,195,128,69,128,128,128,128,128,-1,91,91,330,49,128,91,128,224,242,299,128,-1,296,-1,-1,264,305,195,128,208,330,-1,128,69,312,305,50,296,106,330,330,276,330,224,106,138,-1,224,138,128,330,128,128,138,276,330,296,91,128,330,128,128,91,270,312,128,312,330,-1,138,330,330,22,195,208,204,270,-1,-1,270,330,312,204,329,329,224,270,224,312,330,224,264,276,224,-1,312,270,22,270,276,40,330,195,363,175,330,276,329,276,312,195,330,305,330,-1,-1,242,224,-1,204,350,330,276,312,330,106,350,224,299,270,195,224,195,-1,330,-1,-1,224,50,276,329,270,50,312,-1,128,224,242,-1,330,312,363,303,270,276,312,224,276,224,312,296,-1,-1,-1,-1,276,329,22,330,329,240,305,242,329,-1,30,330,312,276,299,50,208,-1,312,312,330,312,330,276,276,91,-1,69,-1,22,276,264,276,296,303,296,276,363,276,-1,303,270,330,276,276,-1,208,49,208,22,270,-1,363,330,305,330,296,363,-1,329,296,329,303,330,350,350,305,296,154,204,223,-1,330,299,-1,363,312,363,-1,34,-1,330,312,329,-1,22,330,-1,330,363,329,30,363,363,329,363,22,312,221,350,330,208,81,22,-1,-1,-1,363,-1,50,270,305,50,175,363,363,34,363,196,22,363,270,312,154,22,-1,22,312,363,363,30,154,208,208,81,22,22,242,-1,22,34,221,40,40,-1
7,34,-1,50,307,316,83,50,-1,198,50,46,50,-1,-1,64,34,40,83,341,34,50,29,-1,307,91,350,264,64,106,-1,316,83,240,81,-1,307,40,64,40,-1,-1,96,307,46,154,167,-1,252,64,64,-1,84,96,167,-1,106,81,81,40,-1,81,154,185,81,-1,185,307,185,91,29,167,158,154,167,84,227,167,106,312,106,106,-1,84,-1,-1,264,305,252,167,96,-1,-1,106,64,-1,305,-1,154,106,106,341,306,106,154,106,-1,-1,205,240,132,185,167,307,240,158,-1,296,167,141,167,240,154,84,304,312,341,312,-1,91,154,312,154,-1,195,312,185,307,154,91,167,167,-1,185,1,205,-1,-1,167,240,224,362,264,205,158,-1,312,362,-1,-1,299,40,185,304,167,341,205,227,-1,296,240,195,299,185,332,307,227,241,240,-1,306,-1,-1,185,240,236,-1,306,252,240,141,266,241,312,141,306,-1,198,240,-1,252,240,40,167,312,40,-1,236,242,350,-1,312,306,303,-1,227,252,307,296,332,-1,296,304,306,276,-1,242,305,-1,240,252,240,305,358,209,305,350,-1,305,332,299,-1,-1,-1,312,-1,105,312,312,303,115,167,341,-1,1,-1,307,358,276,296,266,296,276,332,341,-1,303,-1,358,127,296,167,-1,83,236,1,167,-1,312,304,305,29,322,362,341,1,332,236,209,332,350,350,305,296,154,141,312,-1,350,299,-1,240,312,81,-1,-1,-1,-1,-1,362,341,357,-1,-1,-1,341,34,-1,154,362,-1,54,341,-1,332,350,332,307,358,271,167,306,40,-1,341,362,242,305,358,350,341,341,-1,350,81,362,81,242,362,154,115,-1,141,353,1,362,81,154,-1,-1,305,158,94,-1,307,-1,307,316,40,40,84
8,91,198,285,204,50,204,50,198,-1,50,198,91,204,91,358,88,22,88,91,274,50,198,-1,91,91,91,242,91,91,-1,91,195,195,88,198,88,358,285,88,-1,204,242,88,91,91,204,39,274,88,88,-1,-1,242,-1,204,204,91,358,198,198,195,204,88,88,198,204,91,204,91,198,91,91,198,51,198,91,88,91,204,358,325,22,242,198,198,88,88,204,-1,204,198,-1,204,-1,195,242,88,259,261,198,227,195,131,274,-1,-1,105,195,242,195,198,358,274,198,274,204,242,88,204,195,195,-1,88,325,261,195,204,204,91,204,358,-1,88,195,195,204,195,358,88,204,198,358,204,204,261,242,51,227,242,242,195,264,276,242,198,276,358,22,88,195,198,198,198,198,198,195,325,198,274,285,281,204,198,198,204,274,204,198,195,204,198,204,204,285,227,198,242,195,242,227,195,358,195,88,204,-1,198,198,-1,276,358,204,50,242,-1,88,358,242,358,51,274,274,242,274,227,358,276,231,227,358,242,274,252,276,88,242,252,-1,242,88,88,-1,358,358,276,91,358,358,358,242,204,204,-1,245,358,105,204,276,276,231,91,311,-1,204,88,358,325,261,285,-1,-1,-1,365,276,242,303,259,358,276,276,204,88,88,88,-1,204,-1,325,261,324,260,-1,242,365,329,-1,88,88,332,281,358,88,88,242,204,105,285,131,342,242,88,91,365,285,278,39,358,22,53,358,281,285,53,358,358,242,285,88,358,358,242,22,88,204,259,-1,105,358,22,88,204,22,285,242,261,242,285,358,358,22,22,22,281,242,22,88,242,362,274,285,242,285,353,39,88,88,22,88,-1,242,22,22,88,105,365,325,259,204,204,22
9,34,91,50,369,131,69,50,50,50,-1,46,50,131,69,50,105,22,-1,50,34,50,-1,-1,40,91,69,242,138,69,131,-1,195,195,242,-1,50,17,131,355,131,-1,241,138,30,69,46,-1,-1,50,-1,-1,138,218,138,30,131,369,138,138,138,195,195,138,69,271,105,91,138,-1,-1,288,91,369,218,315,91,138,271,242,105,91,-1,355,-1,17,296,195,195,17,105,131,-1,271,17,241,-1,50,296,195,193,181,218,131,138,105,-1,50,195,138,195,138,354,288,138,195,30,296,271,181,181,131,138,91,181,195,271,181,193,91,138,181,-1,131,195,195,271,241,193,-1,17,193,181,68,181,271,271,17,271,241,242,271,264,296,271,-1,296,271,22,105,195,40,105,271,181,193,195,242,105,234,193,195,242,181,138,369,-1,241,195,369,195,193,-1,369,241,271,105,355,288,193,40,195,241,271,-1,241,-1,-1,271,17,296,271,271,50,242,131,131,296,288,271,30,271,369,296,241,296,242,369,288,-1,271,296,30,369,-1,218,242,30,218,-1,30,354,271,242,218,-1,30,271,241,354,296,131,-1,-1,245,271,105,296,218,296,30,91,369,22,131,131,271,22,276,296,22,296,242,271,296,242,303,17,131,22,296,50,-1,49,218,131,105,22,296,296,296,131,296,296,296,329,296,131,296,-1,17,17,21,354,-1,131,296,-1,131,271,242,354,91,355,218,34,234,30,296,17,68,105,354,17,30,22,-1,30,234,195,195,315,22,218,40,22,131,105,355,354,315,288,369,218,355,50,242,17,50,315,234,34,34,22,-1,271,354,242,362,234,22,34,22,354,241,-1,-1,154,355,17,315,354,22,131,131,22,315,218,234,40,-1
